Player,Class,Pos,Summary,Player-additional
Keegan Shoemaker,SR,QB,264 Cmp 419 Att 2506 Yds 15 TD,keegan-shoemaker-1
Grant Gunnell,SR,QB,14 Cmp 22 Att 100 Yds 0 TD,grant-gunnell-1
Tristan Brady,SO,QB,,tristan-brady-1
Sylas Gomez,FR,QB,,sylas-gomez-1
Jace Moseley,FR,QB,,jace-moseley-1
Trent Ward,SO,QB,,trent-ward-2
John Gentry,SO,RB,119 Att 392 Yds 3.3 Avg,john-gentry-1
Zach Hrbacek,SO,RB,37 Att 93 Yds 2.5 Avg,zach-hrbacek-1
Adrian Murdaugh,SO,RB,26 Att 121 Yds 4.7 Avg,adrian-murdaugh-1
Tobias Weaver,JR,RB,17 Att 35 Yds 2.1 Avg,tobias-weaver-1
Landon Brown,FR,RB,9 Att 17 Yds 1.9 Avg,landon-brown-2
Charles Crawford,SO,RB,7 Att 11 Yds 1.6 Avg,charles-crawford-4
Garret Hagler,FR,RB,,garret-hagler-2
DJ McKinney,FR,RB,,dj-mckinney-2
Jalen Washington,FR,RB,,jalen-washington-2
Noah Smith,SR,WR,79 Rec 782 Yds 9.9 Avg,noah-smith-3
Simeon Evans,SO,WR,22 Rec 188 Yds 8.5 Avg,simeon-evans-1
Malik Phillips,JR,WR,35 Rec 430 Yds 12.3 Avg,malik-phillips-1
Jordan Yates,SR,WR,1 Rec 13 Yds 13.0 Avg,jordan-yates-1
Al'Vonte Woodard,SR,WR,31 Rec 339 Yds 10.9 Avg,alvonte-woodard-1
Ife Adeyi,JR,WR,7 Rec 74 Yds 10.6 Avg,ife-adeyi-1
Jay Rockwell,FR,WR,7 Rec 42 Yds 6.0 Avg,jay-rockwell-1
Shane Johnson,SO,WR,6 Rec 62 Yds 10.3 Avg,shane-johnson-4
Lonnie Adksim,FR,WR,,lonnie-adksim-1
KeSean Raven,SO,WR,,kesean-raven-1
Quintavius Workman,JR,WR,,quintavius-workman-2
Tyler Bailey,FR,WR,,tyler-bailey-2
Darrick Bladsoe III,FR,WR,,darrick-bladsoe-iii-1
Chris Hicks,FR,WR,,chris-hicks-1
Rushil Patel,FR,WR,,rushil-patel-1
Trapper Pannell,JR,TE,,trapper-pannell-1
Jax Sherrard,SR,TE,12 Rec 147 Yds 12.3 Avg,jax-sherrard-1
Elijah Sohn,JR,TE,15 Rec 159 Yds 10.6 Avg,elijah-sohn-1
Thomas Jewett,FR,TE,9 Rec 42 Yds 4.7 Avg,thomas-jewett-1
Marcus Collins,SO,TE,,marcus-collins-2
MarKendrick Beall,JR,OL,,markendrick-beall-1
James Dawn II,SO,OL,,james-dawn-ii-1
Kolt Dieterich,FR,OL,,kolt-dieterich-1
Easton Fulton,FR,OL,,easton-fulton-1
Ethan Hagler,JR,OL,,ethan-hagler-1
Will Hutchens,FR,OL,,will-hutchens-1
Orion Irving,FR,OL,,orion-irving-1
Graceson Jackson-Smith,SO,OL,,graceson-jackson-smith-1
Seth Kohlscheen,JR,OL,,seth-kohlscheen-1
Rhett Larson,FR,OL,,rhett-larson-1
William McCollum,JR,OL,,william-mccollum-1
Khalil Miller,SR,OL,,khalil-miller-1
D'Ary Patton,SO,OL,,dary-patton-1
Zachary Session,FR,OL,,zachary-session-1
Ethan Vazquez,SO,OL,,ethan-vazquez-1
Ethan Zasquez,FR,OL,,ethan-zasquez-1
Jadon Cardell,SO,K,,jadon-cardell-1
Christian Pavon,SO,K,,christian-pavon-1
Colby Sessums,SO,K,,colby-sessums-1
Kaden Lorick,FR,K,,kaden-lorick-1
Matthew Aribisala,SO,DL,,matthew-aribisala-1
Andrew Edmonson,FR,DL,,andrew-edmonson-1
Jayden Gaines,FR,DL,,jayden-gaines-1
Briceon Hayes,SO,DL,,briceon-hayes-1
Braeden Howell,SO,DL,,braeden-howell-1
Jevon Leon,JR,DL,,jevon-leon-1
Seth Mason,SR,DL,,seth-mason-2
Chris Murray,SO,DL,,chris-murray-4
Jaden Phillips,JR,DL,,jaden-phillips-1
Chris Scott,SR,DL,,chris-scott-6
Akeem Smith,SR,DL,,akeem-smith-1
Daniel Tupuola,JR,DL,,daniel-tupuola-1
Godgive Ugochukwu,FR,DL,,godgive-ugochukwu-1
Noah Barboza,SR,DL,,noah-barboza-1
Ajani Batts,SO,DL,,ajani-batts-1
Richard Outland,JR,DL,,richard-outland-1
Issiah Nixon,JR,LB,,issiah-nixon-1
Trey Fields,JR,LB,,trey-fields-1
Darien Flynn,JR,LB,,darien-flynn-1
Kavian Gaither,JR,LB,,kavian-gaither-1
Ca'lub Holloway,FR,LB,,calub-holloway-1
Sincere Jackson,JR,LB,,sincere-jackson-1
Trey Mappe,JR,LB,,trey-mappe-1
