Player,Class,Pos,Summary,Player-additional
Preston Stone,SO,QB,206 Cmp 344 Att 3197 Yds 28 TD,preston-stone-1
Kevin Jennings,FR,QB,61 Cmp 105 Att 618 Yds 5 TD,kevin-jennings-2
Alex Padilla,SR,QB,5 Cmp 7 Att 59 Yds 0 TD,alex-padilla-1
Keldric Luster,FR,QB,2 Cmp 6 Att 23 Yds 0 TD,keldric-luster-1
Owen Easley,SR,QB,,owen-easley-1
William Fierro,FR,QB,,william-fierro-1
Charlie Fiser,FR,QB,,charlie-fiser-1
Clyde Pittman,FR,QB,,clyde-pittman-1
Jaylan Knighton,SR,RB,136 Att 745 Yds 5.5 Avg,jaylan-knighton-1
LJ Johnson Jr.,SO,RB,108 Att 576 Yds 5.3 Avg,lj-johnson-jr-2
Camar Wheaton,SO,RB,83 Att 410 Yds 4.9 Avg,camar-wheaton-1
Tyler Lavine,SR,RB,39 Att 168 Yds 4.3 Avg,tyler-lavine-1
Velton Gardner,SR,RB,32 Att 137 Yds 4.3 Avg,velton-gardner-1
Zane Minors,SO,RB,24 Att 101 Yds 4.2 Avg,zane-minors-1
Roderick Daniels Jr.,JR,WR,24 Rec 370 Yds 15.4 Avg,roderick-daniels-jr-1
Jake Bailey,SR,WR,42 Rec 528 Yds 12.6 Avg,jake-bailey-2
Kelvontay Dixon,JR,WR,25 Rec 441 Yds 17.6 Avg,kelvontay-dixon-1
Jordan Hudson,SO,WR,30 Rec 425 Yds 14.2 Avg,jordan-hudson-1
Romello Brinson,JR,WR,28 Rec 431 Yds 15.4 Avg,romello-brinson-1
Keyshawn Smith,SR,WR,25 Rec 392 Yds 15.7 Avg,keyshawn-smith-1
Jordan Kerley,SR,WR,18 Rec 319 Yds 17.7 Avg,jordan-kerley-1
Carter Campbell,JR,WR,2 Rec 28 Yds 14.0 Avg,carter-campbell-1
Joey Bruszer,FR,WR,1 Rec 23 Yds 23.0 Avg,joey-bruszer-1
Jamarion Carroll,FR,WR,1 Rec 7 Yds 7.0 Avg,jamarion-carroll-1
Keaton Cheves,FR,WR,1 Rec 3 Yds 3.0 Avg,keaton-cheves-1
Jaxson Lavender,FR,WR,1 Rec 20 Yds 20.0 Avg,jaxson-lavender-1
Nic Heck,SR,WR,,nic-heck-1
Case Holleron,FR,WR,,case-holleron-1
Teddy Knox,SO,WR,,teddy-knox-1
Cooper Reed,FR,WR,,cooper-reed-1
Henry Stickler,FR,WR,,henry-stickler-1
Maddox Fuller,FR,WR,,maddox-fuller-1
Will Kuehne,SR,WR,,will-kuehne-1
Meyer Pereira,FR,WR,,meyer-pereira-1
RJ Maryland,SO,TE,34 Rec 518 Yds 15.2 Avg,rj-maryland-1
Adam Moore,FR,TE,6 Rec 98 Yds 16.3 Avg,adam-moore-1
Micah Hilts,SR,TE,1 Rec 7 Yds 7.0 Avg,micah-hilts-1
Nolan Matthews-Harris,JR,TE,1 Rec 9 Yds 9.0 Avg,nolan-matthews-harris-1
Tripp Riordan,FR,TE,1 Rec 26 Yds 26.0 Avg,tripp-riordan-1
Markus Schumacher,FR,TE,1 Rec 0 Yds 0.0 Avg,markus-schumacher-1
Ned Righellis,FR,TE,,ned-righellis-1
Kam Allen,SO,TE,,kam-allen-1
Davis Hawkins,JR,TE,,davis-hawkins-1
Lonnie Johnson,FR,TE,,lonnie-johnson-5
Nate Bennett,FR,OL,,nate-bennett-2
Paxton Briggle,FR,OL,,paxton-briggle-1
Marcus Bryant,SR,OL,,marcus-bryant-1
Jakai Clark,SR,OL,,jakai-clark-2
Cameron Ervin,SR,OL,,cameron-ervin-3
Reagan Gill,FR,OL,,reagan-gill-1
Branson Hickman,JR,OL,,branson-hickman-1
Caleb Johnson,SO,OL,,caleb-johnson-5
Jack Laphen,FR,OL,,jack-laphen-1
Justin Osborne,SR,OL,,justin-osborne-1
Logan Parr,SO,OL,,logan-parr-1
Dalton Perdue,JR,OL,,dalton-perdue-1
Jackson Ritz,JR,OL,,jackson-ritz-1
Keaton Schultz,SO,OL,,keaton-schultz-1
Sean Scott,FR,OL,,sean-scott-5
Ben Sparks,JR,OL,,ben-sparks-1
Jacob Waller,FR,OL,,jacob-waller-1
Hyrin White,SR,OL,,hyrin-white-1
PJ Williams,FR,OL,,pj-williams-2
Alex Woods,FR,OL,,alex-woods-2
Max Yao,JR,OL,,max-yao-1
Henry Douglass,FR,OL,,henry-douglass-1
Hunter Ryan,FR,OL,,hunter-ryan-1
Collin Rogers,SO,K,,collin-rogers-1
Michael Tadros,FR,K,,michael-tadros-1
Jordan Miller,SR,DL,,jordan-miller-4
Kori Roberson,SR,DL,,kori-roberson-1
Elijah Roberts,SR,DL,,elijah-roberts-1
Cam Robertson,SO,DL,,cam-robertson-1
Kevin Allen,FR,DL,,kevin-allen-2
Stephon Wright,JR,DL,,stephon-wright-1
Chris Adimora,SR,LB,,chris-adimora-1
Jaqwondis Burns,JR,LB,,jaqwondis-burns-1
Alex Kilgore,FR,LB,,alex-kilgore-1
Brandon Miyazono,FR,LB,,brandon-miyazono-1
Ahmad Walker,JR,LB,,ahmad-walker-1
IV Webb,FR,LB,,iv-webb-1
Kobe Wilson,JR,LB,,kobe-wilson-1
Sean Kane,FR,LB,,sean-kane-1
Jaelyn Davis-Robinson,FR,DB,,jaelyn-davis-robinson-1
Abdul Muhammad,FR,DB,,abdul-muhammad-2
Cale Sanders,JR,DB,,cale-sanders-1
Ryan Bujcevski,SR,P,,ryan-bujcevski-1
Sam Eccles,FR,P,,sam-eccles-1
Johnny Schifano,JR,P,,johnny-schifano-1
Stone Eby,SO,FB,,stone-eby-1
David Abiara,SO,DE,,david-abiara-2
Matt Baer,FR,DE,,matt-baer-1
Will Benton,SR,LS,,will-benton-1
Jovoni Borbon,SO,LS,,jovoni-borbon-1
Kyron Chambers,SO,CB,,kyron-chambers-1
Elijah Chatman,SR,DT,,elijah-chatman-1
Brandon Crossley,SR,CB,,brandon-crossley-1
AJ Davis,FR,CB,,aj-davis-2
Michael De Hoyos,FR,CB,,michael-de-hoyos-1
Braeden Flowers,FR,DE,,braeden-flowers-1
Brock Foster,FR,CB,,brock-foster-1
Dylan Frazier,FR,DT,,dylan-frazier-1
Will Goldberg,JR,S,,will-goldberg-1
Kevaris Hall,JR,CB,,kevaris-hall-2
Jayden Jones,SO,DE,,jayden-jones-1
Devere Levelston,SR,DT,,devere-levelston-1
Bryan Massey,SR,S,,bryan-massey-1
Jonathan McGill,SR,S,,jonathan-mcgill-1
Bryce McMorris,SO,CB,,bryce-mcmorris-1
Chris Megginson,SR,CB,,chris-megginson-1
Nate Monticure,JR,S,,nate-monticure-1
Ahmaad Moses,SO,S,,ahmaad-moses-1
Isaiah Nwokobia,SO,S,,isaiah-nwokobia-1
Ford Parker,SR,CB,,ford-parker-1
Nelson Paul,SR,DE,,nelson-paul-1
Jahari Rogers,JR,CB,,jahari-rogers-1
Je'lin Samuels,SO,DE,,jelin-samuels-1
Alex Sickafoose,SR,DE,,alex-sickafoose-1
Isaiah Smith,SO,DE,,isaiah-smith-1
Daemian Wimberly,FR,DT,,daemian-wimberly-1
Charles Woods,SR,S,,charles-woods-4
Mike Yoan Sandjo-Njiki,JR,DT,,mike-yoan-sandjo-njiki-1
Marcus Chan,FR,LS,,marcus-chan-1
Dylan Hinshaw,FR,DE,,dylan-hinshaw-1
Braylen Jackson,FR,DT,,braylen-jackson-1
Keyshon Mills,SO,CB,,keyshon-mills-1
John Porter,SR,CB,,john-porter-3
