Player,Class,Pos,Summary,Player-additional
E.J. Warner,SO,QB,256 Cmp 445 Att 3076 Yds 23 TD,ej-warner-1
Quincy Patterson,SR,QB,20 Cmp 48 Att 184 Yds 0 TD,quincy-patterson-1
Forrest Brock,JR,QB,7 Cmp 15 Att 60 Yds 0 TD,forrest-brock-1
Tyler Douglas,FR,QB,,tyler-douglas-1
Patrick Keller,FR,QB,,patrick-keller-1
Darvon Hubbard,JR,RB,83 Att 412 Yds 5.0 Avg,darvon-hubbard-1
Joquez Smith,FR,RB,71 Att 325 Yds 4.6 Avg,joquez-smith-1
Edward Saydee,JR,RB,68 Att 230 Yds 3.4 Avg,edward-saydee-1
Eric Wilson Jr.,JR,RB,13 Att 58 Yds 4.5 Avg,eric-wilson-jr-1
Qwentin Rose,SO,RB,,qwentin-rose-1
Kyle Williams,FR,RB,,kyle-williams-7
Dante Wright,SR,WR,39 Rec 507 Yds 13.0 Avg,dante-wright-1
Amad Anderson Jr.,SR,WR,37 Rec 647 Yds 17.5 Avg,amad-anderson-jr-1
Zae Baines,SO,WR,36 Rec 442 Yds 12.3 Avg,zae-baines-1
John Adams,SO,WR,15 Rec 149 Yds 9.9 Avg,john-adams-7
Ian Stewart,JR,WR,6 Rec 48 Yds 8.0 Avg,ian-stewart-1
Xavier Irvin,FR,WR,3 Rec 50 Yds 16.7 Avg,xavier-irvin-1
D'Wan Mathis,JR,WR,2 Rec 12 Yds 6.0 Avg,dwan-mathis-1
Corey Cuascut-Palmer,SO,WR,1 Rec 4 Yds 4.0 Avg,corey-cuascut-palmer-1
Elias Collins,SO,WR,,elias-collins-1
Xavier Bryan-Boothe,FR,WR,,xavier-bryan-boothe-1
Zyheem Coleman-Frazier,FR,WR,,zyheem-coleman-frazier-1
Richard Dandridge,FR,WR,,richard-dandridge-1
Preston Everhart,FR,WR,,preston-everhart-1
JoJo Huntley,FR,WR,,jojo-huntley-1
Kian Johnson,FR,WR,,kian-johnson-1
Nyzir Johnson,FR,WR,,nyzir-johnson-1
Shekuna Kamara,JR,WR,,shekuna-kamara-1
Kyle Madden,SO,WR,,kyle-madden-1
George Sims,FR,WR,,george-sims-1
Cole Sprague,SO,WR,,cole-sprague-1
David Martin-Robinson,SR,TE,40 Rec 537 Yds 13.4 Avg,david-martin-robinson-1
Reese Clark,SO,TE,18 Rec 145 Yds 8.1 Avg,reese-clark-1
Jordan Smith,SR,TE,25 Rec 287 Yds 11.5 Avg,jordan-smith-7
Peter Clarke,FR,TE,2 Rec 18 Yds 9.0 Avg,peter-clarke-2
James Della Pesca,JR,TE,,james-della-pesca-1
Kendell Gordon,FR,TE,,kendell-gordon-1
Landon Morris,SO,TE,,landon-morris-1
Diego Barajas,JR,OL,,diego-barajas-1
Jermaine Donaldson,JR,OL,,jermaine-donaldson-1
Jon Fagley,SO,OL,,jon-fagley-1
Jackson Pruitt,SO,OL,,jackson-pruitt-1
Wisdom Quarshie,JR,OL,,wisdom-quarshie-1
Richard Rodriguez,SR,OL,,richard-rodriguez-1
Melvin Siani,FR,OL,,melvin-siani-1
Chris Smith,JR,OL,,chris-smith-26
Victor Stoffel,JR,OL,,victor-stoffel-1
Kevin Terry,FR,OL,,kevin-terry-2
Bryce Thoman,JR,OL,,bryce-thoman-1
Luke Watson,FR,OL,,luke-watson-1
James Faminu,SO,OL,,james-faminu-1
Mina Gamal,FR,OL,,mina-gamal-1
Eric King,FR,OL,,eric-king-4
Kevin Smithwick,SO,OL,,kevin-smithwick-1
Carl Hardin,FR,K,,carl-hardin-1
Camden Price,SR,K,,camden-price-1
Chris Van Eekeren,JR,K,,chris-van-eekeren-1
Joseph Appiah Darkwa,SR,DL,,joseph-appiah-darkwa-1
Gensley Auguste,FR,DL,,gensley-auguste-1
Zymir Cobbs,SR,DL,,zymir-cobbs-1
Conlan Greene,FR,DL,,conlan-greene-1
Zamar Grove,SO,DL,,zamar-grove-1
Allan Haye Jr.,SO,DL,,allan-haye-jr-1
Davion Hood,SO,DL,,davion-hood-1
Jerquavion Mahone,SR,DL,,jerquavion-mahone-1
Demerick Morris,JR,DL,,demerick-morris-1
Tra Thomas,JR,DL,,tra-thomas-1
Chevez Trask,SO,DL,,chevez-trask-1
Lancine Turay,SR,DL,,lancine-turay-1
Tyrese Whitaker,FR,DL,,tyrese-whitaker-1
Hugo Gil,FR,DL,,hugo-gil-1
Lamine Karamoko,JR,DL,,lamine-karamoko-1
K.J. Miles,FR,DL,,kj-miles-2
Diwun Black,JR,LB,,diwun-black-1
Jacob Hollins,SR,LB,,jacob-hollins-1
Layton Jordan,SR,LB,,layton-jordan-1
Jordan Magee,JR,LB,,jordan-magee-1
Jordan Montgomery,FR,LB,,jordan-montgomery-2
Yvandy Rigby,JR,LB,,yvandy-rigby-1
Antwone Santiago,SO,LB,,antwone-santiago-1
D.J. Woodbury,JR,LB,,dj-woodbury-1
Corey Yeoman,SO,LB,,corey-yeoman-1
Brandon Enarusai,FR,LB,,brandon-enarusai-1
London Hall,SO,LB,,london-hall-1
Reggie Jones,FR,LB,,reggie-jones-6
Korre Kerrin,SO,LB,,korre-kerrin-1
Dante Atton,FR,P,,dante-atton-1
Aaron Anderson,SO,CB,,aaron-anderson-2
Elijah Clark,SR,CB,,elijah-clark-1
Elijah Deravil,JR,S,,elijah-deravil-1
Tywan Francis,SR,S,,tywan-francis-1
Daiyaan Hawkins,SO,CB,,daiyaan-hawkins-1
Dominick Hill,JR,CB,,dominick-hill-1
Sam Martin,SO,S,,sam-martin-4
Andrew McIlquham,SO,LS,,andrew-mcilquham-1
Jalen McMurray,SO,CB,,jalen-mcmurray-1
Alex Odom,JR,S,,alex-odom-1
Ben Osueke,JR,CB,,ben-osueke-1
Zyil Powell,FR,S,,zyil-powell-1
Brenyen Scott,JR,S,,brenyen-scott-1
Ihsim Smith-Marsette,FR,S,,ihsim-smith-marsette-1
Darrell Sweeting,FR,CB,,darrell-sweeting-1
Kamar Wilcoxson,SO,S,,kamar-wilcoxson-1
Kaleb Barnett,FR,CB,,kaleb-barnett-1
Christian Bell,JR,CB,,christian-bell-2
Bryce Lambeth,SO,CB,,bryce-lambeth-1
Muheem McCargo,JR,S,,muheem-mccargo-1
Brylan Noonan,JR,LS,,brylan-noonan-1
Calian Scott,SO,CB,,calian-scott-1
Brandon Taylor,FR,S,,brandon-taylor-5
Shamar Williams,FR,S,,shamar-williams-1
