Player,Class,Pos,Summary,Player-additional
Michael Pratt,SR,QB,185 Cmp 283 Att 2406 Yds 22 TD,michael-pratt-1
Kai Horton,SO,QB,44 Cmp 82 Att 604 Yds 3 TD,kai-horton-1
Justin Ibieta,SO,QB,0 Cmp 2 Att 0 Yds 0 TD,justin-ibieta-1
Carson Haggard,SO,QB,,carson-haggard-1
Darian Mensah,FR,QB,,darian-mensah-1
Jack Risner,FR,QB,,jack-risner-1
Makhi Hughes,FR,RB,258 Att 1378 Yds 5.3 Avg,makhi-hughes-1
Shaadie Clayton-Johnson,SO,RB,41 Att 150 Yds 3.7 Avg,shaadie-clayton-1
Shedro Louis,SR,RB,34 Att 101 Yds 3.0 Avg,shedro-louis-1
Arnold Barnes III,FR,RB,23 Att 138 Yds 6.0 Avg,arnold-barnes-iii-1
Iverson Celestine,SO,RB,4 Att 17 Yds 4.3 Avg,iverson-celestine-1
George Arata,SO,RB,2 Att 7 Yds 3.5 Avg,george-arata-1
Tate Jernigan,JR,RB,1 Att 8 Yds 8.0 Avg,tate-jernigan-1
Charles Schibler,SO,RB,1 Att -1 Yds -1.0 Avg,charles-schibler-1
Trey Cornist,FR,RB,,trey-cornist-1
Garrett Mmahat,FR,WR,,garrett-mmahat-1
Yulkeith Brown,JR,WR,33 Rec 391 Yds 11.8 Avg,yulkeith-brown-1
Jha'Quan Jackson,SR,WR,26 Rec 439 Yds 16.9 Avg,jhaquan-jackson-1
Lawrence Keys III,SR,WR,33 Rec 599 Yds 18.2 Avg,lawrence-keys-iii-1
Jalen Rogers,FR,WR,1 Rec 5 Yds 5.0 Avg,jalen-rogers-2
Chris Brazzell II,FR,WR,44 Rec 711 Yds 16.2 Avg,chris-brazzell-ii-1
Bryce Bohanon,SO,WR,9 Rec 117 Yds 13.0 Avg,bryce-bohanon-1
Dontae Fleming,JR,WR,6 Rec 94 Yds 15.7 Avg,dontae-fleming-1
Luke Besh,FR,WR,,luke-besh-1
Trevor Evans,SO,WR,,trevor-evans-1
Phat Watts,SR,WR,,phat-watts-1
Lucas Desjardins,SO,WR,,lucas-desjardins-1
Yash Gupta,FR,WR,,yash-gupta-1
Michael Lavergne,SO,WR,,michael-lavergne-1
Reed Rutkowski,SO,WR,,reed-rutkowski-1
Hunter Summers,FR,WR,,hunter-summers-1
Alex Bauman,SO,TE,35 Rec 286 Yds 8.2 Avg,alex-bauman-1
Chris Carter,SR,TE,13 Rec 142 Yds 10.9 Avg,chris-carter-8
Reggie Brown,JR,TE,3 Rec 25 Yds 8.3 Avg,reggie-brown-11
Blake Gunter,SO,TE,,blake-gunter-1
Joshua Goines,FR,TE,,joshua-goines-1
Jonathan Kahn,SO,TE,,jonathan-kahn-1
Andrew Wilks,SO,TE,,andrew-wilks-1
Rashad Green,JR,OL,,rashad-green-2
Sincere Haynesworth,SR,OL,,sincere-haynesworth-1
Shadre Hurst,SO,OL,,shadre-hurst-1
Matt Lombardi,SO,OL,,matt-lombardi-1
Prince Pines,SR,OL,,prince-pines-2
Josh Remetich,JR,OL,,josh-remetich-1
Caleb Thomas,JR,OL,,caleb-thomas-2
Trey Tuggle,SO,OL,,trey-tuggle-1
Cameron Wire,SR,OL,,cameron-wire-1
Sully Burns,SO,OL,,sully-burns-1
Landry Cannon,FR,OL,,landry-cannon-1
Noah Gardner,FR,OL,,noah-gardner-1
Ethan Marcus,SO,OL,,ethan-marcus-1
Lajuan Owens,FR,OL,,lajuan-owens-1
Darion Reed,FR,OL,,darion-reed-1
