Player,Class,Pos,Summary,Player-additional
Cardell Williams,FR,QB,79 Cmp 132 Att 1149 Yds 10 TD,cardell-williams-1
Kirk Francis,FR,QB,68 Cmp 121 Att 967 Yds 6 TD,kirk-francis-1
Braylon Braxton,SO,QB,22 Cmp 50 Att 212 Yds 2 TD,braylon-braxton-1
Roman Fuller,JR,QB,20 Cmp 30 Att 121 Yds 2 TD,roman-fuller-1
Stephen Kittleman,SO,QB,,stephen-kittleman-1
Jack Johnson,FR,QB,,jack-johnson-4
Will Pickard,FR,QB,,will-pickard-1
Nate Ratcliff,FR,QB,,nate-ratcliff-1
Anthony Watkins,SR,RB,197 Att 889 Yds 4.5 Avg,anthony-watkins-3
Bill Jackson,SO,RB,91 Att 414 Yds 4.5 Avg,bill-jackson-4
Jordan Ford,SR,RB,78 Att 294 Yds 3.8 Avg,jordan-ford-2
Tahj Gary,JR,RB,33 Att 187 Yds 5.7 Avg,tahj-gary-1
Jayce Morgan,FR,RB,,jayce-morgan-1
Keigan Powers,FR,RB,,keigan-powers-1
Braylin Presley,SO,WR,11 Rec 122 Yds 11.1 Avg,braylin-presley-1
Cam Crooks,FR,WR,,cam-crooks-1
Kamdyn Benjamin,SR,WR,47 Rec 727 Yds 15.5 Avg,kamdyn-benjamin-1
Devan Williams,FR,WR,29 Rec 399 Yds 13.8 Avg,devan-williams-1
Carl Chester,JR,WR,22 Rec 401 Yds 18.2 Avg,carl-chester-1
Marquis Shoulders,SO,WR,16 Rec 283 Yds 17.7 Avg,marquis-shoulders-1
Malachai Jones,JR,WR,9 Rec 113 Yds 12.6 Avg,malachai-jones-1
Nick Rempert,SR,WR,9 Rec 100 Yds 11.1 Avg,nick-rempert-2
Jeshari Houston,SO,WR,,jeshari-houston-1
Matthew Ogunrin,FR,WR,,matthew-ogunrin-1
Ashton Schumann,FR,WR,,ashton-schumann-1
Grayson Tempest,FR,WR,,grayson-tempest-1
Keith Wheeler II,FR,WR,,keith-wheeler-ii-1
Scottie Alexander,SO,WR,,scottie-alexander-1
Cole Greene,FR,WR,,cole-greene-1
Jahrid Hughes,FR,WR,,jahrid-hughes-1
Eli Potts,FR,WR,,eli-potts-1
Mari Smith,FR,WR,,mari-smith-1
Luke McGary,FR,TE,9 Rec 115 Yds 12.8 Avg,luke-mcgary-1
Ethan Hall,SR,TE,7 Rec 37 Yds 5.3 Avg,ethan-hall-1
Colby Powers,SO,TE,2 Rec 10 Yds 5.0 Avg,colby-powers-1
Bayne Tryon,JR,TE,1 Rec 7 Yds 7.0 Avg,bayne-tryon-1
Waylon Adams,SO,TE,,waylon-adams-1
Connor Vaughn,FR,TE,,connor-vaughn-1
Daegan Jensen,FR,TE,,daegan-jensen-1
Camden Peck,FR,TE,,camden-peck-1
Chester Baah,SR,OL,,chester-baah-1
Bryce Bray,SR,OL,,bryce-bray-1
Rey Burnett,JR,OL,,rey-burnett-1
Gabe Cantu,SR,OL,,gabe-cantu-1
Kasen Carpenter,FR,OL,,kasen-carpenter-1
Kai-Leon Herbert,SR,OL,,kai-leon-herbert-1
Jeremy Jones,SR,OL,,jeremy-jones-6
Tautai Li'O Marks,JR,OL,,tautai-lio-marks-1
Bennett Ringleb,FR,OL,,bennett-ringleb-1
Darrell Simpson,SR,OL,,darrell-simpson-1
Brody Wisecarver,SO,OL,,brody-wisecarver-1
Walter Young Bear,SO,OL,,walter-young-bear-1
Daniel Ademisoye,SO,OL,,daniel-ademisoye-1
Connor Cook,FR,OL,,connor-cook-4
Will Morris,FR,OL,,will-morris-3
Tanyon Zachary,SO,OL,,tanyon-zachary-1
Connor Bryan,SO,K,,connor-bryan-1
Chase Meyer,SO,K,,chase-meyer-1
Michael Slaba,FR,K,,michael-slaba-1
Evan Guenthner,FR,K,,evan-guenthner-1
Tyler Tipton,SO,K,,tyler-tipton-2
Joseph Anderson,SR,DL,,joseph-anderson-1
Zaid Hamdan,SR,DL,,zaid-hamdan-2
R.J. Jackson Jr.,FR,DL,,rj-jackson-jr-1
Izuchukwu King Ani,JR,DL,,izuchukwu-king-ani-1
Justin Lohrenz,SO,DL,,justin-lohrenz-1
Vontroy Malone,FR,DL,,vontroy-malone-1
Tai Newhouse,FR,DL,,tai-newhouse-1
Owen Ostroski,SO,DL,,owen-ostroski-1
Brody Reese,SO,DL,,brody-reese-1
Tyler Rich,FR,DL,,tyler-rich-1
Everitt Rogers,SR,DL,,everitt-rogers-1
Jayden Simon,JR,DL,,jayden-simon-1
Reeves Baller,FR,DL,,reeves-baller-1
Luke Berry,FR,DL,,luke-berry-1
Duvan Boshoff,FR,DL,,duvan-boshoff-1
James Eaglin III,FR,DL,,james-eaglin-iii-1
Seth Bullock,SO,LB,,seth-bullock-1
Dorian Hopkins,SR,LB,,dorian-hopkins-1
Mitchell Kulkin,SR,LB,,mitchell-kulkin-1
Zach Neilsen,FR,LB,,zach-neilsen-1
Julien Simon,SO,LB,,julien-simon-1
Coleton Smith,SR,LB,,coleton-smith-1
C.J. Turner III,FR,LB,,cj-turner-iii-1
Elijah Wilson,FR,LB,,elijah-wilson-1
William Alexander,SO,LB,,william-alexander-2
Bershard Glaspie,SR,LB,,bershard-glaspie-1
Cade Lopez,SO,LB,,cade-lopez-1
Eli McWilliams,FR,LB,,eli-mcwilliams-1
CJ Coombes,FR,DB,,cj-coombes-1
Jehlen Cannady,JR,DB,,jehlen-cannady-1
Tyree Carlisle,SR,DB,,tyree-carlisle-1
Reggie Ellis,SR,DB,,reggie-ellis-2
Dayne Hodge,SO,DB,,dayne-hodge-1
Jaden Moore,SO,DB,,jaden-moore-1
Jair Murphy,FR,DB,,jair-murphy-1
Sean O'Keefe,JR,DB,,sean-okeefe-1
Jaise Oliver,SR,DB,,jaise-oliver-1
Keuan Parker,SO,DB,,keuan-parker-1
Canon Peters,SO,DB,,canon-peters-1
Kendarin Ray,SR,DB,,kendarin-ray-1
Devin Robinson,FR,DB,,devin-robinson-2
Connor Strudwick,SO,DB,,connor-strudwick-1
L.J. Wallace,SR,DB,,lj-wallace-1
Georderrial Williams,SO,DB,,georderrial-williams-1
Zane Woodham,FR,DB,,zane-woodham-1
Brant McNear,FR,DB,,brant-mcnear-1
Bryson Rouse,FR,DB,,bryson-rouse-1
Kaylon Washington,JR,DB,,kaylon-washington-1
Angus Davies,FR,P,,angus-davies-1
Scott Stanford,FR,P,,scott-stanford-1
Ben Kopenski,SR,DE,,ben-kopenski-1
Donte Burton,SR,CB,,donte-burton-1
NuNu Campbell,FR,CB,,nunu-campbell-1
Will Farniok,SR,OC,,will-farniok-1
Demarco Jones,SR,CB,,demarco-jones-1
Xavier Lanier,JR,CB,,xavier-lanier-1
Austin Ortega,SR,LS,,austin-ortega-1
Kanion Williams,SR,S,,kanion-williams-1
Kyron Grayson,FR,CB,,kyron-grayson-1
Denver Hanna,FR,DE,,denver-hanna-1
Caleb Matthews,SO,LS,,caleb-matthews-1
