Player,Class,Pos,Summary,Player-additional
Jacob Zeno,JR,QB,279 Cmp 379 Att 3126 Yds 20 TD,jacob-zeno-1
Landry Lyddy,SO,QB,14 Cmp 22 Att 121 Yds 1 TD,landry-lyddy-1
Harrison Barker,JR,QB,6 Cmp 13 Att 75 Yds 1 TD,harrison-barker-1
Trace Campbell,FR,QB,4 Cmp 9 Att 47 Yds 0 TD,trace-campbell-2
Carter Putt,JR,QB,,carter-putt-1
Jermaine Brown Jr.,SR,RB,158 Att 803 Yds 5.1 Avg,jermaine-brown-jr-1
Isaiah Jacobs,SO,RB,55 Att 249 Yds 4.5 Avg,isaiah-jacobs-1
Lee Beebe,FR,RB,52 Att 360 Yds 6.9 Avg,lee-beebe-1
Lee Witherspoon,JR,RB,17 Att 52 Yds 3.1 Avg,lee-witherspoon-1
Demetrius Battle,SR,RB,8 Att 31 Yds 3.9 Avg,demetrius-battle-1
Taven Curry,FR,RB,1 Att 5 Yds 5.0 Avg,taven-curry-1
Tyjaun Able,FR,RB,,tyjaun-able-1
Nick LaRocca,FR,RB,,nick-larocca-1
Fred Farrier II,SO,WR,18 Rec 266 Yds 14.8 Avg,fred-farrier-ii-1
Brandon Buckhaulter,SO,WR,5 Rec 103 Yds 20.6 Avg,brandon-buckhaulter-1
Amare Thomas,FR,WR,53 Rec 437 Yds 8.2 Avg,amare-thomas-1
TJ Jones,SR,WR,15 Rec 222 Yds 14.8 Avg,tj-jones-7
Iverson Hooks,FR,WR,10 Rec 106 Yds 10.6 Avg,iverson-hooks-1
Tejhaun Palmer,SR,WR,47 Rec 858 Yds 18.3 Avg,tejhaun-palmer-1
Samario Rudolph,SR,WR,25 Rec 205 Yds 8.2 Avg,samario-rudolph-1
Malachi Holt-Bennett,JR,WR,5 Rec 92 Yds 18.4 Avg,malachi-holt-bennett-1
Corri Milliner,FR,WR,1 Rec 59 Yds 59.0 Avg,corri-milliner-1
Kameron Shanks,FR,WR,,kameron-shanks-1
Teddy Davenport,SO,WR,,teddy-davenport-1
Connor Harby,SO,WR,,connor-harby-1
BJ Hawkins Jr.,JR,WR,,bj-hawkins-jr-1
Aron Marsch,SO,WR,,aron-marsch-1
Joey Merritt,FR,WR,,joey-merritt-1
Calvin Parker,FR,WR,,calvin-parker-1
Tyler Trawick,SO,WR,,tyler-trawick-2
Dazalin Worsham,JR,WR,,dazalin-worsham-1
Dylan Wroblewski,FR,WR,,dylan-wroblewski-1
Bryce Damous,SR,TE,24 Rec 242 Yds 10.1 Avg,bryce-damous-1
Terrell McDonald,SR,TE,7 Rec 73 Yds 10.4 Avg,terrell-mcdonald-1
Dallas Payne,JR,TE,18 Rec 190 Yds 10.6 Avg,dallas-payne-1
Mike Crawford,JR,TE,,mike-crawford-5
J.C. Sivley,FR,TE,,jc-sivley-1
Joshua Rubin,FR,TE,,joshua-rubin-1
Clay Smelley,SO,TE,,clay-smelley-1
Trey Bedosky,JR,OL,,trey-bedosky-1
Cort Bradley,SO,OL,,cort-bradley-1
Tennyson Hadfield,FR,OL,,tennyson-hadfield-1
Luke Jones,FR,OL,,luke-jones-2
Adam Lepkowski,SO,OL,,adam-lepkowski-1
Logan Moore,FR,OL,,logan-moore-2
Brennan Moran,SR,OL,,brennan-moran-1
Jalen Nettles,JR,OL,,jalen-nettles-1
William Parker,SO,OL,,william-parker-2
Tater Reid,JR,OL,,tater-reid-1
Brady Wilson,JR,OL,,brady-wilson-1
Antavious Woody,FR,OL,,antavious-woody-1
Quez Yates,JR,OL,,quez-yates-1
Mason Chorak,FR,OL,,mason-chorak-1
Arturo Escamilla,FR,OL,,arturo-escamilla-1
Zaire Flournoy,JR,OL,,zaire-flournoy-1
Ryan Gunter,FR,OL,,ryan-gunter-1
Jordan Hall,FR,OL,,jordan-hall-3
Delano Townsend,FR,OL,,delano-townsend-1
Jonah Delange,FR,K,,jonah-delange-1
Matthew Quinn,SR,K,,matthew-quinn-2
Jacob Marroquin,JR,K,,jacob-marroquin-1
Jonathan Allen,FR,DL,,jonathan-allen-3
Joker Gill,JR,DL,,joker-gill-1
Tyrique Howard,SR,DL,,tyrique-howard-1
Fish Mcwilliams,SR,DL,,fish-mcwilliams-1
Miquon Merriweather,FR,DL,,miquon-merriweather-1
Michael Moore,JR,DL,,michael-moore-6
Kevin Penn,SR,DL,,kevin-penn-1
Eamon Smalls,FR,DL,,eamon-smalls-1
Tyler Thomas,FR,DL,,tyler-thomas-5
Emanuel Walker,FR,DL,,emanuel-walker-1
Matthew Craig,SO,DL,,matthew-craig-1
Jamin Graham,JR,DL,,jamin-graham-2
Connor Knight,FR,DL,,connor-knight-2
Fred Owens,FR,DL,,fred-owens-2
Elijah williams,FR,DL,,elijah-williams-4
Jackson Bratton,JR,LB,,jackson-bratton-1
Tamarious Brown,JR,LB,,tamarious-brown-1
Reise Collier,JR,LB,,reise-collier-1
Nikia Eason,SR,LB,,nikia-eason-1
Brandon Franklin,FR,LB,,brandon-franklin-1
Charlie Goode,SO,LB,,charlie-goode-1
Kendall Johnson,JR,LB,,kendall-johnson-3
Desmond Little,JR,LB,,desmond-little-1
Jason Riles Jr.,SO,LB,,jason-riles-jr-1
Everett Roussaw Jr.,FR,LB,,everett-roussaw-jr-1
James Smyre,SO,LB,,james-smyre-1
Will Sorrells,SO,LB,,will-sorrells-1
Patrick Foley,SO,P,,patrick-foley-1
Caden Long,SO,P,,caden-long-1
Chris Bracy,FR,S,,chris-bracy-1
AJ Brown,FR,S,,aj-brown-4
Colby Dempsey,JR,CB,,colby-dempsey-1
A.D. Diamond,SO,CB,,ad-diamond-1
Xander Echols,SO,LS,,xander-echols-1
Michael Fairbanks II,SR,DE,,michael-fairbanks-ii-1
