Player,Class,Pos,Summary,Player-additional
Cooper Legas,SR,QB,138 Cmp 213 Att 1815 Yds 19 TD,cooper-legas-1
McCae Hillstead,FR,QB,94 Cmp 158 Att 1062 Yds 11 TD,mccae-hillstead-1
Levi Williams,JR,QB,35 Cmp 61 Att 425 Yds 5 TD,levi-williams-1
Ezra Harris,FR,QB,,ezra-harris-1
Zeke Payne,JR,QB,,zeke-payne-1
Davon Booth,JR,RB,120 Att 805 Yds 6.7 Avg,davon-booth-1
Rahsul Faison,JR,RB,118 Att 736 Yds 6.2 Avg,rahsul-faison-1
Robert Briggs,SO,RB,80 Att 420 Yds 5.3 Avg,robert-briggs-1
Cooper Jones,SR,RB,14 Att 45 Yds 3.2 Avg,cooper-jones-2
Jaydon Bailey,FR,RB,,jaydon-bailey-1
Corbin Cottle,FR,RB,,corbin-cottle-1
Sione Finau,SR,RB,,sione-finau-1
Reggie Foster,FR,RB,,reggie-foster-1
Terrell Vaughn,SR,WR,89 Rec 933 Yds 10.5 Avg,terrell-vaughn-1
Jalen Royals,JR,WR,71 Rec 1080 Yds 15.2 Avg,jalen-royals-1
Micah Davis,JR,WR,36 Rec 628 Yds 17.4 Avg,micah-davis-1
Colby Bowman,JR,WR,11 Rec 247 Yds 22.5 Avg,colby-bowman-1
Otto Tia,SO,WR,5 Rec 62 Yds 12.4 Avg,otto-tia-1
Kahanu Davis,JR,WR,2 Rec 14 Yds 7.0 Avg,kahanu-davis-1
Kyrese Rowan,JR,WR,2 Rec 6 Yds 3.0 Avg,kyrese-rowan-2
Ryder MacGillivray,SO,WR,,ryder-macgillivray-1
Austin Okerwa,FR,WR,,austin-okerwa-1
Quentin Riley,FR,WR,,quentin-riley-1
Kyle Van Leeuwen,SR,WR,,kyle-van-leeuwen-1
Zakkarii Black,FR,WR,,zakkarii-black-1
Cole Christensen,FR,WR,,cole-christensen-1
Arcelles Johnaon,JR,WR,,arcelles-johnaon-1
Jackson Olsen,FR,WR,,jackson-olsen-1
Grant Page,FR,WR,,grant-page-1
Broc Lane,JR,TE,21 Rec 208 Yds 9.9 Avg,broc-lane-1
Josh Sterzer,SR,TE,2 Rec 11 Yds 5.5 Avg,josh-sterzer-1
Will Monney,FR,TE,1 Rec 3 Yds 3.0 Avg,will-monney-1
Chase Tuatagaloa,FR,TE,,chase-tuatagaloa-1
Parker Buchanan,SO,TE,,parker-buchanan-1
Falepule Alo,SR,OL,,falepule-alo-1
Teague Andersen,FR,OL,,teague-andersen-1
Shively Asoau Fua,JR,OL,,shively-asoau-fua-1
Wyatt Bowles,SR,OL,,wyatt-bowles-1
Ralph Frias,SR,OL,,ralph-frias-1
Calvin Knapp,SR,OL,,calvin-knapp-1
Aloali'i Maui,SO,OL,,aloalii-maui-1
Wade Meacham,SR,OL,,wade-meacham-1
Elia Migao,SO,OL,,elia-migao-1
Cole Motes,JR,OL,,cole-motes-1
Tavo Motu'apuaka,FR,OL,,tavo-motuapuaka-1
Jackson Owens,SR,OL,,jackson-owens-1
Jarvis Griffiths,FR,OL,,jarvis-griffiths-1
Jake Hellmann,JR,OL,,jake-hellmann-1
