Player,Class,Pos,Summary,Player-additional
Kyron Drones,SO,QB,166 Cmp 285 Att 2085 Yds 17 TD,kyron-drones-1
Grant Wells,SR,QB,38 Cmp 69 Att 521 Yds 5 TD,grant-wells-1
William Watson III,FR,QB,0 Cmp 1 Att 0 Yds 0 TD,william-watson-iii-1
Ben Locklear,SO,QB,,ben-locklear-1
Jackson Sigler,FR,QB,,jackson-sigler-1
Dylan Wittke,FR,QB,,dylan-wittke-1
Malachi Thomas,SO,RB,83 Att 381 Yds 4.6 Avg,malachi-thomas-1
Bhayshul Tuten,JR,RB,173 Att 863 Yds 5.0 Avg,bhayshul-tuten-1
Bryce Duke,SO,RB,11 Att 69 Yds 6.3 Avg,bryce-duke-1
Jeremiah Coney,FR,RB,10 Att 28 Yds 2.8 Avg,jeremiah-coney-1
Chance Black,SO,RB,6 Att 22 Yds 3.7 Avg,chance-black-2
Tralon Mitchell,FR,RB,1 Att 3 Yds 3.0 Avg,tralon-mitchell-1
P.J. Prioleau,SO,RB,,pj-prioleau-1
Jaylin Lane,SR,WR,41 Rec 538 Yds 13.1 Avg,jaylin-lane-1
Xayvion Turner-Bradshaw,FR,WR,1 Rec 9 Yds 9.0 Avg,xayvion-turner-bradshaw-1
Tucker Holloway,SO,WR,5 Rec 49 Yds 9.8 Avg,tucker-holloway-1
Da'Quan Felton,SR,WR,38 Rec 667 Yds 17.6 Avg,daquan-felton-1
Stephen Gosnell,SR,WR,22 Rec 348 Yds 15.8 Avg,stephen-gosnell-1
Da'Wain Lofton,JR,WR,6 Rec 58 Yds 9.7 Avg,dawain-lofton-1
Ayden Greene,FR,WR,5 Rec 56 Yds 11.2 Avg,ayden-greene-1
Ali Jennings,SR,WR,5 Rec 72 Yds 14.4 Avg,ali-jennings-1
Marcel Baylor,FR,WR,,marcel-baylor-1
Cole Beck,SR,WR,,cole-beck-1
Chance Fitzgerald,FR,WR,,chance-fitzgerald-1
Takye Heath,FR,WR,,takye-heath-1
Luke Shields,FR,WR,,luke-shields-1
Latrell Sutton,FR,WR,,latrell-sutton-1
Jordan Tapscott,FR,WR,,jordan-tapscott-1
Dae'Quan Wright,SO,TE,28 Rec 366 Yds 13.1 Avg,daequan-wright-1
Benji Gosnell,FR,TE,12 Rec 137 Yds 11.4 Avg,benji-gosnell-1
Harrison Saint Germain,FR,TE,2 Rec 13 Yds 6.5 Avg,harrison-saint-germain-1
Ja'Ricous Hairston,FR,TE,,jaricous-hairston-1
Cole Pickett,SO,TE,,cole-pickett-1
Cole Reemsnyder,FR,TE,,cole-reemsnyder-1
Nick Gallo,SR,TE,,nick-gallo-2
Khiari Miller,FR,TE,,khiari-miller-1
Zeke Wimbush,FR,TE,,zeke-wimbush-1
Xavier Chaplin,FR,OL,,xavier-chaplin-1
Parker Clements,JR,OL,,parker-clements-1
Johnny Dickson,FR,OL,,johnny-dickson-1
Griffin Duggan,SO,OL,,griffin-duggan-1
Clayton Frady,SR,OL,,clayton-frady-1
Johnny Garrett,FR,OL,,johnny-garrett-1
Layth Ghannam,FR,OL,,layth-ghannam-1
Jack Hollifield,SO,OL,,jack-hollifield-1
Brody Meadows,FR,OL,,brody-meadows-1
Braelin Moore,FR,OL,,braelin-moore-1
Kaden Moore,JR,OL,,kaden-moore-1
Bob Schick,JR,OL,,bob-schick-1
Tyler Smedley,SO,OL,,tyler-smedley-1
Gabriel Arena,FR,OL,,gabriel-arena-1
Brayden DeMasi,FR,OL,,brayden-demasi-1
Hannes Hammer,FR,OL,,hannes-hammer-1
Hunter McLain,FR,OL,,hunter-mclain-1
Jayson Morgan,FR,OL,,jayson-morgan-1
Caleb Nitta,FR,OL,,caleb-nitta-1
Lance Williams,FR,OL,,lance-williams-5
John Love,FR,K,,john-love-2
Kyle Lowe,JR,K,,kyle-lowe-1
Cole Nelson,JR,DL,,cole-nelson-1
Jason Abbey,FR,DL,,jason-abbey-1
Keyshawn Burgos,SO,DL,,keyshawn-burgos-1
Ishmael Findlayter,FR,DL,,ishmael-findlayter-1
Josh Fuga,SR,DL,,josh-fuga-1
Gunner Givens,FR,DL,,gunner-givens-1
James Jennette,SO,DL,,james-jennette-1
Mario Kendricks,SR,DL,,mario-kendricks-1
Elijah Klock,FR,DL,,elijah-klock-1
Lemar Law Jr.,FR,DL,,lemar-law-jr-1
C.J. McCray,JR,DL,,cj-mccray-1
Jorden McDonald,SO,DL,,jorden-mcdonald-1
Pheldarius Payne,SR,DL,,pheldarius-payne-1
Wilfried Pene,JR,DL,,wilfried-pene-1
Norell Pollard,SR,DL,,norell-pollard-1
Antwaun Powell,JR,DL,,antwuan-powell-1
Malachi Madison,FR,DL,,malachi-madison-1
Jimmy Mullen,FR,DL,,jimmy-mullen-1
George Ballance,FR,LB,,george-ballance-1
Josh Hand,FR,LB,,josh-hand-1
Matt Johnson,SR,LB,,matt-johnson-11
Will Johnson,SO,LB,,will-johnson-9
Jaden Keller,SO,LB,,jaden-keller-1
Keli Lawson,SO,LB,,keli-lawson-1
Jayden McDonald,SO,LB,,jayden-mcdonald-2
Alan Tisdale,SR,LB,,alan-tisdale-1
Tavorian Copeland,FR,LB,,tavorian-copeland-1
Aycen Stevens,FR,LB,,aycen-stevens-1
Darius Taylor,FR,LB,,darius-taylor-2
Antonio Cotman Jr.,FR,DB,,antonio-cotman-jr-1
Keonta Jenkins,SR,DB,,keonta-jenkins-1
Caleb Woodson,FR,DB,,caleb-woodson-1
Sam Hughes,SO,DB,,sam-hughes-2
Brody Jones,FR,DB,,brody-jones-1
Peter Moore,JR,P,,peter-moore-1
Bryce LaFollette,FR,P,,bryce-lafollette-1
Nick Veltsistas,SO,P,,nick-veltsistas-1
Devin Alves,FR,S,,devin-alves-1
Luke Bussel,SR,S,,luke-bussel-1
Derrick Canteen,SR,CB,,derrick-canteen-1
Tyler Childress,SO,S,,tyler-childress-1
Mansoor Delane,SO,CB,,mansoor-delane-1
Miles Ellis,SO,CB,,miles-ellis-1
Christian Epling,FR,LS,,christian-epling-1
Braylon Johnson,FR,CB,,braylon-johnson-1
Jaylen Jones,JR,S,,jaylen-jones-2
Dante Lovett,FR,CB,,dante-lovett-1
Nasir Peoples,SR,S,,nasir-peoples-1
