Player,Class,Pos,Summary,Player-additional
Tanner Mordecai,SR,QB,204 Cmp 314 Att 2066 Yds 9 TD,tanner-mordecai-1
Braedyn Locke,SO,QB,76 Cmp 152 Att 777 Yds 5 TD,braedyn-locke-1
Myles Burkett,SO,QB,,myles-burkett-1
Nick Evers,SO,QB,,nick-evers-1
Cole LaCrue,FR,QB,,cole-lacrue-1
Braelon Allen,JR,RB,181 Att 984 Yds 5.4 Avg,braelon-allen-1
Jackson Acker,SO,RB,72 Att 322 Yds 4.5 Avg,jackson-acker-1
Chez Mellusi,SR,RB,51 Att 306 Yds 6.0 Avg,chez-mellusi-1
Cade Yacamelli,SO,RB,36 Att 169 Yds 4.7 Avg,cade-yacamelli-1
Grover Bortolotti,SO,RB,,grover-bortolotti-1
Nate White,FR,RB,,nate-white-2
Will Pauling,SO,WR,74 Rec 837 Yds 11.3 Avg,will-pauling-1
Vinny Anthony,SO,WR,10 Rec 99 Yds 9.9 Avg,vinny-anthony-1
Skyler Bell,SO,WR,38 Rec 296 Yds 7.8 Avg,skyler-bell-1
Bryson Green,JR,WR,32 Rec 480 Yds 15.0 Avg,bryson-green-1
Chimere Dike,SR,WR,19 Rec 328 Yds 17.3 Avg,chimere-dike-1
CJ Williams,SO,WR,15 Rec 148 Yds 9.9 Avg,cj-williams-4
Quincy Burroughs,SO,WR,4 Rec 30 Yds 7.5 Avg,quincy-burroughs-1
Trech Kekahuna,FR,WR,4 Rec 64 Yds 16.0 Avg,trech-kekahuna-1
Haakon Anderson,JR,WR,1 Rec 8 Yds 8.0 Avg,haakon-anderson-1
Keontez Lewis,JR,WR,1 Rec 12 Yds 12.0 Avg,keontez-lewis-1
Chris Brooks,SO,WR,,chris-brooks-2
Cam Fane,SO,WR,,cam-fane-1
Tommy McIntosh,SO,WR,,tommy-mcintosh-1
Alex Moeller,SO,WR,,alex-moeller-1
Grady O'Neill,SO,WR,,grady-oneill-1
Davion Thomas-Kumpula,FR,WR,,davion-thomas-kumpula-1
Hayden Rucci,SR,TE,11 Rec 125 Yds 11.4 Avg,hayden-rucci-1
