Player,Class,Pos,Summary
John Busha,SR,QB,"29 Cmp, 79 Att, 415 Yds, 1 TD"
Quentin Hayes,JR,QB,"25 Cmp, 43 Att, 455 Yds, 3 TD"
Josh Johnson,JR,QB,"6 Cmp, 14 Att, 126 Yds, 1 TD"
Maguire Martin,JR,QB,
Liam Szarka,SO,QB,
Dylan Carson,SR,RB,"138 Att, 600 Yds, 4.3 Avg"
Owen Allen,JR,RB,"77 Att, 335 Yds, 4.4 Avg"
Kade Frew,SR,RB,"45 Att, 260 Yds, 5.8 Avg"
Taylor Latham,SR,RB,"22 Att, 62 Yds, 2.8 Avg"
Aiden Calvert,SR,RB,"18 Att, 91 Yds, 5.1 Avg"
Rocco Conti,JR,RB,"8 Att, 19 Yds, 2.4 Avg"
Kaden Cloud,SR,RB,"5 Att, 19 Yds, 3.8 Avg"
Darius Stone,SR,RB,"3 Att, 7 Yds, 2.3 Avg"
Kaleb Killian,SR,RB,
Kale Gibbs,SR,RB,
Houston Thomas,JR,RB,
Jalen Rashad Turner,JR,RB,
Brandon Engel,SR,WR,"3 Rec, 31 Yds, 10.3 Avg"
Cade Harris,SR,WR,"23 Rec, 368 Yds, 16.0 Avg"
Cameron Breier,SR,WR,
Quin Smith,SR,WR,"11 Rec, 216 Yds, 19.6 Avg"
Jared Roznos,JR,WR,"5 Rec, 109 Yds, 21.8 Avg"
Tre Roberson,SR,WR,"4 Rec, 78 Yds, 19.5 Avg"
Reign Broadway,SO,WR,"1 Rec, 18 Yds, 18.0 Avg"
Kendin Alexander,SR,WR,
Owen Chambers,JR,WR,
Evan Rau,SR,WR,
Keshon Singleton,SO,WR,
Parker St. John,SR,WR,
Jonah Dawson,SO,WR,
Brody Guinn,SO,WR,
Adam Hrynciw,JR,WR,
Matt Long,SO,WR,
Grant Simmons,SR,WR,
Grant Wayne,JR,WR,
Jet Wiley,JR,WR,
Bruin Fleischmann,SR,TE,"4 Rec, 95 Yds, 23.8 Avg"
Carter Chances-Hill,SR,TE,
Simon Kibbee,JR,TE,
Parker Menefee,SR,TE,
Omari Murdock,JR,TE,
Cody Ahola,JR,TE,
Kaleb Tompkins,SR,TE,
Cameron Collins,SR,OL,
Nathan Elwood,JR,OL,
Alec Falk,JR,OL,
Samuel Floysand,SR,OL,
Jackson Kohal,SR,OL,
Luca Kowalik,JR,OL,
Tyler Lawrence,JR,OL,
Michael McAnninch,SR,OL,
Alex Moore,JR,OL,
TJ Tarascio,JR,OL,
Trevor Tate,SR,OL,
Jon Ashford,SO,OL,
Brandon Nazworth,SO,OL,
Henry Rickels,JR,OL,
Gage Spencer,JR,OL,
Griffin Stalfort,JR,OL,
Rudy Varela,JR,OL,
Luke Freer,SR,K,
Reagan Tubbs,SR,K,
Luke Faccone,SO,K,
Logan Lehrer,SO,K,
Jacob Medina,SO,K,
Bryce Olson,JR,K,
Daniel Grobe,SR,DL,
Jayden Oquendo,JR,DL,
"Lukia Rawls, Jr.",JR,DL,
Aiden Swartz,SR,DL,
Andrew Tillett,JR,DL,
James Tomasi,SR,DL,
Brody Whitson,JR,DL,
Payton Zdroik,SR,DL,
Brian Bradley,SR,DL,
Jackson Garrett,SR,DL,
Brent Winfree,SR,DL,
Jackson Adams,SR,LB,
Osaro Aihie,SR,LB,
Jonah Bowman,SO,LB,
Brody Bujnoch,JR,LB,
Are'an Burr,SR,LB,
Jack Curtis,SR,LB,
Dallas Daley,JR,LB,
Luke Fisher,JR,LB,
Blake Fletcher,JR,LB,
Isaac Hubert,JR,LB,
Robert Mbroh,SR,LB,
Cole Palmer,SR,LB,
Jaylin Reese,SO,LB,
Elijah Sanders,SR,LB,
David Santiago,JR,LB,
Jordan Shuler,JR,LB,
Grant Uyl,SR,LB,
Michael Bunyan,JR,LB,
Vinnie Canosa,SO,LB,
Drew Dubuclet,SR,LB,
Ty Hubert,SR,LB,
Zach Juckel,SR,LB,
Luke Meyer,JR,LB,
K.C. Beard,SR,DB,
Nick Beckwith,SO,DB,
Jamari Bellamy,SR,DB,
Shawn Braxton,JR,DB,
Levi Brown,SR,DB,
Hiroshi Carr,JR,DB,
Kyle Chen,JR,DB,
Tyme Collins,SR,DB,
Jerome Gaillard Jr.,SR,DB,
Camby Goff,SR,DB,
Houston Hendrix,JR,DB,
Korey Johnson,SO,DB,
Devin Jordan,JR,DB,
Jake Martin,SR,DB,
Jarvis McIntosh,JR,DB,
Lincoln Tuioti-Mariner,JR,DB,
Trey Williams,SR,DB,
William Courtney,JR,DB,
Aidan Plate,SR,DB,
Carson Bay,SR,P,
Matthew Dapore,SR,P,
Rocco D'Angelo,SO,P,
William Duncan,SO,P,
Ripp Perez,JR,P,
Terrence Gist,SR,FB,
Roman Bradley,JR,FB,
Kemper Hodges,JR,FB,
Gabriel Averitt,SR,OC,
Jack Burnett,SR,OC,
Kurt Chesney,SR,LS,
Costen Cooley,SR,OG,
Anthony DeBerardino,SR,LS,
Cade Palmer,JR,FB,
Jace Sutulovich,SR,OG,
Dominic Diaz,SO,LS,
Jake Helms,SO,LS,
