Player,Class,Pos,Summary
Ben Finley,SR,QB,"212 Cmp, 387 Att, 2604 Yds, 16 TD"
Tahj Bullock,SR,QB,"21 Cmp, 29 Att, 176 Yds, 0 TD"
Brayden Roggow,SO,QB,"1 Cmp, 2 Att, 9 Yds, 0 TD"
Johnny Brookhart,SO,QB,
Jordon Simmons,SR,RB,"110 Att, 664 Yds, 6.0 Avg"
Charles Kellom,JR,RB,"85 Att, 352 Yds, 4.1 Avg"
Marquese Williams,SO,RB,"6 Att, 13 Yds, 2.2 Avg"
Jordan Castleberry,SR,RB,
Luke Reed,SO,RB,
Fahrell Freeman,SO,RB,
Sean Patrick,SO,RB,
Bobby Golden,SR,WR,"31 Rec, 446 Yds, 14.4 Avg"
Adrian Norton,JR,WR,"43 Rec, 831 Yds, 19.3 Avg"
Israel Polk,SO,WR,"24 Rec, 201 Yds, 8.4 Avg"
Ahmarian Granger,SR,WR,"17 Rec, 308 Yds, 18.1 Avg"
Jarvis Rush,SR,WR,"9 Rec, 101 Yds, 11.2 Avg"
Paul Davis,JR,WR,"1 Rec, 2 Yds, 2.0 Avg"
Kyan Mason,SO,WR,"1 Rec, 28 Yds, 28.0 Avg"
Justin Campbell,SR,WR,
Jean Louis III,SO,WR,
Myles Walker,SR,WR,
Alex Adams,SR,WR,
Isaiah Jones,JR,WR,
Dominic Monz,SO,WR,
Phaizon Wilson,JR,WR,
Jake Newell,JR,TE,"35 Rec, 254 Yds, 7.3 Avg"
Conner Cravaack,JR,TE,"13 Rec, 147 Yds, 11.3 Avg"
Aiden Diaz,SO,TE,
Grant Gainer,SR,TE,
Max Whisner,JR,TE,
Khalil Witherspoon,SO,TE,
Joshua Blanchard,SR,OL,
Jerrod Burrell,SR,OL,
Keylen Davis,JR,OL,
AJ George,JR,OL,
Jayvin James,JR,OL,
Max Mobley,SO,OL,
Delvin Morris,JR,OL,
Laurence Seymore,SR,OL,
Dayne Shor,SR,OL,
Da'Quan Thomas,SR,OL,
Tyhler Williams,JR,OL,
Nathan Covert,SO,OL,
Alex Fox,JR,OL,
Jacob Kumfert,JR,OL,
Collin Lyons,SR,OL,
Jonas Mann,JR,OL,
Roosevelt Mitchell,SO,OL,
Jeremiah Ndaiga,SO,OL,
Nick Stopiak,JR,OL,
Dante Jackson,SR,K,
Garrison Smith,SR,K,
Owen Wiley,JR,K,
Matthew Schramm,SO,K,
Bennett Adler,SR,DL,
Zy Brockington,SR,DL,
Kam Cheatom,SO,DL,
Bruno Dall,SO,DL,
Ronald Hull,SO,DL,
Nate Kapongo,SR,DL,
Lama Lavea,SR,DL,
Dimitri Madden,SR,DL,
CJ McNunnally,SR,DL,
Marcus Moore Jr.,SO,DL,
Kiawan Murphy,JR,DL,
Andre Proffitt,SR,DL,
Elijah Davis,SO,DL,
Tristen Graham,SO,DL,
Jon'Trell Mixon,SO,DL,
Langston Ragland,JR,DL,
Rich Benenge,SO,LB,
Shammond Cooper,SR,LB,
Antavious Fish,SR,LB,
Bryan McCoy,SR,LB,
Melvin Spriggs,SO,LB,
Gage Summers,SR,LB,
Austin Wondolowski,SO,LB,
Jason Hocker,SO,LB,
Danny Nittoli,SO,LB,
Justin Anderson,SR,DB,
Sean Conroy,SR,DB,
Daymon David,SR,DB,
Malcom DeWalt IV,SR,DB,
Devonte Golden-Nelson,SR,DB,
Aman Greenwood,SR,DB,
Joey Hunter,SR,DB,
Rodrick Hunter,SO,DB,
Iesa Jarmon,SR,DB,
DiMarco Johnson,SR,DB,
Darrian Lewis,SR,DB,
Elijah Reed,JR,DB,
Noah Roach,SR,DB,
Terence Thomas,JR,DB,
Catrell White,SO,DB,
Katory Henry-Shaw,SO,DB,
Davion Jennings,JR,DB,
Keyveon Johnson,SO,DB,
Darius Owens,SO,DB,
Silas Proby,SR,DB,
Avery Book,SR,P,
Joseph Castle,JR,P,
Dahvon Frazier,SO,DE,
Paul Lewis III,SR,CB,
Liam Reardon,SR,LS,
Emmet Rhoades,SO,LS,
Kabbash Richards,SR,DE,
Jahvon Frazier,SO,DE,
