Player,Class,Pos,Summary
Jalen Milroe,SR,QB,"205 Cmp, 319 Att, 2844 Yds, 16 TD"
Ty Simpson,JR,QB,"14 Cmp, 25 Att, 167 Yds, 0 TD"
Dylan Lonergan,SO,QB,"5 Cmp, 6 Att, 23 Yds, 0 TD"
Austin Mack,SO,QB,"2 Cmp, 3 Att, 39 Yds, 1 TD"
Cade Carruth,SR,QB,
John Cooper,SO,QB,
Jamarion Miller,SR,RB,"145 Att, 668 Yds, 4.6 Avg"
Justice Haynes,JR,RB,"79 Att, 448 Yds, 5.7 Avg"
Richard Young,SO,RB,"27 Att, 146 Yds, 5.4 Avg"
Daniel Hill,SO,RB,"21 Att, 61 Yds, 2.9 Avg"
Kevin Riley,SO,RB,"10 Att, 30 Yds, 3.0 Avg"
JR Gardner,JR,RB,"2 Att, 5 Yds, 2.5 Avg"
Michael Lorino,SR,RB,"1 Att, 3 Yds, 3.0 Avg"
Fredrick Moore,SO,RB,
Kendrick Law,SR,WR,"10 Rec, 105 Yds, 10.5 Avg"
Germie Bernard,SR,WR,"50 Rec, 794 Yds, 15.9 Avg"
Ryan Williams,SO,WR,"48 Rec, 865 Yds, 18.0 Avg"
Rico Scott,SO,WR,"5 Rec, 60 Yds, 12.0 Avg"
Kobe Prentice,SR,WR,"11 Rec, 129 Yds, 11.7 Avg"
Caleb Odom,SO,WR,"7 Rec, 65 Yds, 9.3 Avg"
Cole Adams,SO,WR,"6 Rec, 94 Yds, 15.7 Avg"
Emmanuel Henderson,SR,WR,"4 Rec, 82 Yds, 20.5 Avg"
Bubba Hampton,SO,WR,"1 Rec, 6 Yds, 6.0 Avg"
MJ Chirgwin,SR,WR,
Colby Cruz,SR,WR,
Kaleb Fleming,SR,WR,
Jaren Hamilton,SO,WR,
Jay Loper Jr.,SR,WR,
Cooper Mollyson,SO,WR,
Miguel Camboia,JR,WR,
Jalen Hale,JR,WR,
Amari Jefferson,SO,WR,
CJ Dippre,SR,TE,"21 Rec, 256 Yds, 12.2 Avg"
Josh Cuevas,SR,TE,"16 Rec, 218 Yds, 13.6 Avg"
Robbie Ouzts,SR,TE,"8 Rec, 108 Yds, 13.5 Avg"
Jay Lindsey,SO,TE,"1 Rec, 5 Yds, 5.0 Avg"
Ty Lockwood,SO,TE,"1 Rec, 5 Yds, 5.0 Avg"
Peyton Fox,SR,TE,
Danny Lewis,JR,TE,
Coby McNeal,SR,TE,
Adam Thorsland,SR,TE,
Olaus Alinen,SO,OL,
Naquil Betrand,SO,OL,
Tyler Booker,SR,OL,
Parker Brailsford,JR,OL,
Wilkin Formby,SO,OL,
Baker Hickman,JR,OL,
Joseph Ionata,SO,OL,
Miles McVay,SO,OL,
Roq Montgomery,SO,OL,
Davis Peterson,JR,OL,
Casey Poe,SO,OL,
Elijah Pritchett,JR,OL,
Kadyn Proctor,JR,OL,
Jaeden Roberts,SR,OL,
Billy Roby,JR,OL,
Graham Roten,SR,OL,
William Sanders,SO,OL,
Mac Smith,JR,OL,
Geno Vandemark,SR,OL,
Diego Camboia,SO,OL,
Wade Estess,SO,OL,
Jackson Howell,SO,OL,
JD Martin,SO,OL,
Graham Nicholson,SR,K,
Reid Schuback,SR,K,
Conor Talty,SO,K,
Tucker Cornelius,SO,K,
Jeremiah Beaman,SO,DL,
Isaia Faga,SO,DL,
Edric Hill,SO,DL,
Keon Keeley,SO,DL,
Tim Keenan III,SR,DL,
Jah-Marien Latham,SR,DL,
Jaheim Oatis,SR,DL,
Hunter Osborne,SO,DL,
Lebbeus Overton,SR,DL,
Damon Payne Jr.,SR,DL,
Jordan Renaud,SO,DL,
James Smith,JR,DL,
Tim Smith,SR,DL,
Jeremiah Alexander,JR,LB,
Noland Asberry,SR,LB,
Jihaad Campbell,SR,LB,
Noah Carter,SO,LB,
Sterling Dixon,SO,LB,
Justin Jefferson,SR,LB,
Cayden Jones,SO,LB,
Keanu Koht,SR,LB,
Deontae Lawson,SR,LB,
Justin Okoronkwo,SO,LB,
Yhonzae Pierre,SO,LB,
QB Reese,SO,LB,
Quandarrius Robinson,SR,LB,
Jayshawn Ross,SO,LB,
Qua Russaw,SO,LB,
JD Baird,SR,LB,
Braylon Chatman,JR,LB,
Jake Ivie,JR,LB,
Ayden Moore,SO,LB,
Vito Perri,JR,LB,
Lane Whisenhunt,JR,LB,
Zabien Brown,SO,DB,
Kameron Howard,JR,DB,
Bray Hubbard,JR,DB,
Jahlil Hurley,SO,DB,
Domani Jackson,SR,DB,
DaShawn Jones,SR,DB,
Dre Kirkpatrick Jr.,SO,DB,
King Mack,JR,DB,
Alijah May,SR,DB,
Jaylen Mbakwe,SO,DB,
Zavier Mincey,SO,DB,
Malachi Moore,SR,DB,
Red Morgan,SO,DB,
Kolby Peavy,JR,DB,
Keon Sabb,JR,DB,
Devonta Smith,SR,DB,
Prince Butler,SR,DB,
Chase Davis,SR,DB,
Cole Davis,SO,DB,
Griffin Hanson,SO,DB,
Walter Sansing,JR,DB,
Ryder Stewart,SO,DB,
Conner Warhurst,JR,DB,
Peyton Yates,SR,DB,
James Burnip,SR,P,
Anderson Green,SO,P,
Nick Serpa,SR,P,
Kneeland Hibbett,SR,LS,
Alex Rozier,SR,LS,
Jay Williams,SO,LS,
Kade Wehby,SR,LS,
