Player,Class,Pos,Summary
Joey Aguilar,SR,QB,"218 Cmp, 390 Att, 3003 Yds, 23 TD"
Billy Wiles,SR,QB,"0 Cmp, 1 Att, 0 Yds, 0 TD"
Cameron Estep,SO,QB,
David Hernandez,SR,QB,
Matthew Wilson,SO,QB,
Ahmani Marshall,SR,RB,"149 Att, 713 Yds, 4.8 Avg"
Kanye Roberts,JR,RB,"82 Att, 332 Yds, 4.0 Avg"
Anderson Castle,SR,RB,"50 Att, 246 Yds, 4.9 Avg"
Maquel Haywood,SR,RB,"29 Att, 148 Yds, 5.1 Avg"
Jaylon Calhoun,SO,RB,"1 Att, 2 Yds, 2.0 Avg"
Khamani Alexander,SO,RB,
Michael Dipasquale,SO,RB,
Kaedin Robinson,SR,WR,"53 Rec, 840 Yds, 15.8 Avg"
Makai Jackson,SR,WR,"46 Rec, 745 Yds, 16.2 Avg"
Christian Horn,SR,WR,"20 Rec, 367 Yds, 18.4 Avg"
Dalton Stroman,SR,WR,"20 Rec, 307 Yds, 15.4 Avg"
Michael Hetzel,SR,WR,"5 Rec, 67 Yds, 13.4 Avg"
William Fowles,SO,WR,"2 Rec, 29 Yds, 14.5 Avg"
Chris Lawson Jr.,SO,WR,
Zavier Short,JR,WR,
Franklin Baret Jr.,SO,WR,
Ayden Burkey,SO,WR,
Zahn Coakley,SO,WR,
Bryce Gee,SO,WR,
Luke Hale,JR,WR,
Blake Hoban,SR,WR,
Reece Larson,JR,WR,
Jose Leon,SO,WR,
Grant Tucker,SO,WR,
Eli Wilson,SR,TE,"25 Rec, 293 Yds, 11.7 Avg"
David Larkins,SR,TE,"5 Rec, 18 Yds, 3.6 Avg"
Kanen Hamlett,JR,TE,"4 Rec, 35 Yds, 8.8 Avg"
Max Drag,SO,TE,"1 Rec, 11 Yds, 11.0 Avg"
Jared Gibble,SR,TE,
Jack Kelly,SO,TE,
Luke Burgess,SO,OL,
Andres Dewerk,SR,OL,
Thornton Gentry,SR,OL,
Jack Hollifield,SR,OL,
Garner Langlo,SR,OL,
Michael Marotta,SR,OL,
Jayden Ramsey,SR,OL,
Ethan Ryan,SR,OL,
Markell Samuel,SR,OL,
Griffin Scroggs,JR,OL,
Thomas Shrader,SR,OL,
Dylan Barbrey,SO,OL,
Blake Bradford,SO,OL,
Daniel Davis,SO,OL,
Felix Doege,SO,OL,
Gabe Funk,SO,OL,
Jake Ganoe,JR,OL,
JT Sowell,SO,OL,
Danny Stevens,SO,OL,
Cayden Sweatt,SO,OL,
Michael Hughes,SR,K,
Cash McVay,SR,K,
Jackson Moore,SO,K,
Carter Everett,JR,K,
Kevin Abrams-Verwayne,SR,DL,
Nick Campbell,JR,DL,
Markus Clark,SR,DL,
Shawn Collins,SR,DL,
Thomas Davis,SR,DL,
Michael Fletcher,SR,DL,
Jason Hertz,SO,DL,
Santana Hopper,JR,DL,
Montez Kelley,SR,DL,
AJ Mebane,SO,DL,
Josiah Wyatt,JR,DL,
Austin Hobson,SO,DL,
Kyle Arnholt,SR,LB,
Derrell Farrar,JR,LB,
Brendan Harrington,SR,LB,
Cahari Haynes,SO,LB,
Nate Johnson,JR,LB,
Ryan McKinnis,SO,LB,
Jack Scroggs,SR,LB,
Caden Sullivan,SR,LB,
Cole Becker,JR,LB,
Jayden Bethea,SO,LB,
Brodrick Gooch,JR,LB,
Orlando Leon,JR,LB,
Randy Marion III,SO,LB,
Isaiah McGuffin,SO,LB,
Anthony Rosier,SO,LB,
Braxton Veiga,SO,LB,
Trenton Alan Yowe,SR,DB,
DJ Burks,JR,DB,
Jason Chambers,SR,DB,
Ronald Clarke,SR,DB,
Myles Farmer,SR,DB,
Jordan Favors,SR,DB,
Zyeir Gamble,SO,DB,
Andre Hamilton,SR,DB,
Ethan Johnson,SR,DB,
Elijah Mc-Cantos,JR,DB,
Seth Robertson,SR,DB,
Jalik Thomas,SR,DB,
Carter Greene,JR,DB,
Dyvon McKinney,SR,DB,
Mitchell Lake,JR,P,
Conner Maynard,SR,P,
Avarion Cole,SR,S,
Joshua Donald,SR,DT,
Bucci Farmer,SO,DT,
Christian Johnstone,SR,LS,
Colton Phares,SO,S,
Nick Taylor,SO,CB,
Jackson Briley,SO,DE,
Jackson Bussey,SO,DE,
DeNigel Cooper,SO,DE,
Kai Fernandes,SO,S,
Luke Lair,JR,CB,
Trey Lenhardt,SO,S,
Kaleb Neal,SO,S,
Ashton Parker,SO,CB,
Tyshawn Sanders,SO,CB,
Gabriel Simpkins,JR,LS,
DaRon Wilson,SO,CB,
