Player,Class,Pos,Summary
Noah Fifita,SR,QB,"260 Cmp, 430 Att, 2958 Yds, 18 TD"
Cole Tannenbaum,SR,QB,"1 Cmp, 5 Att, 3 Yds, 0 TD"
Anthony Garcia,SO,QB,
Mason Bray,SO,QB,
Adam Damante,JR,QB,
Brayden Dorman,JR,QB,
Quali Conley,SR,RB,"150 Att, 745 Yds, 5.0 Avg"
Kedrick Reescano,JR,RB,"78 Att, 359 Yds, 4.6 Avg"
Jacory Croskey-Merritt,SR,RB,"13 Att, 106 Yds, 8.2 Avg"
Kayden Luke,SO,RB,"5 Att, 20 Yds, 4.0 Avg"
Rayshon Luke,SR,RB,"6 Rec, 52 Yds, 8.7 Avg"
Brandon Johnson,SO,RB,"3 Att, 11 Yds, 3.7 Avg"
Jabari Mann,SO,RB,
Chase Randall,SR,RB,
Anthony Wilhite,JR,RB,
Tetairoa McMillan,SR,WR,"84 Rec, 1319 Yds, 15.7 Avg"
Jeremiah Patterson,SR,WR,"26 Rec, 196 Yds, 7.5 Avg"
Chris Hunter,SR,WR,"35 Rec, 323 Yds, 9.2 Avg"
Montana Lemonious-Craig,SR,WR,"17 Rec, 172 Yds, 10.1 Avg"
Malachi Riley,JR,WR,"1 Rec, 7 Yds, 7.0 Avg"
Devin Hyatt,JR,WR,"7 Rec, 109 Yds, 15.6 Avg"
Reymello Murphy,SR,WR,"2 Rec, 38 Yds, 19.0 Avg"
Jaden Clark,SR,WR,
Rex Haynes,JR,WR,
Jackson Holman,JR,WR,
AJ Jones,JR,WR,
Jordan McCord III,SO,WR,
Brandon Phelps,SO,WR,
Sam Graci-Glazer,SO,WR,
Julius Oliver,JR,WR,
Keyan Burnett,SR,TE,"18 Rec, 217 Yds, 12.1 Avg"
Sam Olson,SR,TE,"13 Rec, 196 Yds, 15.1 Avg"
Tyler Powell,SR,TE,"5 Rec, 40 Yds, 8.0 Avg"
John Hart,SR,TE,
Roberto Miranda,SR,TE,
Dorian Thomas,JR,TE,
Dylan Tapley,SO,TE,
Josh Baker,SR,OL,
Joey Capra,SR,OL,
Alex Doost,JR,OL,
Matthew Lado,SO,OL,
Leif Magnuson,SR,OL,
Shancco Matautia,SR,OL,
Wendell Moe,SR,OL,
Jonah Savaiinaea,SR,OL,
Ryan Stewart,SR,OL,
Grayson Stovall,SR,OL,
Rhino Tapa'atoutai,JR,OL,
Michael Wooten,JR,OL,
Tylen Gonzalez,JR,OL,
JT Hand,SR,OL,
Elijha Payne,JR,OL,
Raymond Pulido,JR,OL,
Jonah Rodriguez,SO,OL,
Zarius Wells,JR,OL,
Michael Salgado-Medina,SO,K,
Tyler Loop,SR,K,
Kevon Darton,SR,DL,
Cyrus Durham,JR,DL,
Isaiah Johnson,SR,DL,
Lance Keneley,SR,DL,
Chubba Ma'ae,SR,DL,
Keanu Mailoto,SR,DL,
Eduwa Okundaye,SO,DL,
Julian Savaiinaea,JR,DL,
Tre Smith,SR,DL,
Stanley Ta'ufo'ou,SR,DL,
Ta'ita'i Uiagalelei,SR,DL,
Jarra Anderson,JR,DL,
Bryce Echols,JR,DL,
Nick Fernandez,JR,DL,
Ammon Kaufusi,JR,DL,
Stacy Bey,SO,LB,
Taye Brown,JR,LB,
Brandon Craddock,SR,LB,
Justin Flowe,SR,LB,
Kamuela Ka'aihue,JR,LB,
Jacob Manu,SR,LB,
Tyler Mustain,JR,LB,
Johno Price,JR,LB,
Jared Small,SR,LB,
Dominic Hanger,JR,LB,
Leviticus Su'a,JR,LB,
Demetrius Freeney,SR,DB,
Owen Goss,SO,DB,
Marquis Groves-Killebrew,SR,DB,
Dalton Johnson,SR,DB,
Emmanuel Karnley,JR,DB,
Jack Luttrell,SO,DB,
Gunner Maldonado,SR,DB,
Treydan Stukes,SR,DB,
Nela Taliauli,SO,DB,
CJ Flores,JR,DB,
Quinn Olson,SO,DB,
Arian Parish,JR,DB,
Kaden Wicks,SO,DB,
Jordan Forbes,SR,P,
Lachlan Bruce,SO,P,
Cash Peterman,SR,P,
Jai-Ayviauynn Celestine,SR,CB,
Nolan Clement,JR,DE,
Tacario Davis,SR,CB,
Devin Dunn,SR,CB,
Justin Holloway,SR,LS,
Gavin Hunter,JR,S,
Chase Kennedy,JR,DE,
Sterlng Lane II,SR,DE,
Dominic Lolesio,JR,DE,
Genesis Smith,JR,S,
Tristan Davis,JR,DE,
Christian Madoski,JR,DE,
Trey Naughton,JR,LS,
