Player,Class,Pos,Summary
Sam Leavitt,SO,QB,"216 Cmp, 350 Att, 2885 Yds, 24 TD"
Jeff Sims,SR,QB,"13 Cmp, 25 Att, 168 Yds, 0 TD"
Trenton Bourguet,SR,QB,"2 Cmp, 3 Att, 71 Yds, 1 TD"
Navi Bruzon,SO,QB,
Christian Hunt,SO,QB,
Tyler Laskaris,SO,QB,
Cameron Skattebo,SR,RB,"293 Att, 1711 Yds, 5.8 Avg"
Kyson Brown,JR,RB,"73 Att, 351 Yds, 4.8 Avg"
DeCarlos Brooks,SR,RB,"37 Att, 148 Yds, 4.0 Avg"
Raleek Brown,JR,RB,"9 Att, 42 Yds, 4.7 Avg"
Alton McCaskill,SR,RB,"7 Att, 17 Yds, 2.4 Avg"
Jason Brown Jr.,SO,RB,"4 Att, 33 Yds, 8.3 Avg"
Jake Smith,SR,WR,"6 Rec, 91 Yds, 15.2 Avg"
Melquan Stovall,SR,WR,"24 Rec, 287 Yds, 12.0 Avg"
Derek Eusebio,SO,WR,"1 Rec, 64 Yds, 64.0 Avg"
Jordyn Tyson,SR,WR,"75 Rec, 1101 Yds, 14.7 Avg"
Xavier Guillory,SR,WR,"22 Rec, 339 Yds, 15.4 Avg"
Troy Omeire,SR,WR,"5 Rec, 59 Yds, 11.8 Avg"
Malik McClain,SR,WR,"2 Rec, 85 Yds, 42.5 Avg"
Coben Bourguet,SR,WR,"1 Rec, 7 Yds, 7.0 Avg"
Max Ware,JR,WR,
Kaleb Black,SO,WR,
Armon Collins,SR,WR,
Deric English,SO,WR,
Korbin Hendrix,SO,WR,
Zechariah Sample,SO,WR,
Justice Spann,SO,WR,
Jamaal Young II,SO,WR,
Chamon Metayer,SR,TE,"32 Rec, 306 Yds, 9.6 Avg"
Markeston Douglas,SR,TE,"1 Rec, 3 Yds, 3.0 Avg"
Cameron Harpole,SR,TE,"1 Rec, 17 Yds, 17.0 Avg"
Coleson Arends,SO,TE,
Jayden Fortier,SO,TE,
James Giggey,SO,TE,
Sinjin Schmitt,SO,TE,
Keona Peat,SO,OL,
Joshua Atkins,SR,OL,
Emmit Bohle,SR,OL,
Cade Briggs,SR,OL,
Ben Coleman,SR,OL,
Leif Fautanu,SR,OL,
Colby Garvin,SR,OL,
Max Iheanachor,SR,OL,
Terrell Kim,SO,OL,
Sean Na'a,JR,OL,
Makua Pule,SO,OL,
Kyle Scott,SR,OL,
Joey Su'a,SO,OL,
Bram Walden,SR,OL,
Connor Cameron,SO,OL,
Luis Cordova,SO,OL,
Kaden Haeckel,SO,OL,
Sirri Kandiyeli,SO,OL,
Carson Keim,SO,OL,
Jalen Klemm,JR,OL,
Brandon Lloyd,SR,OL,
Semisi Tonga,SO,OL,
Champ Westbrooks,SO,OL,
Carston Kieffer,SO,K,
Ian Hershey,JR,K,
Parker Lewis,SR,K,
Blazen Lono-Wong,JR,DL,
Clayton Smith,SR,DL,
Jeffery Clark,SR,DL,
J.P. Deeter,JR,DL,
Prince Dorbah,SR,DL,
C.J. Fite,JR,DL,
Jacob Kongaika,SR,DL,
Elijah O'Neil,SR,DL,
Ian Shewell,SR,DL,
Zac Swanson,JR,DL,
J'Mond Tapp,JR,DL,
Myles Amey,JR,DL,
Kyran Bourda,SO,DL,
Harold Brooks III,SR,DL,
Anthonie Cooper,SR,DL,
Landen Thomas,SO,DL,
Ramar Williams,SO,DL,
Jordan Crook,SR,LB,
Keyshaun Elliot,SR,LB,
Zyrus Fiaseu,SR,LB,
Martell Hughes,SO,LB,
Krew Jackson,SR,LB,
Caleb McCullough,SR,LB,
Tate Romney,JR,LB,
K'Vion Thunderbird,JR,LB,
Prayer Young-Blackgoat,SO,LB,
Keith Abney II,JR,DB,
Xavion Alford,SR,DB,
Rodney Bimage Jr.,SO,DB,
Keontez Bradley,JR,DB,
Adama Fall,SR,DB,
Plas Johnson,SO,DB,
Cole Martin,JR,DB,
Kyan McDonald,SO,DB,
Javan Robinson,JR,DB,
Shamari Simmons,SR,DB,
Montana Warren,SO,DB,
Laterrance Welch,SR,DB,
Kamari Wilson,JR,DB,
Jack Bal,SO,DB,
Chris Johnson II,SO,DB,
Nikko Klemm,SO,DB,
Joseph McGinnis II,JR,DB,
Tony-Louis Nkuba,SO,DB,
Kayman Rawls,SR,DB,
Tommy Romano,SO,DB,
Ja'Mori Williams,SO,DB,
Kanyon Floyd,SO,P,
Race Mahlum,SR,P,
Salesi Manu,SO,DE,
Cole Marszalek,SO,LS,
Tristan Monday,JR,DE,
Roman Pitre,JR,DE,
Myles Rowser,SR,S,
Albert Smith III,SO,DE,
Chance Symons,JR,DE,
Tyler Wigglesworth,JR,LS,
Justin Wodtly,SR,DE,
