Player,Class,Pos,Summary
Taylen Green,SR,QB,"230 Cmp, 381 Att, 3154 Yds, 15 TD"
Malachi Singleton,SO,QB,"21 Cmp, 28 Att, 358 Yds, 1 TD"
KJ Jackson,SO,QB,"4 Cmp, 4 Att, 59 Yds, 0 TD"
Rykar Acebo,JR,QB,
Blake Boda,SO,QB,
Austin Ledbetter,SO,QB,
Ja'Quinden Jackson,SR,RB,"149 Att, 790 Yds, 5.3 Avg"
Braylen Russell,SO,RB,"67 Att, 354 Yds, 5.3 Avg"
Rashod Dubinion,SR,RB,"56 Att, 335 Yds, 6.0 Avg"
Rodney Hill,JR,RB,"28 Att, 184 Yds, 6.6 Avg"
Tyrell Reed Jr.,JR,RB,"6 Att, 36 Yds, 6.0 Avg"
Jezreel Bachert,JR,RB,
Emmanuel Crawford,SO,RB,
Cade Fields,JR,RB,
JuJu Pope,SO,RB,
Jordan Anthony,JR,WR,"8 Rec, 111 Yds, 13.9 Avg"
Isaiah Sategna,JR,WR,"37 Rec, 491 Yds, 13.3 Avg"
Andrew Armstrong,SR,WR,"78 Rec, 1140 Yds, 14.6 Avg"
Isaac TeSlaa,SR,WR,"28 Rec, 545 Yds, 19.5 Avg"
Tyrone Broden,SR,WR,"15 Rec, 197 Yds, 13.1 Avg"
CJ Brown,SO,WR,"5 Rec, 62 Yds, 12.4 Avg"
Dazmin James,SO,WR,"3 Rec, 137 Yds, 45.7 Avg"
Khafre Brown,SR,WR,"2 Rec, 42 Yds, 21.0 Avg"
Monte Harrison,SO,WR,"2 Rec, 29 Yds, 14.5 Avg"
Krosse Johnson,SO,WR,"2 Rec, 25 Yds, 12.5 Avg"
Davion Dozier,SO,WR,"1 Rec, 13 Yds, 13.0 Avg"
Kamron Bibby,JR,WR,
Bryce Stephens,SR,WR,
Jaedon Wilson,SR,WR,
Walker Catsavis,JR,WR,
Jace Petty,JR,WR,
Zach Taylor,SO,WR,
Luke Hasz,JR,TE,"26 Rec, 324 Yds, 12.5 Avg"
Andreas Paaske,SR,TE,"3 Rec, 19 Yds, 6.3 Avg"
Ty Washington,JR,TE,"2 Rec, 25 Yds, 12.5 Avg"
Shamar Easter,SO,TE,"1 Rec, 16 Yds, 16.0 Avg"
Var'keyes Gumms,SR,TE,"1 Rec, 0 Yds, 0.0 Avg"
Maddox Lassiter,SO,TE,
Spencer Henslee,SO,TE,
Keshawn Blackstock,SR,OL,
Kobe Branham,SO,OL,
Josh Braun,SR,OL,
Ty'kieast Crawford,SR,OL,
Brooks Edmonson,JR,OL,
E'Marion Harris,JR,OL,
Patrick Kutas,SR,OL,
Joe More,SR,OL,
Addison Nichols,JR,OL,
Josh Street,SR,OL,
Tommy Varhall,SR,OL,
Amaury Wiggins,SR,OL,
Luke Brown,JR,OL,
Timothy Dawn,JR,OL,
Alex Johnson,SO,OL,
Zuri Madison,SO,OL,
Jonas Nantze,SO,OL,
Payton Parks-Smith,JR,OL,
Aaron Smith,JR,OL,
Kyle Ramsey,SR,K,
Matthew Shipley,SR,K,
Charlie Von Der Meden,SO,K,
Vito Calvaruso,SR,K,
Cameron Ball,SR,DL,
Charlie Collins,SO,DL,
Nico Davillier,SR,DL,
Ian Geffrard,SO,DL,
Eric Gregory,SR,DL,
Kavion Henderson,SO,DL,
Jon Hill,SR,DL,
JJ Hollingsworth,JR,DL,
Landon Jackson,SR,DL,
Kaleb James,SO,DL,
Keivie Rose,SR,DL,
Danny Saili,SR,DL,
Elijah Brown,JR,DL,
Donovan Whitten,SO,DL,
Brooks Both,SR,LB,
Carson Dean,SO,LB,
Stephen Dix Jr.,SR,LB,
Kaden Henley,JR,LB,
Alex Sanford,JR,LB,
Bradley Shaw,SO,LB,
Wyatt Simmons,SO,LB,
Xavian Sorey Jr.,SR,LB,
Brad Spence,JR,LB,
Larry Worth,SR,LB,
Brooks Yurachek,SO,LB,
Preston Davis,SO,LB,
Justin Logan,SO,LB,
Mason Schueck,JR,LB,
Joseph Whitt,SO,LB,
Jaylon Braxton,JR,DB,
Selman Bridges,SO,DB,
Hudson Clark,SR,DB,
Dylan Hasz,JR,DB,
Ahkhari Johnson,SO,DB,
Jayden Johnson,SR,DB,
Aidan McCowan,JR,DB,
Tevis Metcalf,SO,DB,
TJ Metcalf,JR,DB,
Miguel Mitchell,SR,DB,
Landon Phipps,JR,DB,
Marquise Robinson,SR,DB,
Jabrae Shaw,JR,DB,
Jaheim Singletary,JR,DB,
Doneiko Slaughter,SR,DB,
Kee'yon Stewart,SR,DB,
Dallas Young,SO,DB,
Jaden Allen,SO,DB,
Christian Ford,SO,DB,
John Paul Pickens,JR,DB,
Anton Pierce,JR,DB,
Braylon Watson,JR,DB,
Devin Bale,SR,P,
Sam Dubwig,SO,P,
Fernando Carmona Jr.,SR,OT,
Anton Juncaj,SR,DE,
Ashton Ngo,SR,LS,
Quincy Rhodes Jr.,JR,DE,
Anthony Switzer,SR,S,
Kyle Thompson,JR,FB,
Max Schmidly,SO,LS,
