Player,Class,Pos,Summary
Jaylen Raynor,JR,QB,"259 Cmp, 420 Att, 2783 Yds, 16 TD"
Timmy Mcclain,SR,QB,"14 Cmp, 21 Att, 163 Yds, 3 TD"
Ty Collins,SO,QB,
Josh Flowers,SO,QB,
Ty Miller,SO,QB,
Zak Wallace,SR,RB,"154 Att, 721 Yds, 4.7 Avg"
Ja'Quez Cross,SR,RB,"115 Att, 638 Yds, 5.5 Avg"
Devin Spencer,SO,RB,"40 Att, 206 Yds, 5.2 Avg"
Mike Sharpe II,SR,RB,"4 Att, 22 Yds, 5.5 Avg"
Cedric Hawkins,JR,RB,"2 Att, -6 Yds, -3.0 Avg"
Damon Sisa,SO,RB,"1 Att, 1 Yds, 1.0 Avg"
Payton Greer,SO,RB,
Noah Hopkins,SO,RB,
Javarian Otey,FR,RB,
Kameron Thomas,SO,RB,
Reagan Ealy,SR,WR,"23 Rec, 262 Yds, 11.4 Avg"
Malik Hornsby,SR,WR,"7 Rec, 39 Yds, 5.6 Avg"
Corey Rucker,SR,WR,"69 Rec, 1053 Yds, 15.3 Avg"
Courtney Jackson,SR,WR,"42 Rec, 494 Yds, 11.8 Avg"
Adam Jones,SR,WR,"21 Rec, 255 Yds, 12.1 Avg"
Hunter Summers,SO,WR,"9 Rec, 116 Yds, 12.9 Avg"
Reggie Harden,SR,WR,"3 Rec, 52 Yds, 17.3 Avg"
Tennel Bryant,JR,WR,"2 Rec, 26 Yds, 13.0 Avg"
Chauncy Cobb,JR,WR,"1 Rec, 4 Yds, 4.0 Avg"
CJ Cage,SR,WR,
Reed Linder,JR,WR,
Takare Lipscomb,JR,WR,
Trace Corum,JR,WR,
Caleb Donaldson,SO,WR,
Jaden Milliner,SR,WR,
Carter Salzman,JR,WR,
Jayvion Showers,SO,WR,
TJ Starks,SO,WR,
Kiandre Terry,SO,WR,
Emmanual Stevenson,SR,TE,"28 Rec, 203 Yds, 7.3 Avg"
Miller McCrumby,SR,TE,"11 Rec, 79 Yds, 7.2 Avg"
Tyler Little,JR,TE,"4 Rec, 20 Yds, 5.0 Avg"
Ezra Burgess,SO,TE,
Jabari Bush,SO,TE,
Ben Karlsson,SO,TE,
David Paglianite,SO,TE,
Skylar Purifoy,SO,TE,
James Rexroat,SO,TE,
Cameron Ambrose,JR,OL,
Jacob Bayer,SR,OL,
Tobias Braun,SR,OL,
Mekhi Butler,SR,OL,
Riley McGehee,SO,OL,
Mason Myers,SO,OL,
E.J. Ndoma-Ogar,SR,OL,
Noah Smith,SR,OL,
Tristian Smith,SR,OL,
Makilan Thomas,SR,OL,
Aleric Watson,JR,OL,
Austin Woods,SR,OL,
Elijah Zollicoffer,SR,OL,
Royce Baucom,SO,OL,
Walker Davis,SO,OL,
Trason Hunt,SO,OL,
Graham McLelland,SO,OL,
Tyler Montgomery,SO,OL,
Baker North,SO,OL,
Jacob Pequeno,SO,OL,
Brock Simmons,SO,OL,
Clayton Amaya,SO,K,
Clune Van Andel,JR,K,
Aidan Ellison,SR,K,
Marcus Bradley,SR,DL,
Timothy Gulley,JR,DL,
Tim Hardiman,SR,DL,
Eathan Hassler,SR,DL,
Ian Jeffries,JR,DL,
Nate Martey,SR,DL,
Kamari Stephens,SR,DL,
Brian Alston,SO,DL,
Andrew Agapos,SR,LB,
Marvin Ham II,SR,LB,
Cam Jeffery,SR,LB,
Dane Motley,SR,LB,
Chris Pearson,JR,LB,
Jordan Sample,JR,LB,
Kyle Taylor,SR,LB,
Charles Willekes,SR,LB,
Jamil Williams,JR,LB,
Chase Bogle,SO,LB,
Jourdyn Burruss,SO,LB,
TJ Hill,SO,LB,
RJ Kelly,JR,LB,
Adrian Cole,SR,DB,
Justin Hodges,SR,DB,
Jordan Mahoney,SR,DB,
Ryan Heicher,SR,P,
Jaxson Dunn,SO,P,
Magnus Haines,JR,P,
Brook Honore,JR,P,
Lucas Banks,SR,DT,
Brandon Barnes,SO,S,
AJ Beale,JR,CB,
Jack Bullard,SR,LS,
Noah Collins,SR,DE,
Websley Etienne,JR,S,
Brandon Greil,JR,S,
DeAubry Hood,JR,CB,
Braden Jackson,SO,CB,
Jayden Jones,SR,DE,
Dontay Joyner,JR,CB,
Drew Nicolson,JR,LS,
Kemari Nix,SO,S,
Micaiah Overton,SR,DT,
Justin Parks,SR,S,
James Reed III,SR,CB,
Josh Stone,SO,CB,
Trevian Thomas,SR,S,
Blayne Toll,SR,DE,
AJ Wallace,SO,S,
Bryan Whitehead II,SR,DE,
Drew Collins,SO,DE,
Kionte Curry,SR,S,
Palmer Harris,SO,LS,
Gideon Herbert,SO,DE,
Ryan Isenhart,FR,DE,
Kanon LaRusso,SO,S,
Spencer Makell,SO,CB,
Alex Martin,SO,DT,
Braxton Nixon-Snell,SO,DT,
Calen Presser,SO,DE,
Thomas Puhek,FR,DE,
Xavier Ross,SO,LS,
Obi Udom,SO,DT,
Kyle Williams,SO,CB,
