Player,Class,Pos,Summary
Bryson Daily,SR,QB,"54 Cmp, 103 Att, 1007 Yds, 9 TD"
Dewayne Coleman,SR,QB,"11 Cmp, 16 Att, 121 Yds, 1 TD"
Cale Hellums,JR,QB,
Ethan Washington,SO,QB,
Mitch Bolden,JR,QB,
Luke Knight,SO,QB,
Zach Mundell,SR,QB,
Nehemiah Vann,SO,QB,
Tyrell Robinson,SR,RB,"20 Att, 83 Yds, 4.2 Avg"
Kanye Udoh,JR,RB,"179 Att, 1117 Yds, 6.2 Avg"
Noah Short,SR,RB,"75 Att, 569 Yds, 7.6 Avg"
Hayden Reed,SR,RB,"40 Att, 207 Yds, 5.2 Avg"
Jake Rendina,JR,RB,"29 Att, 104 Yds, 3.6 Avg"
Samari Howard,JR,RB,"23 Att, 128 Yds, 5.6 Avg"
Carson Smith,JR,RB,"12 Att, 51 Yds, 4.3 Avg"
Miles Stewart,SR,RB,"4 Att, 27 Yds, 6.8 Avg"
David Clerk,JR,RB,"4 Att, 37 Yds, 9.3 Avg"
AJ Williams,SR,RB,"2 Att, 9 Yds, 4.5 Avg"
Brady Mott,JR,RB,
Sabastian Shannon,SR,RB,
Trey Tremba,SO,RB,
Pookie Arterberry,SO,RB,
Briggs Bartosh,SO,RB,
Ty Brown-Stauffer,SO,RB,
Jarel Dickson,SR,RB,
Brennan Fisher,SO,RB,
Ben Gibbs,SO,RB,
Jack Kayser,SO,RB,
Tim Kloska,SO,RB,
Randall Nauden,SO,RB,
Seth Reece,JR,RB,
Aden Self,SO,RB,
Corey Singleton Jr.,JR,RB,
Jayden Walker,SO,RB,
Bill Young,SO,RB,
Lloyd Benson III,JR,WR,
Casey Reynolds,SR,WR,"20 Rec, 457 Yds, 22.9 Avg"
Cam Schurr,SR,WR,"7 Rec, 83 Yds, 11.9 Avg"
Liam Fortner,SR,WR,"1 Rec, 28 Yds, 28.0 Avg"
Kavon Pointer,JR,WR,"1 Rec, 9 Yds, 9.0 Avg"
Chace Knox,SO,WR,
Tobi Olawole,JR,WR,
Kurt Thompson,JR,WR,
Brady Anderson,SO,WR,
Dom Esposito,SO,WR,
Josh Horton,SO,WR,
Nolan Munroe,SO,WR,
Neo Vossschulte,JR,WR,
David Crossan,SR,TE,"1 Rec, 52 Yds, 52.0 Avg"
Will Montesi,SR,TE,"1 Rec, 20 Yds, 20.0 Avg"
Parker Poloskey,JR,TE,"1 Rec, 4 Yds, 4.0 Avg"
Tex Brannan,SO,TE,
Brian Dyer,JR,TE,
Teddy Williams,JR,TE,
Grayson Baker,SO,TE,
Landon Laskey,SO,TE,
Mack O'Halloran,SO,TE,
Noah Prior,SO,TE,
James Rothstein,SO,TE,
Max Stober,SO,TE,
Nollenn Tabaska,SO,TE,
Ryan Vanscoy,SO,TE,
Henry Appleton,JR,OL,
Braden Bartosh,SR,OL,
Tanner Bivins,SR,OL,
Ned Brady,SR,OL,
Connor Finucane,SR,OL,
Paolo Gennarelli,JR,OL,
David Hoyt,SR,OL,
Will Jeffcoat,SR,OL,
Bill Katsigiannis,SR,OL,
Kyle Kloska,JR,OL,
Jordyn Law,SR,OL,
Lane Parks,JR,OL,
Lucas Scott,SR,OL,
Brady Small,JR,OL,
Xavier Archawski,SO,OL,
Everett Champlin,SO,OL,
Ben Chaney,SO,OL,
Andrew Hardwick,SO,OL,
Braeden Helmkamp,SO,OL,
Chuck Johnson,SO,OL,
Joseph Johnson,SO,OL,
Tyler Klambara,SO,OL,
Tyler Lee,JR,OL,
Josh Manecke,SO,OL,
Nick Moore,SO,OL,
Wes Shaw,SO,OL,
Sam Waters,SO,OL,
Brandon Wraalstad,JR,OL,
Jonah Zimmerman,JR,OL,
Anderson Britton,SR,K,
Trey Gronotte,SR,K,
Dawson Jones,SO,K,
Charlie Barnett,SR,K,
Bryson Hosea,SO,K,
Jake Hulstein,SO,K,
Amir Ali,JR,DL,
Nick Buchys,SO,DL,
Sean Donovan,SO,DL,
Matt Gemma,SO,DL,
Deshontez Gray,SR,DL,
Kody Harris-Miller,JR,DL,
Jack Latore,SR,DL,
Kyle Lewis,SR,DL,
Andre Miller,SR,DL,
Donovan Poe,JR,DL,
Tyler Rafferty,SR,DL,
Trey Sofia,SR,DL,
Dillon Stowers,JR,DL,
Jacob Tuioti,SR,DL,
Cody Winokur,SR,DL,
Jack Bousum,JR,DL,
Ben Britton,SO,DL,
Aiden Jones,SO,DL,
Peyton Ledford,SO,DL,
Liam McKenna,SO,DL,
Jake Rizzo,JR,DL,
Javon Smith,SO,DL,
