Player,Class,Pos,Summary
Payton Thorne,SR,QB,"199 Cmp, 317 Att, 2713 Yds, 21 TD"
Hank Brown,SO,QB,"27 Cmp, 43 Att, 403 Yds, 6 TD"
Walker White,SO,QB,"2 Cmp, 5 Att, 18 Yds, 0 TD"
Holden Geriner,JR,QB,"2 Cmp, 2 Att, 33 Yds, 0 TD"
Jackson Barkley,SR,QB,
John Colvin,SO,QB,
Jarquez Hunter,SR,RB,"187 Att, 1201 Yds, 6.4 Avg"
Damari Alston,SR,RB,"52 Att, 276 Yds, 5.3 Avg"
Jeremiah Cobb,JR,RB,"29 Att, 142 Yds, 4.9 Avg"
Sean Jackson,SR,RB,"3 Att, 13 Yds, 4.3 Avg"
Justin Jones,SR,RB,"1 Att, 24 Yds, 24.0 Avg"
Christian Burnette,SO,RB,
Brian Battie,SR,RB,
Cole Gamble,SO,RB,
Malcolm Simmons,SO,WR,"40 Rec, 451 Yds, 11.3 Avg"
Sam Jackson,SR,WR,"2 Rec, 63 Yds, 31.5 Avg"
Keandre Lambert-Smith,SR,WR,"50 Rec, 981 Yds, 19.6 Avg"
Cam Coleman,SO,WR,"37 Rec, 598 Yds, 16.2 Avg"
Robert Lewis,SR,WR,"16 Rec, 155 Yds, 9.7 Avg"
Camden Brown,SR,WR,"7 Rec, 61 Yds, 8.7 Avg"
Perry Thompson,SO,WR,"5 Rec, 126 Yds, 25.2 Avg"
Caleb Burton,JR,WR,"2 Rec, 49 Yds, 24.5 Avg"
Bryce Cain,SO,WR,"2 Rec, 33 Yds, 16.5 Avg"
Dylan Gentry,SO,WR,
Cam'Ron King,SO,WR,
Jake Kruse,JR,WR,
Greg McConico,SR,WR,
Colby Stafford,SR,WR,
Will Upton,SO,WR,
Rivaldo Fairweather,SR,TE,"31 Rec, 372 Yds, 12.0 Avg"
Luke Deal,SR,TE,"3 Rec, 6 Yds, 2.0 Avg"
Brandon Frazier,SR,TE,"1 Rec, 16 Yds, 16.0 Avg"
Micah Riley-Ducker,JR,TE,"1 Rec, 3 Yds, 3.0 Avg"
Camden Etheredge,JR,TE,
Grant Hidalgo,SR,TE,
Eli Morton,SO,TE,
Hunter Ousley,SO,TE,
Rico Walker,JR,TE,
DeAndre Carter,SO,OL,
Ronan Chambers,SR,OL,
Harrison Clemmer,SO,OL,
E.J. Harris,JR,OL,
Tate Johnson,SR,OL,
Tyler Johnson,SO,OL,
Bradyn Joiner,SO,OL,
Connor Lew,JR,OL,
Percy Lewis,SR,OL,
Izavion Miller,SR,OL,
Jaden Muskrat,SR,OL,
Dylan Senda,SO,OL,
Dillon Wade,SR,OL,
Seth Wilfred,JR,OL,
Jeremiah Wright,SR,OL,
Isaac Boulger,SO,OL,
Favour Edwin,SO,OL,
John Henry Flatt,SO,OL,
Clay Wedin,SO,OL,
Towns McGough,SO,K,
Alex McPherson,JR,K,
Ian Vachon,JR,K,
Gabriel Russo,SO,K,
Charley Schwinger,JR,K,
Philip Blidi,SR,DL,
Malik Blocton,SO,DL,
DeAngelo Carter,SR,DL,
Joe Frazier Jr.,JR,DL,
Quientrail Jamison-Travis,SR,DL,
Jayson Jones,SR,DL,
Gage Keys,SR,DL,
T.J. Lindsey,SO,DL,
Isaiah Raikes,SR,DL,
Darron Reed Jr.,SO,DL,
Zykeivous Walker,SR,DL,
Amaris Williams,SO,DL,
Austin Chambers,SO,DL,
Eugene Asante,SR,LB,
D.J. Barber,SO,LB,
Fa'Najae Gotay,SR,LB,
Coleman Granberry,SO,LB,
Austin Keys,SR,LB,
Dorian Mausi,SR,LB,
Jalen McLeod,SR,LB,
Joe Phillips,SO,LB,
Demarcus Riddick,SO,LB,
Laquan Robinson,SR,LB,
Jamonta Waller,SO,LB,
Robert Woodyard Jr.,JR,LB,
William Grier McDuffie,SO,LB,
Cade Carlson,SO,DB,
Rod Elston,SR,DB,
JC Hart,SO,DB,
Antonio Kite,JR,DB,
Kensley Louidor-Faustin,SO,DB,
Terrance Love,JR,DB,
Jahquez Robinson,SR,DB,
Sylvester Smith,JR,DB,
Jerrin Thompson,SR,DB,
C.J. Johnson,SO,DB,
Mac McClinton,JR,DB,
Oscar Chapman,SR,P,
Champ Anthony,SR,CB,
Jay Crawford,SO,CB,
Keyron Crawford,SR,DE,
Keldric Faulk,JR,DE,
Antwon Fegans,SR,S,
Kaleb Harris,SO,S,
Reed Hughes,SR,LS,
A'mon Lane-Ganus,SO,S,
Kayin Lee,JR,CB,
John Martin Richter,SO,DE,
Keionte Scott,SR,CB,
Griffiin Speaks,SR,S,
Paul Thompson Jr.,JR,S,
Caleb Wooden,SR,S,
J.R. Buckner,SO,LS,
Josh Cohen,SR,S,
Keaton McNutt,SO,LS,
Grey Reebals,SO,S,
Tyler Scott,SO,CB,
Jake White,SO,CB,
Elias Williams,SR,S,
