Player,Class,Pos,Summary
Kadin Semonza,SO,QB,"275 Cmp, 427 Att, 2904 Yds, 25 TD"
Aiden Leffler,JR,QB,"2 Cmp, 6 Att, 6 Yds, 0 TD"
Colin Blazek,JR,QB,
Bodie Derrer,SO,QB,
Chase Harrison,JR,QB,
Braedon Sloan,SR,RB,"150 Att, 597 Yds, 4.0 Avg"
Vaughn Pemberton,SR,RB,"61 Att, 276 Yds, 4.5 Avg"
TJ Horton,SO,RB,"23 Att, 107 Yds, 4.7 Avg"
Charlie Spegal,SR,RB,"12 Att, 39 Yds, 3.3 Avg"
Christian Davis,SO,RB,"11 Att, 11 Yds, 1.0 Avg"
Maximus Webster,JR,RB,"1 Rec, 9 Yds, 9.0 Avg"
Jalen Alexander,SO,RB,
Ayden Ewing,SO,RB,
Cody Mikulich,SO,RB,
Cam Pickett,JR,WR,"49 Rec, 528 Yds, 10.8 Avg"
Malcolm Gillie,SR,WR,"19 Rec, 267 Yds, 14.1 Avg"
Isaiah Thacker,SO,WR,
Qian Magwood,SR,WR,"23 Rec, 207 Yds, 9.0 Avg"
Justin Bowick,SR,WR,"20 Rec, 383 Yds, 19.2 Avg"
Dahya Patel,JR,WR,"7 Rec, 120 Yds, 17.1 Avg"
Ty Robinson,SR,WR,"5 Rec, 69 Yds, 13.8 Avg"
Jamarion McDougle,JR,WR,"3 Rec, 47 Yds, 15.7 Avg"
Nick Munson,JR,WR,"2 Rec, 12 Yds, 6.0 Avg"
Nick Presley,SR,WR,"1 Rec, 6 Yds, 6.0 Avg"
Ty Curran,SO,WR,
Trey Firestone,JR,WR,
Eli Hohlt,SO,WR,
R.J. Mukes III,JR,WR,
Carson Neu,SO,WR,
Tanner Koziol,SR,TE,"94 Rec, 839 Yds, 8.9 Avg"
Christian Abney,JR,TE,"5 Rec, 50 Yds, 10.0 Avg"
Tyce Ferrell,SR,TE,"2 Rec, 5 Yds, 2.5 Avg"
Leo Collins,SO,TE,
Max Sullivan,JR,TE,
Kameron Anthony,SO,TE,
Lane King,SO,TE,
Preston Ross,SO,TE,
Jeffery Simmons,JR,TE,
Arkel Anugwom,SO,OL,
Zach Bandy,SO,OL,
Ethan Crowe,SR,OL,
Luke Dalton,JR,OL,
Grant Haworth,SO,OL,
Chris Hood,JR,OL,
Damon Kaylor,SR,OL,
Isaac Lucas,SO,OL,
Kevin Meeder,SR,OL,
Jon Mucciolo,SR,OL,
Cody Smith,SO,OL,
Taran Tyo,JR,OL,
Yaser Al-Awadi,JR,OL,
Tristan Cook,SO,OL,
Rob Fogler,JR,OL,
Eli Freeman,SO,OL,
Cole Mosier,SR,OL,
Austin Payton,SO,OL,
Jackson Courville,JR,K,
Carson Holmer,JR,K,
Hunter Liszka,SO,K,
Drew Hughes,SR,DL,
Dakari Frazier,JR,DL,
Scott Hudson,SR,DL,
L'Cier Luter,SR,DL,
Ky Montgomery,SR,DL,
Nathan Reichert,SR,DL,
Riley Tolsma,SR,DL,
Eli Edwards,SO,DL,
Hunter Sanderson,SR,DL,
Dion Smith II,SO,DL,
Jack Beebe,SR,LB,
Brandon Berger,SR,LB,
Darin Conley,SO,LB,
Jackson Constantine,JR,LB,
DeJuan Echoles Jr.,JR,LB,
Sam Feeney,SO,LB,
Khalib Gilmore,SR,LB,
Caden Johnson,JR,LB,
Ben Marsh,SO,LB,
Keionte Newson,SR,LB,
Danny Royster,JR,LB,
Layton Starks,SO,LB,
Joey Stemler,SR,LB,
Jackson Wiegold,SR,LB,
Drew Elliott,SO,LB,
Drew Evans,SO,LB,
Ethan Evers,SO,LB,
Dantu Gardner Jr.,SO,LB,
Drew Harper,JR,LB,
Justin Thomas,SR,LB,
Brady Wolf,SO,LB,
Jordan Coleman,JR,DB,
Elijah Davis,SO,DB,
Jordan Davis,SO,DB,
Cole Earlewine,JR,DB,
DJ Fields,SO,DB,
Myles Norwood,SR,DB,
Blair Schonhorst,JR,DB,
DD Snyder II,SR,DB,
AJ Taylor,SR,DB,
George Udo,SR,DB,
Willizhuan Yates,SO,DB,
Jayden Bernavil,JR,DB,
Jahmad Harmon,JR,DB,
Micah Lillard,SO,DB,
Khani McNeese,SO,DB,
Kaleb Murray,JR,DB,
Russell Peterson,SO,DB,
Zavier Simpson,SR,DB,
Jordan Suggs,SO,DB,
Hayden Summers,SO,DB,
Brian Cooey,SR,P,
Cole Stumbaugh,SO,P,
Kiael Kelly,SR,CB,
Thailand Baldwin,SR,CB,
Tucker Dunn,SR,LS,
Jalon Jones,JR,CB,
Eric McClain,SO,,
Caden Britton,JR,LS,
Jackson Ruess,SO,OG,
