Player,Class,Pos,Summary
Sawyer Robertson,SR,QB,"229 Cmp, 368 Att, 3071 Yds, 28 TD"
DeQuan Finn,SR,QB,"23 Cmp, 43 Att, 307 Yds, 3 TD"
Nate Bennett,SO,QB,"1 Cmp, 2 Att, 19 Yds, 0 TD"
Brayson McHenry,JR,QB,
Cade Tessier,JR,QB,
Bryson Washington,SO,RB,"175 Att, 1028 Yds, 5.9 Avg"
Dawson Pendergrass,JR,RB,"121 Att, 671 Yds, 5.5 Avg"
Richard Reese,SR,RB,"58 Att, 241 Yds, 4.2 Avg"
Dominic Richardson,SR,RB,"31 Att, 109 Yds, 3.5 Avg"
Joseph Hagman,JR,RB,"4 Att, 16 Yds, 4.0 Avg"
Joseph Dodds,SO,RB,
Jamaal Bell,SR,WR,"2 Rec, 6 Yds, 3.0 Avg"
Ashtyn Hawkins,SR,WR,"45 Rec, 567 Yds, 12.6 Avg"
Monaray Baldwin,SR,WR,"27 Rec, 478 Yds, 17.7 Avg"
Josh Cameron,SR,WR,"52 Rec, 754 Yds, 14.5 Avg"
Hal Presley,SR,WR,"31 Rec, 429 Yds, 13.8 Avg"
Ketron Jackson Jr.,SR,WR,"12 Rec, 236 Yds, 19.7 Avg"
Jadon Porter,SO,WR,"2 Rec, 23 Yds, 11.5 Avg"
Micah Gifford,JR,WR,"1 Rec, 19 Yds, 19.0 Avg"
Jackson Baird,SO,WR,
Cameron Bonner,SR,WR,
Jonah Burton,SR,WR,
Isaiah Davis,SR,WR,
Seth Weller,SR,WR,
Daniel Edeni,SO,WR,
Michael Trigg,SR,TE,"30 Rec, 395 Yds, 13.2 Avg"
Matthew Klopfenstein,JR,TE,"6 Rec, 62 Yds, 10.3 Avg"
Gavin Yates,SR,TE,"5 Rec, 48 Yds, 9.6 Avg"
Kelsey Johnson,SR,TE,
Cody Mladenka,JR,TE,
Hawkins Polley,JR,TE,
Omar Aigbedion,SR,OL,
Campbell Barrington,SR,OL,
Gavin Byers,SR,OL,
Alvin Ebosele,JR,OL,
Sidney Fugar,SR,OL,
Ryan Lengyel,SR,OL,
Coleton Price,JR,OL,
Kaden Sieracki,JR,OL,
Colton Thomasson,SO,OL,
Sean Thompkins,JR,OL,
Colin Truett,SR,OL,
Kamarii Landers,JR,OL,
Isaiah Robinson,JR,OL,
Koltin Sieracki,SO,OL,
Wyatt Swaner,SO,OL,
Cayden Tone,JR,OL,
Wes Tucker,JR,OL,
Hayden Arnold,JR,K,
Isaiah Hankins,SR,K,
Connor Hawkins,SO,K,
Jack Stone,SR,K,
Brendan Bett,JR,DL,
DK Kalu,JR,DL,
Cooper Lanz,SR,DL,
Treven Ma'ae,SR,DL,
Ronnie Mageo,JR,DL,
Jackie Marshall,SR,DL,
Elinus Noel III,SR,DL,
Kaian Roberts-Day,JR,DL,
Devonte Tezino,JR,DL,
Trent Thomas,JR,DL,
Trey Wilson,JR,DL,
Caden Boenig,SO,DL,
Alex Foster,SO,DL,
Caleb James,SR,DL,
Tonga Lolohea,SR,DL,
David Marshall Jr.,SR,DL,
Prince Ugoh,SR,DL,
Raneiria Dillworth,SR,LB,
JaQues Evans,SR,LB,
Jeremy Evans,JR,LB,
Carmello Jones,JR,LB,
Matt Jones,SR,LB,
Kyler Jordan,JR,LB,
Corey Kelly,JR,LB,
Steve Linton,SR,LB,
Jaden Maronen,SR,LB,
Brooks Miller,SR,LB,
Caleb Parker,SR,LB,
Garmon Randolph,SR,LB,
Kyland Reed,SO,LB,
Keaton Thomas,JR,LB,
Josh White,SR,LB,
Brock Jackson,SO,LB,
Trey Laurence,JR,LB,
Palmer Williams,JR,P,
Michael Allen,JR,S,
Devyn Bobby,SR,S,
Reggie Bush,JR,CB,
DJ Coleman,JR,S,
Corey Gordon Jr.,JR,S,
Garrison Grimes,SR,LS,
Caden Jenkins,JR,CB,
Cameren Jenkins,JR,S,
Lorando Johnson,SR,CB,
Devin Lemear,SR,S,
Michael Mastrodicasa,SR,S,
Jacob Redding,JR,S,
Chateau Reed,SR,CB,
Dylan Schaub,JR,LS,
Kendrick Simpkins,SR,S,
LeVar Thornton Jr.,JR,CB,
Tevin Williams III,SR,CB,
Carl Williams IV,JR,CB,
Tay'Shawn Wilson,JR,CB,
Kris Wokomah,SO,S,
MJ Artmore Jr.,JR,CB,
Kyler Beaty,SO,CB,
Christian Cunningham,SO,CB,
Mason Dossett,SO,S,
Isaiah Dunson,SR,CB,
Josh Lair,SO,S,
