Player,Class,Pos,Summary
Maddux Madsen,JR,QB,"247 Cmp, 396 Att, 3018 Yds, 23 TD"
Malachi Nelson,SO,QB,"12 Cmp, 17 Att, 128 Yds, 0 TD"
Max Cutforth,SO,QB,"2 Cmp, 2 Att, 13 Yds, 0 TD"
Colt Fulton,SR,QB,
Kaleb Annett,SO,QB,
Ashton Jeanty,SR,RB,"374 Att, 2601 Yds, 7.0 Avg"
Jambres Dubar,JR,RB,"25 Att, 99 Yds, 4.0 Avg"
Dylan Riley,SO,RB,"22 Att, 135 Yds, 6.1 Avg"
Sire Gaines,SO,RB,"20 Att, 156 Yds, 7.8 Avg"
Ryker Clinger,SO,RB,
Kaden Dudley,SO,RB,
Ethan Mikita,JR,RB,
Cameron Bates,SO,WR,"9 Rec, 67 Yds, 7.4 Avg"
Troy Wilkey,JR,WR,
Cam Camper,SR,WR,"58 Rec, 903 Yds, 15.6 Avg"
Latrell Caples,SR,WR,"38 Rec, 473 Yds, 12.4 Avg"
Prince Strachan,JR,WR,"25 Rec, 304 Yds, 12.2 Avg"
Austin Bolt,SR,WR,"16 Rec, 196 Yds, 12.3 Avg"
Chase Penry,SR,WR,"14 Rec, 164 Yds, 11.7 Avg"
Ben Ford,SR,WR,"4 Rec, 34 Yds, 8.5 Avg"
Chris Marshall,SR,WR,"3 Rec, 13 Yds, 4.3 Avg"
Kayden Chan,SR,WR,"1 Rec, 6 Yds, 6.0 Avg"
Cooper Jones,SR,WR,
Jackson Grier,SO,WR,
Tyrone Jackson,SO,WR,
AJ Maes,SO,WR,
Zamondre Merriweather,JR,WR,
Hunter Steacker,JR,WR,
Matt Lauter,SR,TE,"47 Rec, 619 Yds, 13.2 Avg"
Matt Wagner,SO,TE,"10 Rec, 108 Yds, 10.8 Avg"
Austin Terry,JR,TE,"2 Rec, 35 Yds, 17.5 Avg"
Mitchell Bothwell,SR,TE,
Luke Voorhees,SR,TE,
Kaden Anderson,SO,TE,
Oliver Fisher,SO,TE,
Nathan Cardona,SR,OL,
Roger Carreon,JR,OL,
Kage Casey,JR,OL,
Ben Dooley,SR,OL,
Connor Gilbreath,JR,OL,
Zach Holmes,SR,OL,
Tyler Keinath,SR,OL,
Daylon Metoyer,SR,OL,
Mason Randolph,SR,OL,
Carson Rasmussen,SO,OL,
Hall Schmidt,JR,OL,
Jake Steele,JR,OL,
Jason Steele,SO,OL,
Gregory Bienvenue,SO,OL,
Eyitayo Omotinugbon,SO,OL,
Parker Perkins,SO,OL,
JJ Talo,JR,OL,
Jonah Dalmas,SR,K,
Jarrett Reeser,JR,K,
Taren Schive,SR,K,
Braxton Fely,SR,DL,
Herbert Gums Jr.,SR,DL,
Sheldon Newton,SR,DL,
Lopez Sanusi,SO,DL,
Hayden Hanks,SO,DL,
Trevor McKenna,SO,DL,
Connor Warkentin,SO,DL,
Marco Notarainni,SR,LB,
Udoka Ezeani,SR,LB,
Gavin Hambrick,JR,LB,
Chase Martin,JR,LB,
Clay Martineau,SO,LB,
Jake Ripp,JR,LB,
Andrew Simpson,SR,LB,
Davis Thacker,SR,LB,
Wyatt Milkovic,SO,LB,
James Ferguson-Reynolds,SR,P,
Tyler Crowe,SR,FB,
Travis Anderson,SO,S,
Davon Banks,SR,CB,
Ty Benefield,JR,S,
Michael Callahan,SR,DT,
Bryce Cleave,SR,S,
Kyle Cox,SO,OT,
Jeremiah Earby,SR,CB,
Spencer Gieg,JR,DT,
Tevin Griffey,SR,CB,
Ahmed Hassanein,SR,DE,
Gabe Hunter,SR,DE,
Mason Hutton,SR,LS,
Mason Jacobsen,JR,DE,
Franklyn Johnson Jr.,SO,CB,
Kaonohi Kaniho,SR,S,
Seth Knothe,JR,S,
Milo Lopez,SR,S,
Michael Madrie,SO,DT,
A'Marion McCoy,SR,CB,
Cole Miller,SO,S,
Seyi Oladipo,SR,S,
Boen Phelps,SO,S,
Markel Reed,SR,CB,
Rodney Robinson,SR,S,
Max Stege,JR,DE,
Khai Taylor,SO,CB,
Alexander Teubner,SR,S,
Dione Thornton,JR,CB,
Jayden Virgin,SR,DE,
Zion Washington,SR,S,
Tyler Wegis,SR,DE,
Jacob Williams,SO,CB,
Tavion Woodard,SR,DE,
Demanuel Brown Jr.,SO,DE,
Roman Caywood,SO,DE,
Troy Grizzle,SO,DE,
Nick Hawthorne,SO,DE,
Joseph Marsh,JR,DE,
Timothy Mitchell,SO,S,
Ty Smith,SO,LS,
Gabe Tahir,SO,S,
Treyvon Tolmaire,SO,CB,
