Player,Class,Pos,Summary
Grayson James,SR,QB,"106 Cmp, 166 Att, 1202 Yds, 6 TD"
Thomas Castellanos,SR,QB,"99 Cmp, 161 Att, 1366 Yds, 18 TD"
Jacobe Robinson,JR,QB,"2 Cmp, 3 Att, 23 Yds, 0 TD"
John Montague,SO,QB,
Jack Brandon,SR,QB,
Peter Delaportas,SR,QB,
Shane Hanafin,SR,QB,
Kye Robichaux,SR,RB,"175 Att, 744 Yds, 4.3 Avg"
Treshaun Ward,SR,RB,"77 Att, 406 Yds, 5.3 Avg"
Turbo Richard,SO,RB,"55 Att, 278 Yds, 5.1 Avg"
Jordan McDonald,SR,RB,"53 Att, 361 Yds, 6.8 Avg"
Datrell Jones,JR,RB,"8 Att, 73 Yds, 9.1 Avg"
Hunter Clark,SR,RB,
Anthony Ferrucci,JR,RB,
Alex Broome,SR,RB,
Lewis Bond,SR,WR,"67 Rec, 689 Yds, 10.3 Avg"
Jayden McGowan,SR,WR,"2 Rec, 0 Yds, 0.0 Avg"
Jaedn Skeete,JR,WR,"18 Rec, 189 Yds, 10.5 Avg"
Reed Harris,JR,WR,"17 Rec, 486 Yds, 28.6 Avg"
Jerand Bradley,SR,WR,"6 Rec, 94 Yds, 15.7 Avg"
Dino Tomlin,SR,WR,"3 Rec, 40 Yds, 13.3 Avg"
Luke McLaughlin,SR,WR,"2 Rec, 17 Yds, 8.5 Avg"
Jay Brunelle,SR,WR,
Nate Johnson,JR,WR,
Martin Laham,SR,WR,
Montrell Wade,JR,WR,
Ismael Zamor,SR,WR,
Michael Landolfi,SO,WR,
Cedric Lott,SO,WR,
Zach Schnorrbusch,SO,WR,
Kamari Morales,SR,TE,"28 Rec, 325 Yds, 11.6 Avg"
Jeremiah Franklin,SR,TE,"27 Rec, 311 Yds, 11.5 Avg"
Matt Ragan,SR,TE,"1 Rec, 11 Yds, 11.0 Avg"
Brady Clough,SO,TE,
Danny Edgehille,SO,TE,
Ryan Boultwood,JR,TE,
Dwayne Allick,SR,OL,
Jude Bowry,SR,OL,
Kevin Cline,SR,OL,
Jack Conley,SR,OL,
Michael Crounse,JR,OL,
Eryx Daugherty,JR,OL,
Jack Funke,SR,OL,
Otto Hess,SR,OL,
Drew Kendall,SR,OL,
Ryan Mickow,JR,OL,
Logan Taylor,SR,OL,
Ozzy Trapilo,SR,OL,
Tanner Chluspa,SO,OL,
Souleye Diawara,SO,OL,
Jadon Lafontant,SO,OL,
Judah Pruitt,SO,OL,
Pape Sy,SO,OL,
Liam Connor,SR,K,
Luca Lombardo,SR,K,
Sam Stone,JR,K,
Ivan Zivenko,JR,K,
Ty Clemons,SR,DL,
Jayzen Flint,SO,DL,
Cam Horsley,SR,DL,
Quintayvious Hutchins,SR,DL,
Edwin Kolenge,SR,DL,
Sed Mcconnell,SR,DL,
George Rooks,SR,DL,
Regen Terry,SR,DL,
Gilbert Tongrongou,SR,DL,
Kwan Williams,SR,DL,
Caleb Jones,SR,DL,
Clive Wilson,SR,DL,
Kam Arnold,SR,LB,
Daveon Crouch,SR,LB,
Kemori Dixon,SO,LB,
Palaie Faoa,JR,LB,
Holt Fletcher,SR,LB,
Sione Hala,SR,LB,
Joe Marinaro,SR,LB,
Owen McGowan,SR,LB,
Bryce Steele,SR,LB,
Juan Zabal,SR,LB,
Jaylen Blackwell,SR,LB,
Caden Bowling,SO,LB,
Tim Hays,SR,LB,
Sean Howard,SO,LB,
Billy Van Pelt,SR,LB,
Kahlil Ali,JR,DB,
Cole Batson,SR,DB,
Bryquice Brown,SR,DB,
Jalen Cheek,SR,DB,
Charlie Comella,SO,DB,
Carter Davis,JR,DB,
Isaiah Farris,SR,DB,
Amari Jackson,SR,DB,
Khari Johnson,SR,DB,
Jamareeh Jones,SR,DB,
Zachary Kelly,JR,DB,
Cameron Martinez,SR,DB,
Ashton McShane,SO,DB,
Victor Nelson Jr.,SR,DB,
KP Price,JR,DB,
Omar Thornton,SO,DB,
Syair Torrence,SO,DB,
Max Tucker,JR,DB,
Jalon Williams,SR,DB,
Tommy Cusick,SO,DB,
James Magerko,SO,DB,
Sam Candotti,SR,P,
Cooper Crook,SO,LS,
Donovan Ezeiruaku,SR,DE,
Josiah Griffin,JR,DE,
Jackson Gugni,SR,LS,
Neto Okpala,SR,DE,
Owen Stoudmire,SR,DT,
Ryan Turner,JR,CB,
Bryant Worrell,SR,LS,
Liam Conway,SO,LS,
Brody Kidwell,SR,S,
Nigel Tate,SR,DT,
