Player,Class,Pos,Summary
Connor Bazelak,SR,QB,"269 Cmp, 402 Att, 3044 Yds, 18 TD"
Lucian Anderson III,SO,QB,"5 Cmp, 12 Att, 32 Yds, 1 TD"
Baron May,SR,QB,"1 Cmp, 1 Att, 43 Yds, 1 TD"
Camden Orth,SR,QB,
Jonny Sorensen,SO,QB,
Justin Pegues,SR,RB,"13 Att, 51 Yds, 3.9 Avg"
Terion Stewart,SR,RB,"166 Att, 898 Yds, 5.4 Avg"
Jaison Patterson,SR,RB,"99 Att, 426 Yds, 4.3 Avg"
Jamal Johnson,SR,RB,"31 Rec, 231 Yds, 7.5 Avg"
Mar'Kel Porter,SO,RB,"4 Att, 11 Yds, 2.8 Avg"
Chris Edmonds,SO,RB,"2 Att, 8 Yds, 4.0 Avg"
Nakai Amachree,SO,RB,
Jaden Copening,SO,RB,
Bryce DeFalco,SO,RB,
Cameron Pettaway,SO,RB,
Pasean Wimberly,SR,RB,
Rahkeem Smith,SR,WR,"25 Rec, 349 Yds, 14.0 Avg"
Malcolm Johnson Jr.,SR,WR,"49 Rec, 569 Yds, 11.6 Avg"
Finn Hogan,SR,WR,"17 Rec, 176 Yds, 10.4 Avg"
Trey Johnson,JR,WR,"1 Rec, 7 Yds, 7.0 Avg"
Jared Merk,JR,WR,"1 Rec, 15 Yds, 15.0 Avg"
Dom Grguric,SR,WR,
Winn Sharp,SO,WR,
Jaylon Tillman,SR,WR,
RJ Garcia II,SR,WR,
Caleb Goodloe,SO,WR,
Cynceir McNeal,SO,WR,
Pierce St Geme,SO,WR,
Shawn Thigpen,SO,WR,
Harold Fannin Jr.,SR,TE,"117 Rec, 1555 Yds, 13.3 Avg"
Levi Gazarek,SR,TE,"8 Rec, 62 Yds, 7.8 Avg"
Jacob Harris,SO,TE,"2 Rec, 5 Yds, 2.5 Avg"
Elijah Boyd,SR,TE,"1 Rec, 3 Yds, 3.0 Avg"
Blane Cleaver,SR,TE,
Ian Drummond,SR,TE,
Eli Jacon-Duffy,SO,TE,
Ocean Brabbs,SO,TE,
Caden Campbell,SO,TE,
Isaac Hill,SO,TE,
Alan Anaya,SR,K,
Travis Kenner,JR,K,
Jackson Kleather,JR,K,
Zach Long,SR,K,
Ethan Warner,JR,K,
Andrew Booker,JR,DL,
Evan Branch-Haynes,SR,DL,
Dontrez Brown,SR,DL,
Chace Davis,SR,DL,
Anthony Hawkins,SR,DL,
Dierre Kelly,SR,DL,
Davonte Miles,JR,DL,
Malik Moses,SO,DL,
Jordan Porter,SR,DL,
Ali Saad,SR,DL,
Dayln White,SO,DL,
Martreece Dillard,SO,DL,
Darius Gaddy,SR,DL,
Joe Shimko,SO,DL,
Ian van der Merwe,JR,DL,
David Afogho,SO,LB,
Myles Bradley,JR,LB,
Justin Eklund,JR,LB,
Brock Horne,SR,LB,
Dorian Pringle,SO,LB,
Charles Rosser,SR,LB,
Joseph Sipp Jr.,SR,LB,
Donovan Stephens,SR,LB,
Alijah Williams,JR,LB,
Chris Williams,SR,LB,
Demetrius Hardamon,SR,LB,
Jabari Mitchell,SO,LB,
Elias Owens,SO,LB,
Henry Reifschneider,SO,LB,
Devin Taborn,JR,LB,
CJ Brown,SR,DB,
Darius McClendon,SR,DB,
Avi McGary,SR,DB,
Kal-El Pascal,SO,DB,
Edward Rhambo,JR,DB,
Trent Simms,SR,DB,
John Henderson,SR,P,
Jacorey Benjamin,SR,CB,
Brody Bolyn,SO,OC,
Todd Bumphis,SR,CB,
Jake Burns,SR,OG,
Jalen Burton,SR,CB,
George Carlson,SR,LS,
Patrick Day,SR,S,
Tunde Fatukasi,SR,OT,
Alex Harris,SO,OT,
Jace Henry,SO,CB,
Darius Lorfils,SR,CB,
TJ Nelson,SO,S,
Jordan Oladokun,SR,CB,
Nate Pabst,SR,OG,
Alex Padgett,SR,OC,
Nick Reimer,SR,OT,
Tracy Revels,SO,S,
Billie Roberts,SR,OT,
Dillon Robinson,SO,OT,
Rico Steele,SO,OT,
James Thomas Jr.,SO,OG,
Victor Vazquez,SR,S,
Alex Wollschlaeger,SR,OT,
Cade Zimmerly,SR,OG,
Josira Andrews,SO,S,
D'kyah Banks,SO,S,
Quillan Jimenez,SO,LS,
Coleman Teasdale,SO,S,
