Player,Class,Pos,Summary
CJ Ogbonna,SR,QB,"190 Cmp, 336 Att, 2381 Yds, 19 TD"
Gunnar Gray,SR,QB,"4 Cmp, 11 Att, 41 Yds, 0 TD"
Jack Shields,SR,QB,
Mason Cumbie,JR,QB,
Anthony Policare,JR,QB,
Al-Jay Henderson,SR,RB,"204 Att, 1078 Yds, 5.3 Avg"
Jacqez Barksdale,SR,RB,"82 Att, 306 Yds, 3.7 Avg"
Lamar Sperling,JR,RB,"39 Att, 150 Yds, 3.8 Avg"
Terrance Shelton,SO,RB,"23 Att, 88 Yds, 3.8 Avg"
Mark Scott,SR,RB,"6 Att, 22 Yds, 3.7 Avg"
Gabe Goins,SO,RB,
Messiah Burch,JR,WR,"9 Rec, 99 Yds, 11.0 Avg"
Victor Snow,SR,WR,"55 Rec, 651 Yds, 11.8 Avg"
James McNeil,SO,WR,
JJ Jenkins,SR,WR,"36 Rec, 536 Yds, 14.9 Avg"
Taji Johnson,SR,WR,"20 Rec, 243 Yds, 12.2 Avg"
Javien Cuff,SR,WR,"10 Rec, 127 Yds, 12.7 Avg"
Tadd Barr,SR,WR,"7 Rec, 128 Yds, 18.3 Avg"
Nik McMillan,JR,WR,"5 Rec, 76 Yds, 15.2 Avg"
Chance Morrow,JR,WR,"4 Rec, 59 Yds, 14.8 Avg"
Qua Sanders,SR,WR,"3 Rec, 43 Yds, 14.3 Avg"
Patrick Clacks III,SO,WR,
Aidan Walline,SR,WR,
Jeremy Yancey,SR,WR,
Evan Dean,SO,WR,
Bobby Mays,SO,WR,
Marcel Picard,SO,WR,
Terrell Richards,SO,WR,
Tyrell Simmons,SO,WR,
Jeremiah Watkins,SO,WR,
Shey Williams,SO,WR,
Jacob Orlando,SR,TE,"11 Rec, 101 Yds, 9.2 Avg"
Evan King,SR,TE,"2 Rec, 15 Yds, 7.5 Avg"
Ryan Daly,SR,TE,"1 Rec, 13 Yds, 13.0 Avg"
Andrew Schnackenberg,SR,TE,"1 Rec, 9 Yds, 9.0 Avg"
Bodhi Ogg,JR,TE,
Shamar Riser-Pressley,SO,TE,
Mitch Viviano,JR,TE,
Nick Leonard,SO,TE,
Gabriel Arena,JR,OL,
Trevor Brock,SR,OL,
James Carrington,SR,OL,
Tyler Doty,SR,OL,
Matthew Glen,SR,OL,
Liam Hamilton,SR,OL,
Alex Heininger,JR,OL,
Matt Pajuste,SR,OL,
Dom Polizzi,SR,OL,
Caelan Shepard,SR,OL,
Henry Tabansi,JR,OL,
Jackson Bellamy,SO,OL,
Chayce Chadwick,SR,OL,
Paul Clark,SO,OL,
Tyrone Davis,SO,OL,
Val Kondratenko,SO,OL,
Ahmaan Thomas,SO,OL,
Upton Bellenfant,SR,K,
Nick Reed,JR,K,
C.J. Bazile,SR,DL,
Antonio Colclough,SR,DL,
Junior Poyser,JR,DL,
Tristan Souza,SR,DL,
Kobe Stewart,SR,DL,
George Wolo,SR,DL,
Charlton Goodell,SR,DL,
SaVeon Brown,JR,LB,
Dion Crawford,JR,LB,
Gio De Leon,SR,LB,
Shaun Dolac,SR,LB,
Pershaun Fann,SR,LB,
Mathew Hilty,SR,LB,
Khalil Murdock,SR,LB,
Jordan Owens,JR,LB,
Caleb Tate,SR,LB,
Malin White,SR,LB,
Matthew Conlin,SO,LB,
Joseph Giggie,SR,LB,
DJ Mangan,SO,LB,
Drake Saltarelli,SO,LB,
Oliver Bridges,JR,DB,
Solomon Brown,SR,DB,
Marcus Fuqua,SR,DB,
Jalen McNair,SR,DB,
Eddie Pleasant III,JR,DB,
Dylan Drennan,SO,P,
Ethan Duane,SR,P,
Demetrius Ballard,SO,DE,
Jacari Bennett,SO,DE,
Kobi Blackwell,SO,CB,
Jonathan Capo,SR,S,
Marquis Cooper,SR,CB,
Ronnell Davis,SO,S,
Cornell Evans,JR,DT,
Byron Floyd,SR,LS,
Daishon Folsom,SR,DT,
Jerrod Gentry,SR,S,
Clevester Hines,SR,CB,
John Keough,SO,S,
Xavier Leonard,SO,S,
Charles McCartherens,JR,CB,
Devin Morgan,SR,DT,
Jamiere Munson,JR,S,
Amir Proctor,SR,CB,
Nick Roy,JR,DE,
Will Clark,SO,DE,
Ja'Mori Coard,JR,DT,
Mikey Crawford,SO,CB,
Logan Jozwiak,SO,DE,
Chris Martin,SO,DE,
Billy O'Byrne,SO,DE,
Jayden Oliver,SR,CB,
Bailey Sanders,SO,LS,
Carson Selee,SR,LS,
Ramari Taylor,SO,CB,
Noah Whitmer,SO,DE,
Luke Yau Gale,SO,DE,
