Player,Class,Pos,Summary
Jake Retzlaff,SR,QB,"213 Cmp, 368 Att, 2947 Yds, 20 TD"
Gerry Bohanon,SR,QB,"3 Cmp, 4 Att, 27 Yds, 0 TD"
Treyson Bourguet,SR,QB,
Cole Hagen,JR,QB,
McCae Hillstead,SO,QB,
Noah Lugo,SO,QB,
Hinckley Ropati,SR,RB,"68 Att, 360 Yds, 5.3 Avg"
LJ Martin,JR,RB,"137 Att, 718 Yds, 5.2 Avg"
Enoch Nawahine,SR,RB,"30 Att, 98 Yds, 3.3 Avg"
Sione I Moa,SO,RB,"29 Att, 144 Yds, 5.0 Avg"
Miles Davis,SR,RB,"18 Att, 76 Yds, 4.2 Avg"
Pokaiaua Haunga,SO,RB,"18 Att, 81 Yds, 4.5 Avg"
Mason Fakahua,SR,RB,
Jovesa Damuni,SO,RB,
Charles Miska,SO,RB,
Parker Kingston,SR,WR,"13 Rec, 196 Yds, 15.1 Avg"
Keelan Marion,SR,WR,"24 Rec, 346 Yds, 14.4 Avg"
Chase Roberts,SR,WR,"52 Rec, 854 Yds, 16.4 Avg"
Darius Lassiter,SR,WR,"45 Rec, 703 Yds, 15.6 Avg"
Keanu Hill,SR,WR,"12 Rec, 108 Yds, 9.0 Avg"
Jojo Phillips,JR,WR,"10 Rec, 211 Yds, 21.1 Avg"
Kody Epps,SR,WR,"8 Rec, 54 Yds, 6.8 Avg"
Cody Hagen,SO,WR,"3 Rec, 29 Yds, 9.7 Avg"
Dominique McKenzie,SO,WR,
Marquis Montgomery,SR,WR,
Tei Nacua,SO,WR,
Rowan Reay,SO,WR,
Weston Covey,SO,WR,
Ty West,SO,WR,
Prince Zombo,SO,WR,
Ryner Swanson,SO,TE,"10 Rec, 91 Yds, 9.1 Avg"
Mata'ava Ta'ase,SR,TE,"9 Rec, 91 Yds, 10.1 Avg"
Jackson Bowers,JR,TE,
Ethan Erickson,SR,TE,
Anthony Olsen,SR,TE,
Ray Paulo,SR,TE,
Nason Coleman,JR,TE,
Noah Moeaki,SO,TE,
Will Zundell,SO,TE,
Kaden Chidester,JR,OL,
Jake Eichorn,JR,OL,
Caleb Etienne,SR,OL,
Isaiah Jatta,SR,OL,
Brayden Keim,SR,OL,
Weylin Lapuaho,JR,OL,
Austin Leausa,JR,OL,
Sonny Makasini,SR,OL,
Bruce Mitchell,SR,OL,
Connor Pay,SR,OL,
David Clifford,SO,OL,
Sam Dawe,SR,OL,
Jake Griffin,JR,OL,
Sione Hingano,SO,OL,
Weston Jones,JR,OL,
Jackson Nelson,SO,OL,
Trevin Ostler,JR,OL,
Trevor Pay,SO,OL,
Ikinasio Tupou,SO,OL,
Will Ferrin,JR,K,
Matthias Dunn,JR,K,
Tyler Batty,SR,DL,
Choe Bryant-Strother,SR,DL,
David Latu,SR,DL,
Logan Lutui,SR,DL,
Blake Mangelson,SR,DL,
John Nelson,SR,DL,
Joshua Singh,SR,DL,
Iosefa Letuli,SO,DL,
Siale Esera,JR,LB,
Isaiah Glasker,JR,LB,
Miles Hall,JR,LB,
Ace Kaufusi,JR,LB,
Maika Kaufusi,JR,LB,
Jack Kelly,SR,LB,
Aisea Moa,SR,LB,
Sione Moa,SR,LB,
Bodie Schoonover,SR,LB,
Harrison Taggart,JR,LB,
Peter Tuipulotu,JR,LB,
Lucky Finau,JR,LB,
Nuu Sellesin,JR,LB,
Talan Alfrey,SR,DB,
Kevin Doe,JR,DB,
Chika Ebunoha,SR,DB,
Koa Eldredge,JR,DB,
Micah Harper,SR,DB,
Evan Johnson,SR,DB,
Jonathan Kabeya,SO,DB,
Preston Rex,SR,DB,
Ethan Slade,SR,DB,
Matthias Leach,SO,DB,
Sam Vander Haar,JR,P,
Landon Rehkow,JR,P,
Therrian Alexander,SO,CB,
Ephraim Asiata,SO,DE,
Isaiah Bagnah,SR,DE,
Mory Bamba,SR,CB,
Marque Collins,SR,CB,
Raider Damuni,JR,S,
Jayden Dunlap,SR,CB,
Orion Maile-Kaufusi,SO,DE,
Marcus McKenzie,JR,CB,
Viliami Po'uha,SO,DE,
Tommy Prassas,SO,S,
Dalton Riggs,SR,LS,
Jakob Robinson,SR,CB,
Faletau Satuala,SO,S,
Cannon Skidmore,SO,LS,
John Taumoepeau,SR,DT,
Luke Toomalatai,SR,DT,
Sani Tuala,JR,DE,
Payton VanSteenkiste,SO,S,
Crew Wakley,SR,S,
Tanner Wall,SR,S,
Kinilau Fonohema,SO,DE,
Dallin Havea,SO,DT,
Nathan Hoke,SO,DE,
Dallin Johnson,SO,DT,
Jarinn Kalama,SO,S,
Malae Tanuvasa,JR,S,
Carson Tujague,SO,DE,
