Player,Class,Pos,Summary
Fernando Mendoza,JR,QB,"265 Cmp, 386 Att, 3004 Yds, 16 TD"
CJ Harris,JR,QB,"19 Cmp, 31 Att, 184 Yds, 0 TD"
Chandler Rogers,SR,QB,"12 Cmp, 25 Att, 117 Yds, 0 TD"
EJ Caminong,SO,QB,"6 Cmp, 19 Att, 57 Yds, 0 TD"
Belay Brummel,SO,QB,
Andrew Maushardrt,SO,QB,
Jaydn Ott,SR,RB,"116 Att, 385 Yds, 3.3 Avg"
Jaivian Thomas,JR,RB,"100 Att, 626 Yds, 6.3 Avg"
Kadarius Calloway,SR,RB,"26 Att, 124 Yds, 4.8 Avg"
Byron Cardwell,JR,RB,"24 Att, 75 Yds, 3.1 Avg"
Jamaal Wiley,SO,RB,"6 Att, 18 Yds, 3.0 Avg"
Jayden Parker,SO,RB,
Dean Taylor-Chapman,SO,RB,
Justin Williams-Thomas,JR,RB,
Mikey Matthews,JR,WR,"32 Rec, 272 Yds, 8.5 Avg"
Jonathan Brady,SR,WR,"36 Rec, 386 Yds, 10.7 Avg"
Josiah Martin,SO,WR,"12 Rec, 112 Yds, 9.3 Avg"
Nyziah Hunter,SO,WR,"40 Rec, 578 Yds, 14.5 Avg"
Trond Grizzell,SR,WR,"27 Rec, 401 Yds, 14.9 Avg"
Mavin Anderson,SR,WR,"14 Rec, 99 Yds, 7.1 Avg"
Tobias Merriweather,SR,WR,"11 Rec, 125 Yds, 11.4 Avg"
Mason Starling,SR,WR,"9 Rec, 121 Yds, 13.4 Avg"
Jordan King,JR,WR,"4 Rec, 50 Yds, 12.5 Avg"
Kyion Grayes,JR,WR,"2 Rec, 22 Yds, 11.0 Avg"
Trevor Rogers,SO,WR,"1 Rec, 17 Yds, 17.0 Avg"
Cole Boscia,JR,WR,
Jaiven Plummer,JR,WR,
Isaac Torres,SR,WR,
Carson Perry-Smith,SO,WR,
Myles Reber,SO,WR,
Jack Endries,JR,TE,"56 Rec, 623 Yds, 11.1 Avg"
Corey Dyches,SR,TE,"17 Rec, 181 Yds, 10.6 Avg"
Jeffrey Johnson,SR,TE,"2 Rec, 13 Yds, 6.5 Avg"
J.T Byrne,SR,TE,
Ben Marshall,SO,TE,
Camden Jones,SO,TE,
Will McDonald,SR,OL,
Nick Morrow,SO,OL,
Trent Ramsey,JR,OL,
Rush Reimer,SR,OL,
TJ Session,SR,OL,
Victor Stoffel,SR,OL,
Bastian Swinney,SR,OL,
Sioape Vatikani,SR,OL,
Frederick Williams III,SO,OL,
Matthew Wykoff,SR,OL,
Sam Bjerke,SO,OL,
Syris Corley,SO,OL,
Dylan Jemtegaard,SR,OL,
Tyler Knape,SO,OL,
Aiden Newbill,SO,OL,
Joshua Stovall,JR,OL,
Ryan Coe,SR,K,
Derek Morris,SO,K,
Spencer Brien,SO,K,
T.J. Bollers,SR,DL,
Nate Burrell,SR,DL,
Akil Calhoun,SR,DL,
Ricky Correia,SR,DL,
Aidan Keanaaina,SR,DL,
Stanley McKenzie,SR,DL,
Curlee Thomas IV,JR,DL,
Derek Wilkins,SR,DL,
Zurich Ashford,SO,DL,
BJ Canady,SO,DL,
Legend Journey,SO,DL,
Michael-Anthony Okwura,SO,DL,
RJ Stephens,SO,DL,
Hunter Barth,SR,LB,
Teddye Buchanan,SR,LB,
Xavier Carlton,SR,LB,
Cheikhsaliou Fall,SR,LB,
Aaron Hampton,SO,LB,
Liam Johnson,SR,LB,
Ryan McCulloch,JR,LB,
David Reese,SR,LB,
Nate Rutchena,SR,LB,
Serigne Tounkara,SO,LB,
Cade Uluave,JR,LB,
Myles Williams,SR,LB,
Michael Cooley,SO,LB,
Elijah Diaz,JR,LB,
Luke Ferrelli,SO,LB,
Murphy Glasgow,SO,LB,
BJ Jones,SO,LB,
Jude McLellan,SO,LB,
Eze Osondu,SO,LB,
Lucas Vanderlind,JR,LB,
Dayday Aupiu,SO,DB,
Mayze Brant,JR,DB,
Isaiah Crosby,SR,DB,
Collin Gamble,SR,DB,
Marcus Harris,SR,DB,
Lu-Magia Hearns,SR,DB,
Khamani Hudson,SO,DB,
Matthew Littlejohn,SR,DB,
Cam Sidney,JR,DB,
Ja'ir Smith,SR,DB,
Jasiah Wagoner,JR,DB,
Miles Williams,SR,DB,
Nohl Williams,SR,DB,
Craig Woodson,SR,DB,
Ryan Yaites,JR,DB,
Brooklyn Cheek,SO,DB,
Nathan Escalada,SO,DB,
Jack Olyphant,SO,DB,
Marcus Scott II,JR,DB,
Tobey Weydemuller,SO,DB,
Julian Womack,JR,DB,
Lachlan Wilson,SR,P,
Bobby Engstler,SO,P,
Jake Arguello,SR,LS,
David Bird,JR,LS,
Braden Miler,JR,OT,
Ewan Arechaederra,SO,LS,
