Player,Class,Pos,Summary
Joey Labas,SR,QB,"94 Cmp, 160 Att, 1114 Yds, 7 TD"
Jadyn Glasser,SO,QB,"41 Cmp, 76 Att, 439 Yds, 2 TD"
Tyler Jefferson,SO,QB,"27 Cmp, 58 Att, 286 Yds, 0 TD"
Bert Emanuel Jr.,JR,QB,"4 Cmp, 6 Att, 99 Yds, 2 TD"
Logan Borodychuk,SO,QB,
Ethan Lane,SO,QB,
Marion Lukes,SR,RB,"161 Att, 788 Yds, 4.9 Avg"
BJ Harris,SR,RB,"91 Att, 418 Yds, 4.6 Avg"
Myles Bailey,SR,RB,"51 Att, 292 Yds, 5.7 Avg"
Nahree Biggins,SR,RB,"19 Att, 136 Yds, 7.2 Avg"
Brock Townsend,SO,RB,"5 Att, 14 Yds, 2.8 Avg"
Jason Philpot-Dixon,SO,RB,
Germanuel Tanelus,JR,RB,
Jakivion Calip,SO,RB,
Tyler DeWitt,JR,RB,
Mekhi Jenkins,SO,RB,
Kadenn Rose,SO,RB,
Solomon Davis,SR,WR,"19 Rec, 350 Yds, 18.4 Avg"
Chris Parker,SR,WR,"29 Rec, 360 Yds, 12.4 Avg"
Jesse Prewitt III,SR,WR,"23 Rec, 186 Yds, 8.1 Avg"
Evan Boyd,SO,WR,"21 Rec, 302 Yds, 14.4 Avg"
Jordyn Williams,SR,WR,"6 Rec, 65 Yds, 10.8 Avg"
Stephan Bracey,SR,WR,"5 Rec, 75 Yds, 15.0 Avg"
Tommy McIntosh,JR,WR,"2 Rec, 15 Yds, 7.5 Avg"
Camden Kruisenga,SO,WR,
Braeden Tillman-Jones,JR,WR,
Tayte Vanderleest,SO,WR,
Josiah Booker,SO,WR,
Tyson Davis,SR,WR,
Jordan Kelly,SO,WR,
Langston Lewis,JR,WR,
Miles Shannon,SO,WR,
Nasir Williams,SO,WR,
Gavin Harris,JR,TE,"11 Rec, 173 Yds, 15.7 Avg"
D.C. Temple,JR,TE,"5 Rec, 66 Yds, 13.2 Avg"
Nathan VanTimmeren,SO,TE,"4 Rec, 24 Yds, 6.0 Avg"
Travis Ambrose,SO,TE,
Rory Callahan,SO,TE,
Jacob Kaminski,SR,TE,
Alec Palella,JR,TE,
Vashon Bailey,SR,OL,
Ryan Blum,SO,OL,
Jacob Booth,SO,OL,
Davis Heinzen,SR,OL,
Jemeil Jackson,SR,OL,
Martin Koivisto,JR,OL,
Michael Kostantonov,SO,OL,
Luis Martinez,SR,OL,
Matthew Nehf,SO,OL,
Brady Ploucha,JR,OL,
Jacob Saurbeck,SO,OL,
Dominic Serapiglia,SR,OL,
Dane Sickler,SO,OL,
Dasan Smith,SO,OL,
Brayden Swartout,SR,OL,
John Burke,SO,OL,
Bronson Burton,JR,OL,
Brayden Greensky,SO,OL,
Cohen Lantz,SO,OL,
Cory Pecynski,SO,OL,
Cade Graham,SR,K,
Tristan Mattson,SR,K,
Zac Chapeau,SO,K,
Daniel Bennett,SR,DL,
Jayshaun Coffman,SR,DL,
Oumar Conde,JR,DL,
Jonathan Decker,SR,DL,
Malik Denkins,JR,DL,
Keshawn Hayden,SO,DL,
Michael Heldman,SR,DL,
Kade Kostus,JR,DL,
Brady Neu,SO,DL,
Pius Odjugo,SR,DL,
Jonah Pace,SR,DL,
Jeremiah Waldrond,SR,DL,
Jason Wiliams,SR,DL,
Quavion Bird,SO,DL,
Adam Kaminski,SO,DL,
Hakeem McCullers,SR,DL,
Brenan Salani,SO,DL,
Justin Whiteside,SR,LB,
Lawai'a Brown,SR,LB,
Dakota Cochran,SR,LB,
Victor Earl,SO,LB,
Mckeegan Ferguson,SO,LB,
Jordan Kwiatkowski,SR,LB,
Ke'shon Parker,SR,LB,
Fernando Sanchez III,SR,LB,
Xavier White,SO,LB,
Jeremiah Alston-Jackson,SO,LB,
Khari Johnston,SO,LB,
Cairo Rhodes,SR,LB,
Landon Swanson,SO,LB,
Jamari Allen,SO,DB,
Marcus Badgett,SR,DB,
Ed Conoran,JR,DB,
Brenden Deasfernandes,SR,DB,
Mark-Allen Gay Jr.,SO,DB,
Jaion Jackson,SO,DB,
Donte Kent,SR,DB,
Kyle Krebs,JR,DB,
Trey Liebhardt,SO,DB,
Da'Raun McKinney,SR,DB,
Elijah Rikard,SR,DB,
Bryce Rowe,SO,DB,
Aakeem Snell,SR,DB,
Caleb Spann,SR,DB,
Jaree Turner-Kinsler,SR,DB,
Tysen Campbell,SO,DB,
Keyton Jones,SO,DB,
Danny MacLean,SR,DB,
Ben Parrott,SO,DB,
David Chapeau,SR,P,
Dylan Hertzberg,JR,P,
Ryan Peluso,SR,P,
Grayson Curtis,JR,LS,
Jaden Davis,SR,DE,
Ben Pratt,SR,LS,
Lincoln Epstein,SO,LS,
Bryce Lambeth,SR,CB,
