Player,Class,Pos,Summary
Deshawn Purdie,SO,QB,"100 Cmp, 200 Att, 1802 Yds, 10 TD"
Max Brown,JR,QB,"43 Cmp, 93 Att, 561 Yds, 3 TD"
Trexler Ivey,SR,QB,"34 Cmp, 59 Att, 326 Yds, 3 TD"
Tanner Bushee,SO,QB,
Andre Washington,JR,QB,
Cartevious Norton,SR,RB,"129 Att, 525 Yds, 4.1 Avg"
Hashaun Wilson,SR,RB,"91 Att, 559 Yds, 6.1 Avg"
Terron Kellman,JR,RB,"48 Att, 242 Yds, 5.0 Avg"
Henry Rutledge,SR,RB,"11 Att, 72 Yds, 6.5 Avg"
Rod Gainey Jr.,SO,RB,"10 Att, 34 Yds, 3.4 Avg"
C.J. Stokes,JR,RB,"7 Att, 33 Yds, 4.7 Avg"
Duke Guenther,SO,RB,
Jake Davids,SO,RB,
Jake Simmons,SO,RB,
O'Mega Blake,SR,WR,"32 Rec, 795 Yds, 24.8 Avg"
Duane Thomas Jr.,JR,WR,"6 Rec, 63 Yds, 10.5 Avg"
Jarius Mack,SR,WR,"19 Rec, 418 Yds, 22.0 Avg"
Xander Lamb,JR,WR,
Sean Brown,SR,WR,"35 Rec, 470 Yds, 13.4 Avg"
Isaiah Myers,SR,WR,"13 Rec, 237 Yds, 18.2 Avg"
Adam Hopkins,SO,WR,"3 Rec, 8 Yds, 2.7 Avg"
Miles Burris,SO,WR,"2 Rec, 64 Yds, 32.0 Avg"
Justin Olson,SR,WR,"2 Rec, 35 Yds, 17.5 Avg"
Terez Traynor,SR,WR,"2 Rec, 18 Yds, 9.0 Avg"
Jack Reynolds,SR,WR,"1 Rec, 6 Yds, 6.0 Avg"
Evan Austin,SO,WR,
Derrick Eley,SO,WR,
Montez Green,SR,WR,
Jacob Hamilton,SO,WR,
Colin Weber,SR,TE,"21 Rec, 213 Yds, 10.1 Avg"
Bryce Kennon,SR,TE,"17 Rec, 173 Yds, 10.2 Avg"
Jake Clemons,SR,TE,"2 Rec, -1 Yds, -0.5 Avg"
Gus McGee,SR,TE,"2 Rec, 9 Yds, 4.5 Avg"
Joseph Bearns III,SR,TE,"1 Rec, 17 Yds, 17.0 Avg"
Connor Adair,SO,TE,
Jason Jeffares,JR,TE,
Grant Laskey,SO,TE,
Brady Rhoads,SO,TE,
Isaiah Bullerdick,JR,OL,
Mo Clipper Jr.,JR,OL,
Andrew Cunningham,SO,OL,
Tyler Gibson,JR,OL,
Jonny Hassard,SR,OL,
Jordan Herman,SR,OL,
Dominick Kelley,JR,OL,
Jonny King,SR,OL,
Mitchell Mayes,SR,OL,
Jordan Spasojevic-Moko,SR,OL,
Kendall Stanley,JR,OL,
PJ Wilkins,JR,OL,
Andrew Adair,SR,OL,
Boston Brinkley,JR,OL,
Jameson Jensen,SO,OL,
Aiden Martinez,SO,OL,
Umar Rockhead,SO,OL,
Dom Slivia,SO,OL,
Kyle Cunanan,JR,K,
Bronson Long,JR,K,
Stephen Rusnak,SR,K,
Vasilios Fotopoulous,SO,K,
Hunter Patrick,SR,K,
Demon Clowney,SR,DL,
Colin Coates,JR,DL,
Katron Evans,SR,DL,
Jalar Holley,SR,DL,
Michael Kelly,SR,DL,
D'Andre Martin,JR,DL,
Dez Morgan,SR,DL,
Zion Shockley,SR,DL,
Ayobami Tifase,JR,DL,
Chantz Williams,SR,DL,
Kendal Brown,SO,DL,
Kainoa Davis,SO,DL,
Jefferson Lambert,SR,DL,
Malik Puryear,SR,DL,
Prince Bemah,SR,LB,
Cam Burden,SR,LB,
Osita Ekwonu,SR,LB,
Jaren Handy,SR,LB,
Aidan Kaler,SR,LB,
Avery Morris,SR,LB,
Jonathon Okate,SR,LB,
Donovan Spellman,SR,LB,
Reid Williford,SR,LB,
Justin Hayes,JR,LB,
Xavier Simmons,JR,LB,
Darius Wallace,SO,LB,
Ali Ali,SR,DB,
Cornell Allen,SO,DB,
Dontae Balfour,SR,DB,
Trevon Booker,SR,DB,
CJ Burton,SR,DB,
CJ Clinkscales,JR,DB,
Ja'Qurious Conley,SR,DB,
Antonio Cotman Jr.,SO,DB,
Elijah Culp,SR,DB,
Derrick Edwards,SR,DB,
Randy Franklin,SR,DB,
Cary Grant,SR,DB,
Jaavan Mack,SR,DB,
Mordecai McDaniel,SR,DB,
Treyveon McGee,SR,DB,
Maguire Neal,SR,DB,
Breon Noel,SR,DB,
Jamari Broady,JR,DB,
Aydan Cannon,SO,DB,
Seth Franklin,JR,DB,
Tequan Latimore,SR,DB,
Kameron Manley,SO,DB,
Ike White,JR,DB,
DeQuinder Williams II,SO,DB,
Michael O'Shaughnessy,SR,P,
Andrew Bennett,SO,P,
Adam Booker,JR,LS,
Dre Butler,SR,DT,
Lacota Dippre,JR,DE,
Charlie Jackson,SR,DT,
Stephens Sings V,SR,DE,
Zach Billings,SR,LS,
Anthony Saragusa,SO,LS,
