Player,Class,Pos,Summary
Brendan Sorsby,JR,QB,"249 Cmp, 389 Att, 2813 Yds, 18 TD"
Brady Lichtenberg,SR,QB,"3 Cmp, 5 Att, 25 Yds, 0 TD"
Jacob Hoying,SR,QB,
Samaj Jones,SO,QB,
Will Kocher,JR,QB,
Danny Stoddard,SO,QB,
Corey Kiner,SR,RB,"204 Att, 1153 Yds, 5.7 Avg"
Evan Pryor,SR,RB,"56 Att, 418 Yds, 7.5 Avg"
Manny Covey,SO,RB,"17 Att, 62 Yds, 3.6 Avg"
Chance Williams,SR,RB,"15 Att, 67 Yds, 4.5 Avg"
Victor Dawson,SR,RB,"7 Att, 63 Yds, 9.0 Avg"
Jakorion Caffey,SO,RB,
Brian Doneghy II,SR,RB,
Evan Prater,SR,WR,
Barry Jackson Jr.,SO,WR,"3 Rec, 22 Yds, 7.3 Avg"
Tony Johnson,SR,WR,"48 Rec, 449 Yds, 9.4 Avg"
Xzavier Henderson,SR,WR,"59 Rec, 738 Yds, 12.5 Avg"
Jamoi Mayes,SR,WR,"29 Rec, 349 Yds, 12.0 Avg"
Sterling Berkhalter,SR,WR,"11 Rec, 191 Yds, 17.4 Avg"
Aaron Turner,SR,WR,"5 Rec, 85 Yds, 17.0 Avg"
Tyrin Smith,SR,WR,"4 Rec, 32 Yds, 8.0 Avg"
Michael Mussari,SO,WR,
Elijah Jones,SO,WR,
Zane Kinsey,SO,WR,
Kale Woodburn,SO,WR,
Joe Royer,SR,TE,"50 Rec, 521 Yds, 10.4 Avg"
Francis Sherman,SR,TE,"2 Rec, 22 Yds, 11.0 Avg"
Joey Beljan,SR,TE,"1 Rec, 10 Yds, 10.0 Avg"
Devyn Zahursky,SO,TE,"1 Rec, 7 Yds, 7.0 Avg"
Gavin Grover,SO,TE,
Michael McCalmont,SR,TE,
Lyviel Waters,SO,TE,
Deondre Buford,SR,OL,
Grant Edgington,JR,OL,
Gavin Gerhardt,SR,OL,
Ethan Green,JR,OL,
Jonathan Harder,JR,OL,
Luke Kandra,SR,OL,
Xavier Lozowicki,JR,OL,
Evan Tengesdahl,SO,OL,
Dartanyan Tinsley,SR,OL,
Phillip Wilder,SR,OL,
John Williams,SR,OL,
Zac Clarke,SO,OL,
Judea Milon,SR,OL,
Aiden Pastoriza,SO,OL,
JP Schrieber,SO,OL,
Jake Wheelock,SO,OL,
Carter Brown,SR,K,
Nathan Hawks,SR,K,
Max Lemasters,SO,K,
Harris Adams,SR,DL,
Lendric Barber,SO,DL,
Ben Blevins,SR,DL,
Dontay Corleone,SR,DL,
Drew Logan,JR,DL,
Marquaze Parker,SO,DL,
Cameron Roetherford,JR,DL,
Darian Varner,SR,DL,
Kameron Wilson,SR,DL,
Garrison Butler,SO,DL,
Nick Herbst,SR,DL,
Jalen Hunt,SR,DL,
Keilan Smith,SO,DL,
Trevor Adams,SR,LB,
Jared Bartlett,SR,LB,
Simeon Coleman,SO,LB,
Jack Dingle,SR,LB,
Brady Drogosh,SO,LB,
Jake Golday,SR,LB,
Brian Simms III,SO,LB,
Jonathan Thompson,JR,LB,
Montay Weedon,SO,LB,
Christian Commisso,SO,LB,
Connor Keyes,SR,LB,
Cincear Lewis,JR,LB,
Nijal Mooney,SR,LB,
Quinn Staten,SO,LB,
Ormanie Arnold,JR,DB,
Derrick Canteen,SR,DB,
Tre Gola-Callard,SR,DB,
Willie Goodwyn,SO,DB,
Zay Johnson,SO,DB,
Mehki Miller,SR,DB,
Josh Minkins,SR,DB,
Jordan Robinson,SR,DB,
Jiquan Sanks,SO,DB,
Ken Willis,JR,DB,
Logan Wilson,SR,DB,
Zander Blue,SR,DB,
Mason Fletcher,SR,P,
Max Fletcher,SR,P,
Brady Young,SR,P,
Kamari Burns,SO,DE,
Kalen Carroll,JR,CB,
Rob Jackson,SR,DE,
Antwan Peek Jr.,JR,S,
Jayden Perry,SR,LS,
Eric Phillips,SR,DE,
Marqavious Saboor,SO,S,
Kye Stokes,JR,S,
D.J. Taylor,SR,S,
Jordan Young,SR,CB,
Dakarai Anderson,SO,CB,
Stanley Clyne,SO,CB,
Mikah Coleman,SR,DE,
Maxwell Cummings,SO,CB,
Daniel James,SO,CB,
George Leibold,SO,LS,
Nathan Nunn,SO,DE,
Quinton Price,SO,CB,
Drew Robinson,SO,S,
Weston Simmons,SO,LS,
