Player,Class,Pos,Summary
Cade Klubnik,SR,QB,"308 Cmp, 486 Att, 3639 Yds, 36 TD"
Christopher Vizzina,SO,QB,"19 Cmp, 34 Att, 190 Yds, 0 TD"
Trent Pearman,JR,QB,"2 Cmp, 5 Att, 8 Yds, 0 TD"
Paul Tyson,SR,QB,
Ethan Anderson,SO,QB,
Phil Mafah,SR,RB,"216 Att, 1115 Yds, 5.2 Avg"
Jay Haynes,SO,RB,"43 Att, 295 Yds, 6.9 Avg"
Keith Adams Jr.,JR,RB,"30 Att, 122 Yds, 4.1 Avg"
David Eziomume,SO,RB,"10 Att, 62 Yds, 6.2 Avg"
Jarvis Green,SO,RB,"9 Att, 53 Yds, 5.9 Avg"
Wise Segars Jr.,SR,RB,"2 Att, 14 Yds, 7.0 Avg"
Peyton Streko,SO,RB,"2 Att, 15 Yds, 7.5 Avg"
Trsiten Rigby,SR,RB,"1 Att, 1 Yds, 1.0 Avg"
Kevin McNeal,SR,RB,
Antonio Williams,JR,WR,"75 Rec, 904 Yds, 12.1 Avg"
Cole Turner,JR,WR,"16 Rec, 229 Yds, 14.3 Avg"
Adam Randall,SR,WR,"16 Rec, 155 Yds, 9.7 Avg"
Troy Stellato,SR,WR,"25 Rec, 264 Yds, 10.6 Avg"
Tyler Brown,JR,WR,"5 Rec, 30 Yds, 6.0 Avg"
T.J. Moore,SO,WR,"45 Rec, 651 Yds, 14.5 Avg"
Bryant Wesco Jr.,SO,WR,"41 Rec, 708 Yds, 17.3 Avg"
Misun Kelley,SO,WR,"5 Rec, 27 Yds, 5.4 Avg"
Noble Johnson,SO,WR,"3 Rec, 16 Yds, 5.3 Avg"
Jackson Crosby,SR,WR,"2 Rec, 25 Yds, 12.5 Avg"
Clay Swinney,JR,WR,"1 Rec, 4 Yds, 4.0 Avg"
Chase Byrd,SO,WR,
Hampton Earle,SR,WR,
Parker Fulghum,SO,WR,
Zach Jackson CLEM,SR,WR,
Charlie Johnson,SO,WR,
Tristan Martinez,SO,WR,
Clark Sanderson,SO,WR,
Jake Briningstool,SR,TE,"49 Rec, 530 Yds, 10.8 Avg"
Olsen Patt-Henry,JR,TE,"9 Rec, 121 Yds, 13.4 Avg"
Josh Sapp,JR,TE,"6 Rec, 63 Yds, 10.5 Avg"
Christian Bentancur,SO,TE,"1 Rec, 7 Yds, 7.0 Avg"
Markus Dixon,SO,TE,
Banks Pope,SR,TE,
Colby Shaw,SO,TE,
Tristan Leigh,SR,OL,
Will Boggs,SR,OL,
Nathan Brooks,SR,OL,
Dominic Cardone,JR,OL,
Jackson Hall,JR,OL,
Trent Howard,SR,OL,
Mason Johnstone,JR,OL,
Sam Judy,SR,OL,
Blake Miller,SR,OL,
Jake Norris,SO,OL,
Ronan O'Connell,SO,OL,
Walker Parks,SR,OL,
Chapman Pendergrass,JR,OL,
Dietrick Pennington,SR,OL,
Collin Sadler,JR,OL,
Harris Sewell,JR,OL,
Bryce Smith,SO,OL,
Marcus Tate,SR,OL,
Elyjah Thurmon,SO,OL,
Mason Wade,SO,OL,
Ian Reed,SO,OL,
Watson Young,SO,OL,
Robert Gunn III,JR,K,
Nolan Hauser,SO,K,
Hogan Morton,SR,K,
Quinn Castner,SR,K,
Aidan Hydrick,SO,DL,
Caden Story,JR,DL,
Peter Woods,JR,DL,
Barrett Carter,SR,LB,
Jamal Anderson,JR,LB,
Griffin Batt,JR,LB,
William Bouton,SO,LB,
Sammy Brown,SO,LB,
Fletcher Cothran,JR,LB,
Dee Crayton,SO,LB,
C.J. Kubah-Taylor,SO,LB,
Kobe McCloud,JR,LB,
Chandler McMaster,JR,LB,
Reed Morrissey,SR,LB,
Joseph Roberto II,SO,LB,
Billy Wilkes,SO,LB,
Drew Woodaz,SO,LB,
Wade Woodaz,SR,LB,
Ronan Hanafin,JR,DB,
Walt Smith,JR,DB,
Tyler Conner,SO,DB,
Brodey Conn,SO,P,
Jack Smith,JR,P,
Aidan Swanson,SR,P,
Will McCune,JR,P,
Khalil Barnes,JR,S,
Rob Billings,SO,S,
Hevin Brown-Shuler,SO,DT,
Vic Burley,SO,DT,
Demonte Capehart,SR,DT,
Holden Caspersen,SR,LS,
Sherrod Covil Jr.,SR,S,
Cade Denhoff,SR,DE,
Noah Dixon,SO,S,
Tavoy Feagin,SO,CB,
Philip Florenzo,SR,LS,
Corian Gipson,SO,CB,
Stephiylan Green,SO,DT,
Kylon Griffin,JR,S,
Ashton Hampton,SO,CB,
Jacob Hendricks,SR,S,
A.J. Hoffler,JR,DE,
Ricardo Jones,SO,S,
Jahiem Lawson,JR,DE,
Shelton Lewis,JR,CB,
Ryan Linthicum,SR,OC,
Jeadyn Lukus,SR,CB,
Michael Mankaka,JR,CB,
Armon Mason,SR,DE,
Levi Matthews,JR,DE,
Darien Mayo,SO,DE,
Bubba McAtee,SR,S,
R.J. Mickens,SR,S,
Boston Miller,JR,S,
Peter Nearn,SR,S,
Caleb Nix,JR,S,
Payton Page,SR,DT,
T.J. Parker,JR,DE,
Zaire Patterson,SR,DE,
Austin Randall,SR,CB,
Jaheim Scott,SR,DT,
Branden Strozier,SO,CB,
Patrick Swygert,SO,DT,
Avieon Terrell,JR,CB,
Champ Thompson,SO,DT,
Tyler Venables,SR,S,
Kylen Webb,SO,S,
Joe Wilkinson,SO,S,
Tre Williams,SR,DT,
Myles Oliver,JR,CB,
Peyton Pitts,JR,DT,
