Player,Class,Pos,Summary
Ethan Vasko,JR,QB,"148 Cmp, 271 Att, 2110 Yds, 14 TD"
Noah Kim,SR,QB,"30 Cmp, 56 Att, 333 Yds, 4 TD"
Tad Hudson,SO,QB,"17 Cmp, 26 Att, 173 Yds, 2 TD"
Alex Walker,SO,QB,
DJ Moore,SO,QB,
Braydon Bennett,SR,RB,"134 Att, 781 Yds, 5.8 Avg"
Christian Washington,JR,RB,"102 Att, 537 Yds, 5.3 Avg"
Simeon Price,SR,RB,"44 Att, 136 Yds, 3.1 Avg"
Darren Lloyd,SO,RB,"21 Att, 132 Yds, 6.3 Avg"
Ja'Vin Simpkins,JR,RB,"14 Att, 93 Yds, 6.6 Avg"
Matt Pack,SR,RB,"7 Att, 17 Yds, 2.4 Avg"
Max Balthazar,SR,RB,
D'Marius Rucker,SO,RB,
Kyre Duplessis,SR,WR,"5 Rec, 78 Yds, 15.6 Avg"
James Tucker,SR,WR,"34 Rec, 579 Yds, 17.0 Avg"
Tray Taylor,SR,WR,"18 Rec, 262 Yds, 14.6 Avg"
Bryson Graves,JR,WR,"27 Rec, 327 Yds, 12.1 Avg"
Nathan Schuessler,JR,WR,
Senika McKie,SR,WR,"23 Rec, 314 Yds, 13.7 Avg"
Cameron Wright,SR,WR,"19 Rec, 314 Yds, 16.5 Avg"
Malick Meiga,SR,WR,"7 Rec, 117 Yds, 16.7 Avg"
Xakery Wiedner,SO,WR,"1 Rec, 3 Yds, 3.0 Avg"
Jalen Harris,SO,WR,
Andre Jones,JR,WR,
Jamahdia Whitby,SR,WR,
Connor Cmiel,SR,WR,
Zachary Coleman,SO,WR,
Jayden McClintock,SO,WR,
Kendall Karr,SR,TE,"13 Rec, 234 Yds, 18.0 Avg"
Cane Berrong,SR,TE,"12 Rec, 145 Yds, 12.1 Avg"
Zach Courtney,JR,TE,"3 Rec, 18 Yds, 6.0 Avg"
Brooks Johnson,JR,TE,
John Grant III,JR,TE,
Paul Hartman,SO,TE,
Zack Zandier,SO,TE,
Jake Buerk,SO,OL,
Michael Cogoni,SO,OL,
Marlon Corey II,JR,OL,
Nick Del Grande,JR,OL,
Heston Edwards,SR,OL,
Joseph Hanson,JR,OL,
Thomas Johnson,SR,OL,
Daniel Jones,SO,OL,
Zovon Lindsay,SR,OL,
Donavan Manson,SR,OL,
Frankie Richardson,JR,OL,
Julius Tate,SO,OL,
Nathan Thompson,SO,OL,
Tyler Wagner,SR,OL,
Anthony Walton,SR,OL,
Logan Brasfield,SO,OL,
Zac Elam,SR,OL,
Bryant Ham,SO,OL,
Jacob Katauskas,SO,OL,
Brayson McIver,SO,OL,
Gavin McLaughlin,SO,OL,
Liam Gray,SR,K,
Kade Hensley,SR,K,
Justin Keller,SR,K,
Richie Aguilar,SR,DL,
Naejaun Barber,SR,DL,
Travis Batts,SR,DL,
Ibrahim Diawara,JR,DL,
Deamontae Diggs,SR,DL,
Cohen Fuller,SR,DL,
Sawyer Goram-Welch,SR,DL,
Emmanuel Johnson,SR,DL,
Chris Lake,SO,DL,
Clev Lubin,JR,DL,
Gavin Ransaw,SR,DL,
Sam Ross,SO,DL,
Braylon Ryan,SR,DL,
TrayVaughn Swanigan,JR,DL,
Farradj Titikpina,SO,DL,
Will Whitson,SR,DL,
Keenen Hatcher,SO,DL,
Geajorm Akpaloo,SO,LB,
Clinton Anokwuru,SR,LB,
Cameron Avery,JR,LB,
Barry Brown,SR,LB,
Tray Brown,JR,LB,
Shane Bruce,SR,LB,
Joah Cash,SR,LB,
Wyatt Gedeon,JR,LB,
Spencer Kishbaugh,SO,LB,
Se'Von McDowell,SO,LB,
Joshua Saddler,SO,LB,
Kadon Crawford,SO,LB,
Kaden Glass,SO,LB,
Antonio Molder II,SO,DB,
Cristian Conyer,JR,DB,
Brayden Hall,JR,DB,
Jaitlin Hampton,JR,DB,
Quan Peterson,JR,DB,
Deondre Shepherd,SO,DB,
AJ Williams,SR,DB,
Myles Woods,SO,DB,
Emile Sebafundi,SR,P,
Mack West,SR,P,
Juan Powell,SR,S,
Blake Arnoult,SR,LS,
Jayden Bryant,SO,DE,
Zach Cody,SO,,
Courtney Eubanks,SR,CB,
Tobias Fletcher,SR,S,
Javon Gillespie,SO,CB,
Xamarion Gordon,SR,S,
Chase Jackson,SO,S,
Keontae Jenkins,SR,CB,
Avyonne Jones,JR,S,
John Kirkpatrick,SR,LS,
Nino Mastromatteo,SR,CB,
Matthew McDoom,SR,CB,
Xavier McIntyre,SO,S,
Nate Merchant,JR,LS,
Dre Pinckney,SR,S,
Abraham Temoney,SR,S,
Jayden Jackson,SR,CB,
Joseph Johnson,SO,S,
