Player,Class,Pos,Summary
Brayden Fowler-Nicolosi,JR,QB,"230 Cmp, 380 Att, 2796 Yds, 14 TD"
Jackson Brousseau,SO,QB,"3 Cmp, 6 Att, 15 Yds, 0 TD"
Giles Pooler,SR,QB,
Darius Curry,SO,QB,
Tommy Poholsky,SO,QB,
Kobe Johnson,SR,RB,"11 Att, 7 Yds, 0.6 Avg"
Avery Morrow,SR,RB,"184 Att, 1006 Yds, 5.5 Avg"
Justin Marshall,SO,RB,"154 Att, 746 Yds, 4.8 Avg"
Jalen Dupree,SO,RB,"25 Att, 153 Yds, 6.1 Avg"
Keegan Holles,JR,RB,"15 Att, 97 Yds, 6.5 Avg"
Damian Henderson,SO,RB,"9 Att, 41 Yds, 4.6 Avg"
Ryan McConnell,JR,RB,
Garrett Menagh,SO,RB,
Dane Olson,SR,WR,"17 Rec, 314 Yds, 18.5 Avg"
Caleb Goodie,JR,WR,"21 Rec, 436 Yds, 20.8 Avg"
Jordan Ross,SO,WR,"15 Rec, 218 Yds, 14.5 Avg"
Tommy Maher,SO,WR,"4 Rec, 99 Yds, 24.8 Avg"
Armani Winfield,JR,WR,"38 Rec, 341 Yds, 9.0 Avg"
Jamari Person,JR,WR,"36 Rec, 386 Yds, 10.7 Avg"
Tory Horton,SR,WR,"26 Rec, 353 Yds, 13.6 Avg"
Dylan Goffney,SR,WR,"6 Rec, 57 Yds, 9.5 Avg"
Lavon Brown,SO,WR,"4 Rec, 41 Yds, 10.3 Avg"
Stephon Daily,SO,WR,"4 Rec, 74 Yds, 18.5 Avg"
Donovan Ollie,SR,WR,"4 Rec, 36 Yds, 9.0 Avg"
Landon Bell,SO,WR,
Kory Hall,SO,WR,
Keynan Higgins,JR,WR,
Jordan McIntyre,SR,WR,
Peter Montini,SR,TE,"5 Rec, 42 Yds, 8.4 Avg"
Vince Brown II,SR,TE,"24 Rec, 256 Yds, 10.7 Avg"
Brig Hartson,SR,TE,
Mason Muaau,SO,TE,
Jordan Williams,SR,TE,
Matt Greenwald,SR,TE,
Jaxxon Warren,JR,TE,
Nate Weyand,SO,TE,
Chandler Brown,SR,OL,
Alex Foster,SR,OL,
Jacob Gardner,SR,OL,
Trevyn Heil,SR,OL,
Saveyon Henderson,SR,OL,
Aaron Karas,JR,OL,
Christian Martin,SO,OL,
Tanner Morley,SO,OL,
Drew Moss,SR,OL,
Aitor Urionabarrenechea,SO,OL,
Braden Hales,SO,OL,
Keegan Hamilton,JR,OL,
John Holthaus,SO,OL,
Berlin Lillard,SO,OL,
Phillip Ocon,SO,OL,
Zach Smith,SO,OL,
Bryan Hansen,JR,K,
Jordan Noyes,SR,K,
Luke Watkins,SO,K,
Payne Williams III,SO,K,
Kenyon Agurs,SO,DL,
Cameron Bariteau,SR,DL,
Nuer Gatkuoth,JR,DL,
DeAndre Gill,JR,DL,
Gabe Kirschke,JR,DL,
Andrew Laurich,SO,DL,
Kennedy McDowell,JR,DL,
James Mitchell,SR,DL,
Whitefield Powell,SO,DL,
Will Prendergast,SR,DL,
Javion Smith-Combs,SO,DL,
Jernias Tafia,SR,DL,
Poukesi Vakauta,SR,DL,
Mukendi Wa-kalonji,SR,DL,
Ed'Mari Binion,SO,DL,
Hidetora Hanada,SR,DL,
Brycen Heil,SR,DL,
Garrett Keeler,SO,DL,
Jack Moran,SO,DL,
Keegan Shank,SO,DL,
Mulumba Wa-Kalonji,SO,DL,
Buom Jock,JR,LB,
Owen Long,SO,LB,
Jaseim Mitchell,SR,LB,
Drew Rodriguez,SO,LB,
Rocco Schramm,JR,LB,
Chase Wilson,SR,LB,
Josh Ayers,SO,LB,
Jaden Landrum,SO,LB,
Niko Lopez,SO,LB,
Jace Bellah,JR,DB,
Henry Blackburn,SR,DB,
Isaiah Essissima,SR,DB,
Jaylen Gardner,JR,DB,
Chance Harrison,SO,DB,
Ayden Hector,SR,DB,
Jack Howell,SR,DB,
Chris Jackson,JR,DB,
Dom Jones,SR,DB,
Elias Larry,SR,DB,
Dominic Morris,SR,DB,
Dagan Myers,SO,DB,
AJ Noland,SO,DB,
Dylan Phelps,SO,DB,
Dante Scott,SO,DB,
Jett Vincent,SO,DB,
Tyson Williams,JR,DB,
Chauncey Davis,SO,DB,
Armon Gardner,SO,DB,
Kylan Studebaker,SO,DB,
Trey Vincent,SR,DB,
Paddy Turner,SR,P,
Will Hutchison,SO,P,
Jake Dennis,SR,LS,
Morgan Tribbett,SO,LS,
Cody Pettitt,SR,LS,
