Player,Class,Pos,Summary
Joe Fagnano,SR,QB,"120 Cmp, 206 Att, 1631 Yds, 20 TD"
Nick Evers,JR,QB,"97 Cmp, 180 Att, 918 Yds, 5 TD"
Tucker McDonald,JR,QB,"3 Cmp, 5 Att, 20 Yds, 0 TD"
Cole Welliver,SO,QB,"2 Cmp, 4 Att, 10 Yds, 0 TD"
Camryn Edwards,SR,RB,"146 Att, 830 Yds, 5.7 Avg"
Jayden Brown,SR,RB,"118 Att, 673 Yds, 5.7 Avg"
Durell Robinson,SO,RB,"107 Att, 731 Yds, 6.8 Avg"
Victor Rosa,SR,RB,"16 Att, 72 Yds, 4.5 Avg"
Daniel Shaban,SO,RB,"2 Att, 6 Yds, 3.0 Avg"
Frank Daniley,SO,RB,
Oliver Lundberg-Coleman,SO,RB,
Malik Thomas,SR,RB,
TJ Sheffield,SR,WR,"54 Rec, 505 Yds, 9.4 Avg"
Skyler Bell,SR,WR,"50 Rec, 860 Yds, 17.2 Avg"
Jasaiah Gathings,SR,WR,"32 Rec, 307 Yds, 9.6 Avg"
Brett Buckman,SR,WR,"7 Rec, 91 Yds, 13.0 Avg"
Shamar Porter,SO,WR,"6 Rec, 113 Yds, 18.8 Avg"
Ezeriah Anderson,SR,WR,"5 Rec, 79 Yds, 15.8 Avg"
Jackson Harper,JR,WR,"1 Rec, 5 Yds, 5.0 Avg"
Bryan Domino,SO,WR,
Jarvis Jones,JR,WR,
Brock Montgomery,SO,WR,
John Neider,SO,WR,
Zack Drawdy,JR,WR,
Cole Lakatos,SR,WR,
Terrence Smith,SO,WR,
Teddy Williams,SO,WR,
Louis Hansen,SR,TE,"24 Rec, 236 Yds, 9.8 Avg"
Alex Honig,SR,TE,"6 Rec, 59 Yds, 9.8 Avg"
John Bechtle,SR,TE,
Nader Chirchi,JR,TE,
Nick Harris,SR,TE,
James Larson,SO,TE,
Dominic Toy,SO,TE,
Bryce Anderson,SO,TE,
Clemens Richter,SO,TE,
Jayden Bass,SO,OL,
Ja'Khi Green,SR,OL,
Toriyan Johnson,JR,OL,
Kyle Juergens,SR,OL,
Jake Kiernan,JR,OL,
Mason Raymer,SR,OL,
Deron McLaughlin,SO,OL,
Diego Rodriguez,SO,OL,
Toluwanimi Tunde,JR,OL,
Finn Wilkins,SO,OL,
Chris Freeman,SR,K,
Kervins Choute,SR,DL,
Dalmont Gourdine,SR,DL,
Matt Hoffman,SR,DL,
Brandon Kelly,JR,DL,
Jayden Simon,SR,DL,
Jelani Stafford,SR,DL,
Cooper Ackerman,SO,DL,
Jaavon Brown,SR,DL,
Cleto Chol,JR,DL,
Eddie Dresch,SO,DL,
Brady Fodor,SO,DL,
Timothy Passmore Jr.,JR,DL,
Donovan Branch,SR,LB,
Alfred Chea,SR,LB,
Oumar Diomande,JR,LB,
Tui Faumuina-Brown,SR,LB,
Langston Hardy,SR,LB,
Aaron Key,SR,LB,
Jayden McDonald,SR,LB,
Jon Morris,SO,LB,
Amir Renwick,SR,LB,
Julien Simon,SR,LB,
Kalen Villanueva,SR,LB,
Ed Entsiwah,SO,LB,
Hayden Pegg,JR,LB,
Roberto Salas,SO,LB,
Kaleb Stewart,SO,LB,
Malcolm Bell,SR,DB,
D'Mon Brinson,SR,DB,
Cam Chadwick,SO,DB,
Stan Cross,SR,DB,
Malik Dixon,SR,DB,
Chase Fountain,JR,DB,
Kylish Hicks,SR,DB,
Chris Hudson,JR,DB,
Durante Jones,SR,DB,
Malachi McLean,JR,DB,
Lee Molette III,SR,DB,
Jarvarius Sims,SR,DB,
Jordan Wright,SR,DB,
Valerian Agbaw,SR,DB,
Carter Boskovich,JR,DB,
Drew Buckley,JR,DB,
Isiah Davis,SR,DB,
Dean Engram,SR,DB,
Connor Stutz,SR,P,
Seth Turner,JR,P,
Nathaniel Wallace-Dilling,SO,P,
Danny Antolovich,SR,OT,
Jevon Banks,SR,DT,
Jack Barton,SR,DE,
Carsten Casady,JR,OT,
Zach Christinat,JR,LS,
Christopher Fortin,SR,OG,
Wes Hoeh,SR,OC,
Chase Lundt,SR,OT,
Ben Murawski,JR,OG,
Valentin Senn,SR,OT,
Brady Wayburn,SR,OG,
Pryce Yates,SR,DE,
Reggie Akles,SR,CB,
Kyle Vaccarella,SR,LS,
