Player,Class,Pos,Summary
Maalik Murphy,SR,QB,"254 Cmp, 421 Att, 2933 Yds, 26 TD"
Henry Belvin IV,SR,QB,"26 Cmp, 45 Att, 243 Yds, 2 TD"
Grayson Loftis,JR,QB,
Cole Kennon,SR,QB,
Rent Montie,SR,QB,
Donald Tomlin,JR,QB,
Jaquez Moore,SR,RB,"32 Att, 86 Yds, 2.7 Avg"
Star Thomas,SR,RB,"213 Att, 871 Yds, 4.1 Avg"
Peyton Jones,JR,RB,"82 Att, 317 Yds, 3.9 Avg"
Quran Boyd,JR,RB,"2 Att, 0 Yds, 0.0 Avg"
Al Wooten II,SR,RB,"2 Att, 1 Yds, 0.5 Avg"
Marquise Collins,JR,RB,
Cole Denson,SO,RB,
Sean Brown,JR,WR,"41 Rec, 445 Yds, 10.9 Avg"
Eli Pancol,SR,WR,"60 Rec, 798 Yds, 13.3 Avg"
Jordan Moore,SR,WR,"55 Rec, 861 Yds, 15.7 Avg"
Shamir Hagans,SR,WR,"47 Rec, 413 Yds, 8.8 Avg"
Javon Harvey,SR,WR,"11 Rec, 101 Yds, 9.2 Avg"
Jontavis Robertson,SR,WR,"8 Rec, 53 Yds, 6.6 Avg"
Chase Tyler,SO,WR,"1 Rec, 1 Yds, 1.0 Avg"
James Hopson II,SR,WR,
Spencer Jones,JR,WR,
Nick Lampert,SR,WR,
Paxon Kettering,SO,WR,
Charlie King,SO,WR,
Beau Lilly III,JR,WR,
Jayden Moore,SO,WR,
Akiva Mosse,SO,WR,
Nicky Dalmolin,SR,TE,"11 Rec, 167 Yds, 15.2 Avg"
Jake Taylor,SR,TE,"11 Rec, 74 Yds, 6.7 Avg"
Jeremiah Hasley,SR,TE,"3 Rec, 11 Yds, 3.7 Avg"
Vance Bolyard,JR,TE,
Brett Elliott,SO,TE,
Gemyel Allen,SO,OL,
Michael Barr,SR,OL,
Tony Boggs,JR,OL,
Matt Craycraft,SR,OL,
Caleb Dorris,JR,OL,
Bruno Fina,SR,OL,
Caleb Krings,SR,OL,
Brian Parker II,SR,OL,
Justin Pickett,SR,OL,
James Pogorelc,SR,OL,
Jack Purcell,SR,OL,
Micah Sahakian,SR,OL,
Eric Schon,SR,OL,
Bradley Smith,SO,OL,
Zachary Franks,SR,OL,
Jake Macce,SO,OL,
Reagan McCranie,JR,OL,
Jack Small,SO,OL,
Ryan Degyansky,JR,K,
Todd Pelino,SR,K,
Cosme Salas,SO,K,
Graham Gotlieb,SR,K,
Cameron Bergeron,SR,LB,
Derrick Brown Jr.,SO,LB,
Tre Freeman,SR,LB,
Alex Howard,SR,LB,
Kendall Johnson,JR,LB,
Luke Mergott,JR,LB,
Nick Morris Jr.,SR,LB,
Ozzie Nicholas,SR,LB,
Montreze Smith,SO,LB,
Carter Wyatt,SR,LB,
Clayton Burton,SR,LB,
Memorable Factor,SR,LB,
Kade Reynoldson,SO,P,
Ryan Leavy,SR,P,
Jared Wheatley,SR,P,
Desmond Aladuge,JR,DT,
David Anderson,JR,DT,
Dawson Andrew,SR,S,
Vincent Anthony Jr.,SR,DE,
Travis Bates,SR,S,
Landan Callahan,SO,CB,
Kendy Charles,SR,DT,
Kyren Condoll,SO,CB,
Curtis Cooper,SR,LS,
Tre'Shon Devones,SR,CB,
Diassa Diakite,SR,CB,
Placide Djungu-Sungu,SR,S,
Casey Donahue,SR,LS,
Vontae Floyd,SO,CB,
Will Goldbgerg,SR,S,
Leon Griffin III,JR,S,
Aaron Hall,SR,DT,
Moussa Kane,JR,CB,
Terry Moore,SR,S,
Kevin O'Connor,JR,DE,
Joshua Pickett,SR,CB,
Tyshon Reed,SO,DE,
Michael Reese,SR,DE,
Khari Reid,SO,CB,
Chandler Rivers,SR,CB,
Kimari Robinson,JR,CB,
Christian Rorie,SR,DT,
Will Seiler,SR,DT,
Terry Simmons Jr.,JR,DT,
Kobe Smith,SO,DE,
Ryan Smith,SR,DE,
Jaylen Stinson,SR,S,
DaShawn Stone,JR,S,
Preston Watson,SO,DT,
Wesley Williams,SR,DE,
George Wright,SR,S,
Jaylen Carl,SO,DE,
Ryan Daly,SO,DT,
Zach Jackson,SO,CB,
Kenzy Paul,SR,S,
Jack Ronilo,JR,LS,
Semaj Turner,JR,DE,
Jack Yates,SR,LS,
