Player,Class,Pos,Summary
Katin Houser,JR,QB,"149 Cmp, 245 Att, 2006 Yds, 18 TD"
Jake Garcia,SR,QB,"109 Cmp, 181 Att, 1426 Yds, 8 TD"
Raheim Jeter,SO,QB,
John David Black,SO,QB,
Bryson Harrison,SO,QB,
Rahjai Harris,SR,RB,"206 Att, 1166 Yds, 5.7 Avg"
London Montgomery,SO,RB,"71 Att, 359 Yds, 5.1 Avg"
Marlon Gunn Jr.,SR,RB,"61 Att, 224 Yds, 3.7 Avg"
Javious Bond,JR,RB,"14 Att, 92 Yds, 6.6 Avg"
TJ Engleman Jr.,SO,RB,
Michael Beatty,SO,RB,
Damari Gantt,SO,RB,
Jah'Cire Jones,SO,RB,
Anthony Smith,SR,WR,"41 Rec, 799 Yds, 19.5 Avg"
Winston Wright,SR,WR,"54 Rec, 556 Yds, 10.3 Avg"
Jhari Patterson,SR,WR,"33 Rec, 281 Yds, 8.5 Avg"
Yannick Smith,SO,WR,"25 Rec, 434 Yds, 17.4 Avg"
Brock Spalding,JR,WR,"5 Rec, 71 Yds, 14.2 Avg"
Chase Sowell,JR,WR,"34 Rec, 678 Yds, 19.9 Avg"
Kelan Robinson,SR,WR,"4 Rec, 33 Yds, 8.3 Avg"
Kerry King,SR,WR,"1 Rec, 20 Yds, 20.0 Avg"
Melvin Jacobs,SR,WR,
Malik Leverett,JR,WR,
Jyron Waiters,SO,WR,
Trenton Cloud,SO,WR,
Blue Coleman,JR,WR,
Jason Dickerson,SO,WR,
Ty Johnson,SO,WR,
Dillon Lorick,SO,WR,
Josh Murphy,SO,WR,
Ryan Stephens,JR,WR,
McCallum Wright,JR,WR,
Casey Kelly,SR,TE,"16 Rec, 128 Yds, 8.0 Avg"
Tyler Savage,SR,TE,"14 Rec, 193 Yds, 13.8 Avg"
Desirrio Riles,JR,TE,"8 Rec, 83 Yds, 10.4 Avg"
Jayvontay Conner,SO,TE,"1 Rec, 2 Yds, 2.0 Avg"
Mason Brown,JR,TE,
Gage Reale,JR,TE,
Nick Slogik,SO,TE,
Amarie Archer,SR,OL,
Panda Askew,SR,OL,
Darius Bell,SR,OL,
Kameron Durant,JR,OL,
Hampton Ergle,SR,OL,
Dustyn Hall,SR,OL,
Karson Jones,JR,OL,
Jimarion McCrimon,JR,OL,
Parker Moorer,SR,OL,
Emmanuel Poku,JR,OL,
Jayson Tarpeh,SR,OL,
Bryce Weaver,JR,OL,
Zion Wilson,SR,OL,
Zack Boehly,SO,OL,
William Coats,JR,OL,
Jake Crocker,JR,OL,
Cohen Ezzell,SO,OL,
Trey Hardison,SR,OL,
Marleo Neolien,JR,OL,
Sam Riddy Jr.,SO,OL,
Jacob Sacra,JR,OL,
Kenny Walz,SO,OL,
Andrew Conrad,SR,K,
Noah Perez,SR,K,
Everett Scott,SO,K,
Britt Glover,SO,K,
Preston Carr,JR,DL,
Samuel Dankah,SR,DL,
Kieren Davis,JR,DL,
D'Anta Johnson,SR,DL,
J.D. Lampley,SR,DL,
Jaden McKenzie,SR,DL,
CJ Mims,JR,DL,
Elijah Morris,SR,DL,
Jasiyah Robinson,SR,DL,
Chad Stephens,SR,DL,
Suirad Ware,SR,DL,
Logan Wright,JR,DL,
Torin Brazell,SO,DL,
Ajani Farmer,JR,DL,
Demoris Jenkins,JR,DL,
Jacoby Martin,SO,DL,
Miles Parker,SO,DL,
Javon Williams,SO,DL,
Jackson Barker,JR,LB,
Zakye Barker,JR,LB,
Ryheem Craig,SR,LB,
Julien Davis,JR,LB,
Michael Edwards III,SR,LB,
Luke Holmes,SO,LB,
Noah Holmes,SR,LB,
DJ Johnson Jr.,SO,LB,
Shane Perry,SR,LB,
Greg Turner,SO,LB,
Dameon Wilson,SR,LB,
Jayden Olden,SO,LB,
Reagan Printy,FR,LB,
Tate Smith,SO,LB,
Hunt Tatum,FR,LB,
Shaikh Thompson,SO,LB,
Josh Benton,JR,DB,
Tymir Brown,SR,DB,
Isaiah Brown-Murray,JR,DB,
Ayden Duncanson,SO,DB,
Eric Fletcher,SO,DB,
Gavin Gibson,SR,DB,
No'Tavien Green,JR,DB,
DeMarius Hines,SO,DB,
Jordan Huff,SR,DB,
Keyshawn Jackson,SO,DB,
Devon King,SR,DB,
Kamaurri McKinley,JR,DB,
Kingston McKinstry,SR,DB,
Kevon Merrell,SO,DB,
Alex Moye,SO,DB,
Dontavius Nash,SR,DB,
Shavon Revel,SR,DB,
Ja'Marley Riddle,SO,DB,
Omar Rogers,SR,DB,
Andrew Wilson-Lamp,SR,DB,
Derick Brazil,SO,DB,
Javion Clark,JR,DB,
Adam Cole,JR,DB,
Daylyn Diston,JR,DB,
Alex Koulovatos,FR,DB,
Jurnee Lattimore,SO,DB,
O'Marion Lewsi,SO,DB,
Timothy Patterson,JR,DB,
Luke Larsen,SR,P,
Tomas O'Halloran,SO,P,
Ethan Stumpf,SO,P,
Alex Harper,SR,LS,
Jayson Tarpah,,,
Tripp Smith,JR,LS,
Cole Walker,SO,LS,
