Player,Class,Pos,Summary
Cole Snyder,SR,QB,"240 Cmp, 402 Att, 2684 Yds, 15 TD"
Jermiah Salem,SR,QB,"8 Cmp, 11 Att, 126 Yds, 1 TD"
Drew Viotto,JR,QB,
Jackson Holt,SR,QB,
Jace Stuckey,SO,QB,
Delbert Mimms,SR,RB,"184 Att, 805 Yds, 4.4 Avg"
Elijah Jackson-Anderson,SR,RB,"54 Att, 218 Yds, 4.0 Avg"
Joey Mattord,JR,RB,"29 Att, 118 Yds, 4.1 Avg"
Deion Brown,JR,RB,"25 Att, 114 Yds, 4.6 Avg"
Dontae McMillan,SR,RB,"23 Att, 87 Yds, 3.8 Avg"
Jayvin Norman,JR,RB,"4 Att, 8 Yds, 2.0 Avg"
JT Bronaugh,SO,RB,
Terry Lockett Jr.,SR,WR,"46 Rec, 660 Yds, 14.3 Avg"
Oran Singleton,SR,WR,"64 Rec, 639 Yds, 10.0 Avg"
Markus Allen,SR,WR,"43 Rec, 651 Yds, 15.1 Avg"
Zyell Griffin,SR,WR,"6 Rec, 151 Yds, 25.2 Avg"
Quinn Fracassi,SR,WR,"3 Rec, 9 Yds, 3.0 Avg"
JB Mitchell III,SR,WR,"3 Rec, 37 Yds, 12.3 Avg"
Nick Devereaux,SR,WR,"1 Rec, 7 Yds, 7.0 Avg"
Adam Rammouni,SR,WR,"1 Rec, 5 Yds, 5.0 Avg"
Isaac Smith,SR,WR,"1 Rec, 7 Yds, 7.0 Avg"
Jamarien Wheeler,SR,WR,"1 Rec, 4 Yds, 4.0 Avg"
Makhail Wood,JR,WR,
Antonio Floyd,SO,WR,
Tyree Lockett,SR,WR,
Owen McGraw,JR,WR,
Porter Rooks,SR,WR,
Dalin Wilkins,SO,WR,
CJ Wilson,SO,WR,
Max Reese,SR,TE,"27 Rec, 232 Yds, 8.6 Avg"
Jere Getzinger Jr.,SR,TE,"13 Rec, 91 Yds, 7.0 Avg"
Blake Daniels,SR,TE,"1 Rec, 0 Yds, 0.0 Avg"
Gabe Hoffmann,JR,TE,
Hans Lillis,SR,TE,
Caden Vanderbush,SO,TE,
Joshua Anderson,SR,OL,
Dodji Dahoue,SR,OL,
Nicholas Gallegos,SR,OL,
Mack Indestad,SR,OL,
Jeremiah Jackson,SR,OL,
Broderick Jordan,SR,OL,
Carson Lee,SR,OL,
Chris Mayo,SR,OL,
Mickey Rewolinski,SR,OL,
Terrance Saunders,JR,OL,
Everett Small,SO,OL,
Dennis Strey,SR,OL,
Daniel Warnsman,SR,OL,
Tommy Dickinson,SR,OL,
Owen Snively,SR,OL,
Andrew Steger,SO,OL,
Jack Storey,JR,OL,
Nicholas Sutherby,SO,OL,
Jesus Gomez,SR,K,
Kenyon Bowyer,SR,K,
Hudson Fiene,JR,K,
Rudy Kessinger,SO,K,
Messiah Blair,JR,DL,
Luke Fletcher,JR,DL,
Jez Janvier,SR,DL,
Trey Laing,SR,DL,
Tyrell Martin,SR,DL,
Sterling Miles,SR,DL,
Jason Morbitzer,SO,DL,
Noah Patterson,SO,DL,
Peyton Price,SR,DL,
Dylan Shelton,SR,DL,
Melvin Swindle II,SR,DL,
Malik Tullis,JR,DL,
Joseph Zelinsky,SR,DL,
Maliek Bogard,SR,DL,
Gary Dorsey,JR,DL,
Reggie Gardner,SO,DL,
Javon Thomas,SO,DL,
Ali Abdul-Barr,SR,LB,
James Djonkam,SR,LB,
Terrelle Elmore,SO,LB,
Zion Fonua,SR,LB,
Justin Jefferson,SR,LB,
Quinn Kelly,JR,LB,
JT Killen,SR,LB,
Cole McElvany,SR,LB,
Zach Mowchan,SR,LB,
Luke Murphy,SR,LB,
Marvell Eggleston,SO,LB,
Bryce Eliuk,JR,LB,
Colin Main,SO,LB,
Chase Arrington,JR,DB,
Soloman Bell,SR,DB,
David Carter Jr.,SR,DB,
Tyrelle Deener,SR,DB,
Jaheim Jenkins,SR,DB,
Bryce Llewellyn,SR,DB,
Barry Manning,SR,DB,
Dramarian McNulty,SR,DB,
Jaylyn Monds,SO,DB,
Jaivian Norman,JR,DB,
Kendric Nowling,SR,DB,
Jaden Price,JR,DB,
Quentavius Scandrett,SR,DB,
Joshua Scott,SR,DB,
Jordan Toney,SO,DB,
Jesse Vasquez,SR,DB,
Daiquan White,JR,DB,
Emil Burton,SO,DB,
Dylan Camp,SR,DB,
Caleb Dobbs,JR,DB,
Ray Hester,SO,DB,
Jay King,SO,DB,
Eli Lovett,SO,DB,
Jason Marshall,SR,DB,
Mitchell Tomasek,SR,P,
Daniel Hull,SO,P,
Ryan Kingston,SR,P,
Jefferson Adam,SR,DE,
Blake Bustard,SR,OT,
Mitchell Dietzel,JR,LS,
Carter Evans,SR,DE,
Donovan Green,SR,DT,
