Player,Class,Pos,Summary
DJ Lagway,SO,QB,"115 Cmp, 192 Att, 1915 Yds, 12 TD"
Graham Mertz,SR,QB,"72 Cmp, 94 Att, 791 Yds, 6 TD"
Aidan Warner,JR,QB,"21 Cmp, 50 Att, 228 Yds, 0 TD"
Paul Kessler,SO,QB,
Clay Millen,SR,QB,
Aaron Williams,SO,QB,
Lawrence Wright IV,SO,QB,
Jadan Baugh,SO,RB,"133 Att, 673 Yds, 5.1 Avg"
Montrell Johnson,SR,RB,"100 Att, 593 Yds, 5.9 Avg"
Jakobi Jackson,JR,RB,"95 Att, 509 Yds, 5.4 Avg"
Treyaun Webb,JR,RB,"21 Att, 93 Yds, 4.4 Avg"
KD Daniels,SO,RB,"11 Att, 77 Yds, 7.0 Avg"
Anthony Rubio,JR,RB,"6 Att, 32 Yds, 5.3 Avg"
Cameron Carroll,SR,RB,"3 Att, 1 Yds, 0.3 Avg"
Kelvin Jimenez,SO,RB,
Tank Hawkins,SO,WR,"10 Rec, 100 Yds, 10.0 Avg"
Eugene Wilson III,JR,WR,"19 Rec, 266 Yds, 14.0 Avg"
Marcus Burke,SR,WR,"7 Rec, 69 Yds, 9.9 Avg"
Chimere Dike,SR,WR,"42 Rec, 783 Yds, 18.6 Avg"
Elijhah Badger,SR,WR,"39 Rec, 806 Yds, 20.7 Avg"
Aidan Mizell,JR,WR,"17 Rec, 202 Yds, 11.9 Avg"
TJ Abrams,SO,WR,"2 Rec, 34 Yds, 17.0 Avg"
Ja-Quavion Fraziars,SR,WR,"1 Rec, 14 Yds, 14.0 Avg"
Kahleil Jackson,SR,WR,"1 Rec, 13 Yds, 13.0 Avg"
Taylor Spierto,SR,WR,"1 Rec, 20 Yds, 20.0 Avg"
Jackson Wade,JR,WR,"1 Rec, 10 Yds, 10.0 Avg"
DeBraun Hampton,SO,WR,
Andy Jean,JR,WR,
David Schmidt,SO,WR,
Zak Sedaros,SR,WR,
Jaden Edgecombe,JR,WR,
Alex Gonzalez,SR,WR,
Brian Green Jr.,JR,WR,
Arlis Boardingham,SR,TE,"18 Rec, 128 Yds, 7.1 Avg"
Hayden Hansen,SR,TE,"15 Rec, 207 Yds, 13.8 Avg"
Tony Livingston,JR,TE,"11 Rec, 109 Yds, 9.9 Avg"
Scott Isacks III,SR,TE,
Amir Jackson,SO,TE,
Gavin Hill,JR,TE,
Dawson Johnson,SO,TE,
Caleb Rillos,SR,TE,
Keon Zipperer,SR,TE,
Austin Barber,SR,OL,
Hayden Clem,SR,OL,
Brandon Crenshaw-Dickson,SR,OL,
Mark Faircloth,SO,OL,
Damieon George Jr.,SR,OL,
Knijeah Harris,JR,OL,
Caden Jones,JR,OL,
Roderick Kearney,JR,OL,
Bryce Lovett,JR,OL,
Devon Manuel,JR,OL,
Mark Pitts,SR,OL,
Noel Portnjagin,SO,OL,
Jake Slaughter,SR,OL,
Kamryn Waites,SR,OL,
Fletcher Westphal,SO,OL,
Christian Williams,SR,OL,
Marcus Mascoll,SO,OL,
Bryan Rosenberg,JR,OL,
Chase Stevens,SO,OL,
Enoch Wangoy,SO,OL,
Mike Williams,SO,OL,
Jason Zandamela,SO,OL,
Trey Smack,SR,K,
Richard Abood II,SR,K,
Brandon Rabasco,SO,K,
Hunter Smith,SR,K,
Tarvorise Brown,SO,DL,
Tyreak Sapp,SR,DL,
Sebastian Scott,JR,DL,
Joey Slackman,SR,DL,
Brien Taylor Jr.,SR,DL,
Nicolas Flynn,SR,DL,
Connor Homa,JR,DL,
Jamari Lyons,SR,DL,
Tyreik Norwood,SR,DL,
Aaron Chiles,SO,LB,
Kelby Collins,JR,LB,
Myles Graham,SO,LB,
Grayson Howard,SO,LB,
Shemar James,SR,LB,
R.J Moten,SR,LB,
Justin Pelic,SR,LB,
Jaden Robinson,JR,LB,
T.J. Searcy,JR,LB,
Derek Wingo,SR,LB,
Matthew Kade,SO,LB,
Deuce Spurlock,SR,LB,
Jake Xeller,SO,LB,
Alfonzo Allen,SR,DB,
Sharif Denson,JR,DB,
Jeremy Crawshaw,SR,P,
Nick Inglis,SO,P,
Desmond Watson,SR,DT,
Caleb Banks,SR,DT,
Michai Boireau,SO,DT,
Justus Boone,SR,DE,
Trikweze Bridges,SR,CB,
Titus Bullard,SO,DE,
Gannon Burt,JR,LS,
Bryce Capers,SR,DE,
Jordan Castell,JR,S,
Josiah Davis,SO,S,
DJ Douglas,SR,S,
Teddy Foster,SO,CB,
Aaron Gates,JR,CB,
Jameer Grimsley,SO,CB,
George Gumbs,SR,DE,
Quincy Ivory,SR,DE,
Camron Jackson,SR,DT,
Ja'Keem Jackson,JR,CB,
Kamran James,JR,DE,
Dijon Johnson,JR,CB,
Jason Marshall Jr.,SR,CB,
Cormani McClain,JR,CB,
LJ McCray,SO,DE,
Devin Moore,SR,CB,
Jack Pyburn,SR,DE,
D'Antre Robinson,SO,DT,
Gregory Smith III,SO,S,
Layne Swafford,JR,DE,
Bryce Thornton,JR,S,
Javion Toombs,SR,S,
Asa Turner,SR,S,
Rocco Underwood,SR,LS,
Ja'Markis Weston,SR,DE,
Ethan Wilson,SR,S,
Ahman Covington,FR,S,
Charles Emanuel,SO,DE,
Cahron Rackley,SR,S,
Brayden Slade,JR,S,
