Player,Class,Pos,Summary
Cam Fancher,SR,QB,"126 Cmp, 212 Att, 1528 Yds, 6 TD"
Kasen Weisman,SO,QB,"39 Cmp, 73 Att, 416 Yds, 2 TD"
Tyriq Starks,SR,QB,"39 Cmp, 63 Att, 550 Yds, 6 TD"
Carson Cruver,SO,QB,"1 Cmp, 1 Att, 9 Yds, 0 TD"
Michael Valentino,SO,QB,
Jayden George,SR,QB,
CJ Campbell,JR,RB,"165 Att, 844 Yds, 5.1 Avg"
Zuberi Mobley,SR,RB,"92 Att, 487 Yds, 5.3 Avg"
Gemari Sands,SO,RB,"31 Att, 117 Yds, 3.8 Avg"
Xavier Terrell,SO,RB,"14 Att, 261 Yds, 18.6 Avg"
Kaden Shields-Dutton,SO,RB,"12 Att, 56 Yds, 4.7 Avg"
"Tremonte Underwood, Jr.",SO,RB,"2 Att, 16 Yds, 8.0 Avg"
Josh Harriott,JR,RB,
Keyvon Walker,JR,RB,
Omari Hayes,JR,WR,"39 Rec, 590 Yds, 15.1 Avg"
Marlyn Johnson,SR,WR,"17 Rec, 169 Yds, 9.9 Avg"
Jabari Smith Jr.,SO,WR,"17 Rec, 296 Yds, 17.4 Avg"
Milan Tucker,SR,WR,"13 Rec, 145 Yds, 11.2 Avg"
George Johnson,SR,WR,"10 Rec, 85 Yds, 8.5 Avg"
Caleb Coombs,SR,WR,"8 Rec, 123 Yds, 15.4 Avg"
"Leon Washington, Jr.",SO,WR,"7 Rec, 54 Yds, 7.7 Avg"
Dom Henry,JR,WR,"6 Rec, 80 Yds, 13.3 Avg"
Jayshon Platt,SR,WR,"4 Rec, 38 Yds, 9.5 Avg"
Joseph Young,SR,WR,"2 Rec, 41 Yds, 20.5 Avg"
Jett Coolman,SR,WR,"1 Rec, 9 Yds, 9.0 Avg"
Devarius Mitchell,SR,WR,
Nicholas Venezia,SO,WR,
EJ Horton,SR,WR,
Wyatt Sullivan,JR,TE,"13 Rec, 155 Yds, 11.9 Avg"
Kahlil Brantley,SR,TE,"7 Rec, 79 Yds, 11.3 Avg"
Zeke Moore,JR,TE,"5 Rec, 10 Yds, 2.0 Avg"
Elijah Brown,JR,TE,"1 Rec, 22 Yds, 22.0 Avg"
Kam Bell,JR,TE,
Liam Besecker,SR,TE,
Aliam Appler,SO,TE,
Alex Atcavage,SR,OL,
Jordan Church,SO,OL,
Braden Cunningham,SO,OL,
Ovie Dubre,SO,OL,
Scarlee Jean,SR,OL,
Woody Jean,SR,OL,
Okino King,JR,OL,
Malcolm Lamar,SR,OL,
Andre Lamas,SR,OL,
Federico Maranges,SR,OL,
Ja'kavion Nonar,JR,OL,
Brayden Ramey,JR,OL,
Daughtry Richardson,JR,OL,
Keon Rohe,SO,OL,
Mauricio Hinds,SO,OL,
Dylan Lloyd,SO,OL,
Maddox Marchbank,SO,OL,
Robert Medici,SO,OL,
Ethan Proffitt,SO,OL,
Chrisdasson Saint-Jean,SO,OL,
Antonio Solano,SO,OL,
Michael Unis,JR,OL,
Carter Davis,SR,K,
Morgan Suarez,SR,K,
Robert Hammond III,JR,K,
Prince Boyd Jr.,SR,DL,
Marlon Bradley,SR,DL,
Eric Brantley Jr,SO,DL,
Devonta Davis,SR,DL,
Chisom Ifeanyi,SR,DL,
Bryce Langston,SR,DL,
Gavench Marcelin,SO,DL,
Jacob Merrifield,SR,DL,
Kiemar Richardson,SR,DL,
Jaden Wheeler,SR,DL,
Gabriel Birnbaum,SO,DL,
Christian Paraison,SR,DL,
Thomas Sledge,SO,DL,
Richard Thomas Jr.,JR,DL,
Loren Ward,SO,DL,
Jackson Ambush,SR,LB,
Zyere Horton,JR,LB,
Jarrett Jerrels,SR,LB,
Jarvis Johnson,SO,LB,
Char'quez Lee,SO,LB,
Makai Sawtelle,SR,LB,
Desmond Tisdol,SR,LB,
Eddie Williams,SR,LB,
Jadyn Church,SO,LB,
Zach Marino,JR,LB,
Tito Nunez,SO,LB,
Michal Antoine,SR,DB,
Kahzir Brown,SR,DB,
Phillip Dunnam,SR,DB,
Daedae Hill,SR,DB,
Wendol Philord,SR,DB,
Logic Hudgens,SR,DB,
Courtney Lamas-Lanier,SR,DB,
Dai'Sean Stevens,SR,DB,
Logan Lupo,SR,P,
Nick Salmon,SR,P,
Smith Antonio,SO,S,
Michael Cates,SR,S,
Wilky Denaud,SO,DE,
Cameron Goggins,SO,CB,
CJ Heard,SO,S,
Lawrence Johnson,SO,CB,
Chris Jones,SR,DE,
Nicholas Marino,SR,LS,
August Salvati,SR,DE,
Fabian Scott,JR,S,
Chris Tooley III,JR,CB,
Jayden Williams,SR,CB,
Mike Wright III,SO,S,
Kyle Boylston,SO,S,
Curtis Janvier,SO,S,
Alexander Kocher,JR,DE,
Jaheim Miller,SO,CB,
Justin Mucerino,SO,LS,
Luke Whiting,SO,LS,
