Player,Class,Pos,Summary
Keyone Jenkins,JR,QB,"188 Cmp, 304 Att, 2557 Yds, 22 TD"
Amari Jones,JR,QB,"7 Cmp, 12 Att, 101 Yds, 1 TD"
Chayden Peery,SR,QB,"7 Cmp, 12 Att, 58 Yds, 1 TD"
Haden Carlson,SR,QB,"4 Cmp, 6 Att, 37 Yds, 0 TD"
Clayton Dees,SO,QB,
Zachary Waters,JR,QB,
Kejon Owens,SR,RB,"92 Att, 392 Yds, 4.3 Avg"
Lexington Joseph,SR,RB,"82 Att, 308 Yds, 3.8 Avg"
Shomari Lawrence,SR,RB,"47 Att, 177 Yds, 3.8 Avg"
Devonte Lyons,SO,RB,"43 Att, 288 Yds, 6.7 Avg"
Shaborne Demps,JR,RB,"7 Att, 26 Yds, 3.7 Avg"
Jordan Clemons,JR,RB,
Jose Corbo,JR,RB,
T.J. Snowden,SR,RB,
Nate Henry,JR,RB,
C'Quan Jnopierre,SR,WR,"10 Rec, 71 Yds, 7.1 Avg"
Dean Patterson,SR,WR,"50 Rec, 685 Yds, 13.7 Avg"
Ross Fournet,SR,WR,"7 Rec, 80 Yds, 11.4 Avg"
Nazeviah Burris,SR,WR,"22 Rec, 209 Yds, 9.5 Avg"
Eric Rivers,SR,WR,"62 Rec, 1172 Yds, 18.9 Avg"
Luby Maurice Jr.,JR,WR,
JuJu Lewis,JR,WR,"5 Rec, 93 Yds, 18.6 Avg"
Desna Washington,SR,WR,"4 Rec, 51 Yds, 12.8 Avg"
Maguire Anderson,SO,WR,
Jett Law,JR,WR,
Ja'Coby Matthews,SR,WR,
Kyle McNeal,JR,WR,
Eric Nelson,SO,WR,
Dylan Redmon,JR,WR,
Andre Brown,SO,WR,
Brady Hall,SO,WR,
Nicholas Smith Jr.,SO,WR,
Josiah Miamen,SR,TE,"10 Rec, 120 Yds, 12.0 Avg"
Antonio Ferguson,SO,TE,"7 Rec, 90 Yds, 12.9 Avg"
Rocky Beers,SR,TE,"4 Rec, 18 Yds, 4.5 Avg"
Robert Rossi,SO,TE,
Chad Staley,SR,TE,
Braiden Staten,JR,TE,
Bo Blanchard,JR,OL,
John Bock II,SR,OL,
Jaheim Buchanon,JR,OL,
Jaleel Davis,JR,OL,
Naeer Jackson,JR,OL,
Wyatt Lawson,SR,OL,
JaDarious Lee,SR,OL,
Daniel Michel,JR,OL,
Mykeal Rabess,JR,OL,
Ashton Rivera,JR,OL,
Knajee Saffold,SO,OL,
Jackson Schultz,SR,OL,
Ben Shellenback,SR,OL,
Ming Tjon,SR,OL,
Denzel Dorn,JR,OL,
Noah Fernandez,JR,OL,
Akeem Neal,SO,OL,
Tyler Rhode,SR,OL,
Jon Rodriguez,SO,OL,
Robert Czeremcha,SO,K,
Chase Gabriel,SR,K,
Daton Montiel,SR,K,
Alejandro Prado,SR,K,
Matthew Enriquez,SR,K,
Germaine Carter,SO,DL,
Giovanni Davis,SR,DL,
Cole Gustafson,SR,DL,
Quaylen Hill,SR,DL,
Claude Larkins,JR,DL,
Clinton Mahoni,SR,DL,
Jeramy Passmore,SR,DL,
Steven Shannon,JR,DL,
Jamarrion Solomon,JR,DL,
Marquez Tatum,SR,DL,
Eddie Walls III,JR,DL,
Robert Williams,SO,DL,
Antoine Cobb,JR,DL,
Kyrie Samuel,JR,DL,
Nick Watson,JR,DL,
Elijah Anderson-Taylor,SR,LB,
Travion Barnes,SR,LB,
Toddrick Brewton,JR,LB,
Percy Courtney Jr.,JR,LB,
Keegan Davis,SR,LB,
Dwight Nunoo,SR,LB,
Reggie Peterson,SR,LB,
Josiah Taylor,SO,LB,
Atavious Weaver,JR,LB,
Dylan Calero,SO,LB,
Champ Jenkins,JR,LB,
Richard Nwaukoni,JR,LB,
Orlando Syph-Timmons,JR,LB,
J.T. Anderson,SR,DB,
Brian Blades,SR,DB,
CJ Christian,SR,DB,
Mister Clark,JR,DB,
Reech Daniel,SR,DB,
Victor Evans III,JR,DB,
Jojo Evans,SR,DB,
Sadonnie Gay,SO,DB,
Landon Hale,JR,DB,
Jamari Holliman,JR,DB,
Ashton Levells,SR,DB,
Hezekiah Masses,SR,DB,
Antonio Patterson,JR,DB,
Jamal Potts,SR,DB,
Bobby Salla,SR,DB,
Shamir Sterlin,SO,DB,
Preston Thompson,JR,DB,
Jaden Williams,SO,DB,
Jacob Camacho,SO,DB,
Raheim Sexil,SO,DB,
Rodney Williams,JR,DB,
Jordan Doelling,SR,P,
Travis Burke,SR,OT,
Jackson Lee,SR,LS,
Kinnick Manley,JR,LS,
