Player,Class,Pos,Summary
D.J. Uiagalelei,SR,QB,"84 Cmp, 156 Att, 1065 Yds, 4 TD"
Brock Glenn,JR,QB,"51 Cmp, 114 Att, 597 Yds, 4 TD"
Luke Kromenhoek,SO,QB,"44 Cmp, 84 Att, 502 Yds, 3 TD"
Trever Jackson,SO,QB,
Michael Grant,SO,QB,
Dylan McNamara,JR,QB,
Lawrance Toafili,SR,RB,"109 Att, 456 Yds, 4.2 Avg"
Kam Davis,SO,RB,"52 Att, 173 Yds, 3.3 Avg"
Roydell Williams,SR,RB,"26 Att, 53 Yds, 2.0 Avg"
Samuel Singleton Jr.,SO,RB,"21 Att, 93 Yds, 4.4 Avg"
Caziah Holmes,SR,RB,"15 Att, 84 Yds, 5.6 Avg"
Jaylin Lucas,SR,RB,"3 Rec, 39 Yds, 13.0 Avg"
Micahi Danzy,SO,RB,"2 Att, 5 Yds, 2.5 Avg"
Jeremiah Johnson,SO,RB,
Zay Parks,SO,RB,
Ja'khi Douglas,SR,WR,"32 Rec, 519 Yds, 16.2 Avg"
Malik Benson,SR,WR,"25 Rec, 311 Yds, 12.4 Avg"
Lawayne McCoy,SO,WR,"6 Rec, 52 Yds, 8.7 Avg"
Hykeem Williams,JR,WR,"16 Rec, 187 Yds, 11.7 Avg"
Kentron Poitier,SR,WR,"10 Rec, 155 Yds, 15.5 Avg"
Jalen Brown,SO,WR,"8 Rec, 75 Yds, 9.4 Avg"
Darion Williamson,SR,WR,"5 Rec, 71 Yds, 14.2 Avg"
BJ Gibson,SO,WR,"2 Rec, 14 Yds, 7.0 Avg"
Elijah Moore,SO,WR,"2 Rec, 17 Yds, 8.5 Avg"
Deuce Spann,SR,WR,"1 Rec, 5 Yds, 5.0 Avg"
Carson Pielock,JR,WR,
Willy Suarez,SO,WR,
Camden Frier,SO,WR,
Destyn Hill,JR,WR,
Xavier Johnson,SR,WR,
Zamari McKenley,FR,WR,
Kyle Morlock,SR,TE,"13 Rec, 149 Yds, 11.5 Avg"
Landen Thomas,SO,TE,"14 Rec, 173 Yds, 12.4 Avg"
Brian Courtney,SR,TE,"1 Rec, 3 Yds, 3.0 Avg"
Jerrale Powers,JR,TE,
Jackson West,SR,TE,
Luke Douglas,SO,TE,
Nick Roebas-Bass,SO,TE,
Julian Armella,JR,OL,
Jeremiah Byers,SR,OL,
Jonathan Daniels,SO,OL,
Jaylen Early,JR,OL,
Bryson Estes,SR,OL,
Terrence Ferguson II,SR,OL,
Keiondre Jones,SR,OL,
Richie Leonard,SR,OL,
Ben Ostaszewski,SR,OL,
Andre' Otto,SO,OL,
Jacob Rizy,SR,OL,
Robert Scott Jr.,SR,OL,
Lucas Simmons,SO,OL,
Maurice Smith,SR,OL,
Darius Washington,SR,OL,
Tye Hylton,SO,OL,
Manasse Itete,SO,OL,
Jayden Todd,SO,OL,
LaNard Toney,JR,OL,
Ryan Fitzgerald,SR,K,
Jake Weinberg,SO,K,
Amaree Williams,SO,DL,
Dante Anderson,JR,DL,
Tomiwa Durojaiye,JR,DL,
Joshua Farmer,SR,DL,
Grant Fielder,SO,DL,
Jamorie Flagg,SO,DL,
Lamont Green Jr.,SO,DL,
Aaron Hester,JR,DL,
DD Holmes,SO,DL,
Darrell Jackson,SR,DL,
Marvin Jones Jr.,SR,DL,
Grady Kelly,SR,DL,
Sione Lolohea,SR,DL,
Daniel Lyons,JR,DL,
Malakai Menzer,SR,DL,
Patrick Payton,SR,DL,
Xavier Perkins,SO,DL,
KJ Sampson,SO,DL,
Byron Turner,SR,DL,
D'Nas White,SO,DL,
Jaden Jones,SR,DL,
William Ross,SO,DL,
George Sklavenitis,JR,DL,
Emile Aime,SR,LB,
AJ Cottrill,JR,LB,
Justin Cryer,JR,LB,
Omar Graham Jr.,JR,LB,
DJ Lundy,SR,LB,
Shawn Murphy,JR,LB,
Blake Nichelson,JR,LB,
Cam Riley,SR,LB,
DeMarco Ward,SO,LB,
Ashton Bracewell,SO,LB,
Timir Hickman-Collins,SO,LB,
Gav Holman,SO,LB,
Jayden Parrish,SO,LB,
Brandon Torres,SO,LB,
Ashlynd Barker,JR,DB,
Cai Bates,SO,DB,
Davonte Brown,SR,DB,
Shyheim Brown,SR,DB,
Omarion Cooper,SR,DB,
Fentrell Cypress II,SR,DB,
Donny Hiebert,JR,DB,
Conrad Hussey,JR,DB,
Quindarrius Jones,JR,DB,
Edwin Joseph,SO,DB,
K.J. Kirkland,SO,DB,
Ricky Knight III,SO,DB,
Kevin Knowles II,SR,DB,
Charles Lester III,SO,DB,
Earl Little,JR,DB,
Ja'Bril Rawls,SO,DB,
Azareye'h Thomas,SR,DB,
Christian White,JR,DB,
Jayden Bradford,SO,DB,
Jamari Howard,SO,DB,
Cade Papineau,SO,DB,
Harold Stubbs IV,JR,DB,
Peter Warrick Jr.,SR,DB,
Mac Chiumento,JR,P,
Alex Mastromanno,SR,P,
Mason Arnold,SR,LS,
Peyton Naylor,SO,LS,
Weston Edwards,SO,LS,
