Player,Class,Pos,Summary
Mikey Keene,SR,QB,"277 Cmp, 393 Att, 2892 Yds, 18 TD"
Joshua Wood,JR,QB,"18 Cmp, 28 Att, 195 Yds, 1 TD"
Jayden Mandal,SO,QB,"4 Cmp, 9 Att, 39 Yds, 0 TD"
Joseph Campbell,SR,QB,
Jack Jacobs,SO,QB,
Dashiell Weaver,SO,QB,
Elijah Gilliam,SR,RB,"121 Att, 466 Yds, 3.9 Avg"
Bryson Donelson,SO,RB,"77 Att, 462 Yds, 6.0 Avg"
Malik Sherrod,SR,RB,"60 Att, 196 Yds, 3.3 Avg"
Johnathan Arceneaux,SR,RB,"22 Att, 104 Yds, 4.7 Avg"
Ryan Warkentin,JR,RB,
Charles Greer Jr.,SO,RB,
Brandon Ramirez,SO,RB,
Devon Rivers,SO,RB,
Raylen Sharpe,SR,WR,"51 Rec, 523 Yds, 10.3 Avg"
Mac Dalena,SR,WR,"64 Rec, 1065 Yds, 16.6 Avg"
Nathan Acevedo,JR,WR,"9 Rec, 65 Yds, 7.2 Avg"
Jalen Moss,JR,WR,"48 Rec, 563 Yds, 11.7 Avg"
Jordan Brown,SR,WR,"9 Rec, 77 Yds, 8.6 Avg"
Josiah Freeman,SR,WR,"8 Rec, 95 Yds, 11.9 Avg"
Tim Grear Jr.,SR,WR,"4 Rec, 46 Yds, 11.5 Avg"
Lyndon Ravare,JR,WR,"4 Rec, 22 Yds, 5.5 Avg"
Chedon James,SR,WR,"2 Rec, 41 Yds, 20.5 Avg"
Drew Carlson,SO,WR,
Joe Dalena,SO,WR,
Jake Parnigan,JR,WR,
Antoine Sullivan,SR,WR,
Joshua Johnson,JR,WR,
Jordan Malauâ€™ulu,SO,WR,
Karim McCune II,SR,WR,
Jake Tarwater,SR,TE,"5 Rec, 20 Yds, 4.0 Avg"
Richie Anderson,SO,TE,"18 Rec, 147 Yds, 8.2 Avg"
Kamron Beachem,SR,TE,"9 Rec, 90 Yds, 10.0 Avg"
Jake Boust,SR,TE,"3 Rec, 20 Yds, 6.7 Avg"
Brock Lium,SO,TE,
Jace Nixon,SO,TE,
Ben Baker,SO,OL,
Matai Bell,JR,OL,
Edward Fonua,JR,OL,
Rolan Fullwood,SR,OL,
Ponafatu Kamuta,SR,OL,
Campbell McHarg,SR,OL,
Braylen Nelson,SR,OL,
Toreon Penright,SR,OL,
Julian Polendo,SR,OL,
Jacob Spomer,SR,OL,
Daniel Taumalolo,SR,OL,
Kingsley Ugwu,SR,OL,
Mose Vavao,SR,OL,
Osmar Velez,SR,OL,
Marsel Akins,SO,OL,
Ethan Dasmann,SO,OL,
Michael Eneh,SR,OL,
Marcus Simien,JR,OL,
Dylan Lynch,SR,K,
Connor Tripp,SO,K,
Auckland Asiata,SO,DL,
Kavika Baumgartner,SR,DL,
Ezra Christensen,SR,DL,
Korey Foreman,SR,DL,
Julius Gandy,SR,DL,
Mordecai Hines,SO,DL,
Jacob Holmes,SR,DL,
Jahzon Jacks,JR,DL,
Deijon Laffitte,SO,DL,
Gavriel Lightfoot,SR,DL,
Sione Noa,SR,DL,
Jairus Satele,JR,DL,
Damarrion White,SO,DL,
Isiah Chala Jr.,SO,DL,
Markus Hoffmann,FR,DL,
Tyler Mello,SR,LB,
Zeke Branham,SR,LB,
Phoenix Jackson,SR,LB,
Malachi Langley,SR,LB,
Tuasivi Nomura,SR,LB,
Zane Rix,SR,LB,
Steven Scheidt,SR,LB,
Tim Thomas,JR,LB,
Tytus Khajavi,SO,LB,
Caden Rodgers,JR,LB,
Seth Scheidt,JR,LB,
Logan Studt,SO,LB,
Kosi Agina,SR,DB,
Camryn Bracha,SR,DB,
Jaden Carrillo,SO,DB,
Dean Clark,SR,DB,
Jayden Davis,JR,DB,
Jakari Embry,SR,DB,
Alzillion Hamilton,SR,DB,
Justin Houston,SR,DB,
Justin Johnson,SO,DB,
Cameron Lockridge,SR,DB,
RL Miller,SO,DB,
Loyall Mouzon,SO,DB,
Julian Neal,SR,DB,
RJ Regan,SR,DB,
Augustus Remlinger,SO,DB,
Makei Thompson,SO,DB,
Ryan Wilson,SR,DB,
Ah'Marion Ashley,SO,DB,
Jomarion Briggs,JR,DB,
Charlotin Charles,SR,DB,
Cam Cole,SO,DB,
Gerayas Grimes,SO,DB,
Kiontre Harris,SO,DB,
Tommy Nix,SO,DB,
Jordan Pierro,SO,DB,
Clay Lawrence,SO,P,
Nick Verdugo,JR,P,
Devo Bridges,SR,DE,
Wesley Brown,SR,LS,
Merhauti Xepera,JR,DE,
Michael Munoz,SR,LS,
Charles Remlinger,SR,DE,
