Player,Class,Pos,Summary
Carson Beck,SR,QB,"290 Cmp, 448 Att, 3485 Yds, 28 TD"
Gunner Stockton,JR,QB,"45 Cmp, 64 Att, 440 Yds, 1 TD"
Collin Drake,SR,QB,
Sam Bush,SO,QB,
Colter Ginn,SO,QB,
Ryan Puglisi,SO,QB,
Jaden Rashada,SO,QB,
Nate Frazier,SO,RB,"133 Att, 671 Yds, 5.0 Avg"
Trevor Etienne,SR,RB,"122 Att, 609 Yds, 5.0 Avg"
Branson Robinson,JR,RB,"25 Att, 73 Yds, 2.9 Avg"
Chauncey Bowers,SO,RB,"16 Att, 58 Yds, 3.6 Avg"
Cash Jones,SR,RB,"24 Rec, 275 Yds, 11.5 Avg"
Dwight Phillips Jr.,SO,RB,"6 Att, 33 Yds, 5.5 Avg"
Roderick Robinson II,JR,RB,"4 Att, 3 Yds, 0.8 Avg"
Wade Penn,SO,RB,"3 Att, 15 Yds, 5.0 Avg"
Jacob Hardie,JR,RB,
Gannon Hearst,JR,RB,
Brandon Mathis,JR,RB,
Dillon Bell,SR,WR,"43 Rec, 466 Yds, 10.8 Avg"
Arian Smith,SR,WR,"48 Rec, 817 Yds, 17.0 Avg"
Anthony Evans III,JR,WR,"9 Rec, 88 Yds, 9.8 Avg"
Dominic Lovett,SR,WR,"59 Rec, 607 Yds, 10.3 Avg"
London Humphreys,JR,WR,"15 Rec, 244 Yds, 16.3 Avg"
Colbie Young,SR,WR,"11 Rec, 149 Yds, 13.5 Avg"
Sacovie White,SO,WR,"4 Rec, 38 Yds, 9.5 Avg"
Cole Speer,SR,WR,"3 Rec, 37 Yds, 12.3 Avg"
Nitro Tuggle,SO,WR,"3 Rec, 34 Yds, 11.3 Avg"
Michael Jackson III,SR,WR,"1 Rec, 10 Yds, 10.0 Avg"
Jeremy Bell,SO,WR,
Luke Bennett,JR,WR,
Walter Blanchard,SO,WR,
Will Taylor,SO,WR,
Marek Briley,SO,WR,
Danny Curran,JR,WR,
Matthew Grachen,JR,WR,
Brandon Moody,SR,WR,
Izayah Reeves,SR,WR,
Miles Thornton,JR,WR,
Kavon Townsend,JR,WR,
Lawson Luckie,JR,TE,"24 Rec, 348 Yds, 14.5 Avg"
Oscar Delp,SR,TE,"21 Rec, 248 Yds, 11.8 Avg"
Benjamin Yurosek,SR,TE,"15 Rec, 185 Yds, 12.3 Avg"
Jaden Reddell,SO,TE,"2 Rec, 18 Yds, 9.0 Avg"
Luke Collins,SR,TE,
Colton Heinrich,SO,TE,
Henry Delp,SO,TE,
Patrick Hester,JR,TE,
Cooper Johnson,JR,TE,
David Lalaian,SO,TE,
Jordan White,SO,TE,
Drew Bobo,SO,OL,
Daniel Calhoun,SO,OL,
Nyler Daniels,SO,OL,
Marques Easley,SO,OL,
Dylan Fairchild,SR,OL,
Monroe Freeling,JR,OL,
Earnest Greene,JR,OL,
Bo Hughley,SO,OL,
Jahzare Jackson,SO,OL,
Jamal Meriweather,SO,OL,
Micah Morris,SR,OL,
Henry Peagler,SO,OL,
Tate Ratledge,SR,OL,
Xavier Truss,SR,OL,
Michael Uini,SO,OL,
Jared Wilson,SR,OL,
Marcus Harrison,SO,OL,
Tate Nelson,SO,OL,
Nic Reeves,SO,OL,
Malachi Toliver,SO,OL,
Charlie Ham,SR,K,
Peyton Woodring,JR,K,
Liam Badger,SR,K,
Henry Bates,JR,K,
Warren Brinson,SR,DL,
Jordan Hall,JR,DL,
Tyrion Ingram-Dawkins,SR,DL,
Jamaal Jarrett,JR,DL,
Nasir Johnson,SO,DL,
Joseph Jonah-Ajonye,SO,DL,
Christen Miller,JR,DL,
Nnamdi Ogboko,SO,DL,
Nazir Stackhouse,SR,DL,
Jordan Thomas,SO,DL,
Mykel Williams,SR,DL,
Clinton Barlow,SO,DL,
C.J. Allen,JR,LB,
Troy Bowles,JR,LB,
Chaz Chambliss,SR,LB,
Chris Cole,SO,LB,
Terrell Foster,JR,LB,
Gabe Harris Jr.,JR,LB,
Quintavius Johnson,SO,LB,
Sam M'Pemba,JR,LB,
Smael Mondon Jr.,SR,LB,
Jalon Walker,SR,LB,
Justin Williams,SO,LB,
Damon Wilson II,JR,LB,
Raylen Wilson,JR,LB,
Kris Jones,SO,LB,
Sam Shurtleff,SR,LB,
Joenel Aguero,JR,DB,
KJ Bolden,SO,DB,
Daylen Everette,SR,DB,
Collin Gill,SO,DB,
Daniel Harris,JR,DB,
Julian Humphrey,JR,DB,
Dan Jackson,SR,DB,
Demello Jones,SO,DB,
Kyron Jones,JR,DB,
Chris Peal,SO,DB,
Jake Pope,JR,DB,
Justyn Rhett,SO,DB,
Ellis Robinson IV,SO,DB,
Malaki Starks,SR,DB,
JaCorey Thomas,SR,DB,
Ondre Evans,SO,DB,
Jacob Fleming,JR,DB,
Ali Hall,SR,DB,
Maurice Hayes,SO,DB,
Parker Jones,JR,DB,
Denton Shamburger,JR,DB,
Henry Waller,JR,DB,
Drew Miller,SO,P,
Brett Thorson,SR,P,
Noah Jones,SR,P,
Beau Gardner,SR,LS,
Justin Greene,SO,DE,
Xzavier McLeod,SO,DT,
Will Snellings,SO,LS,
Luke Raab,SO,LS,
Jonathan Washburn,SR,LS,
