Player,Class,Pos,Summary
JC French,JR,QB,"269 Cmp, 410 Att, 2831 Yds, 17 TD"
Dexter Williams II,SR,QB,"19 Cmp, 30 Att, 248 Yds, 3 TD"
Tyler Budge,SO,QB,
David Dallas,JR,QB,
Colton FitzGerald,SR,QB,
Trey Townsend,SO,QB,
OJ Arnold,SR,RB,"63 Att, 316 Yds, 5.0 Avg"
Jalen White,SR,RB,"163 Att, 744 Yds, 4.6 Avg"
David Mbadinga,JR,RB,"58 Att, 229 Yds, 3.9 Avg"
Terrance Gibbs,JR,RB,
Bryce Baker,SO,RB,
Robert Edwards III,JR,RB,
Jamarian Samuel,SR,RB,
Alan Woods III,SO,RB,
J'Shawn Anderson,SO,RB,
Taeo Todd,SO,RB,
Dalen Cobb,SR,WR,"52 Rec, 599 Yds, 11.5 Avg"
DeAndre Buchannon,JR,WR,"5 Rec, 54 Yds, 10.8 Avg"
Josh Dallas,JR,WR,"46 Rec, 614 Yds, 13.3 Avg"
Marcus Sanders Jr.,SR,WR,"9 Rec, 158 Yds, 17.6 Avg"
Derwin Burgess Jr.,SR,WR,"59 Rec, 659 Yds, 11.2 Avg"
LV Bunkley-Shelton,SR,WR,"30 Rec, 322 Yds, 10.7 Avg"
Joshua Thompson,SR,WR,"3 Rec, 74 Yds, 24.7 Avg"
Taylor Bradshaw,SO,WR,"1 Rec, 31 Yds, 31.0 Avg"
Sam Kenerson,SR,WR,"1 Rec, 16 Yds, 16.0 Avg"
Brooks Pangle,JR,WR,
KD Dorsey,JR,WR,
Kevin Douglas,SO,WR,
Carmelo Mays,SO,WR,
Corey Petty,SR,WR,
Jordan Woolen,SO,WR,
Tyler Fromm,SR,TE,"25 Rec, 249 Yds, 10.0 Avg"
Beau Johnson,SR,TE,"9 Rec, 71 Yds, 7.9 Avg"
Elijah Walton,SO,TE,"1 Rec, 2 Yds, 2.0 Avg"
Khai Isaac,SO,TE,
Evan Lester,SR,TE,
JP Mikhael,SO,TE,
Aubrey Heath,SO,TE,
Colin Alexander,SO,OL,
Dom Boyd,SR,OL,
Bryson Broadway,SR,OL,
Johnnie Brown,JR,OL,
Chance Carroll,SR,OL,
Caleb Cook,SR,OL,
Kyle Frazier,SR,OL,
Chandler Strong,JR,OL,
Weston Wallace,SR,OL,
Caelan Williams,SR,OL,
Ethan Williams,SO,OL,
Matthew Williams,SO,OL,
Pichon Wimbley,SR,OL,
Jalen Burgess,SO,OL,
Bryce Miller,SO,OL,
Zach Pearson,SO,OL,
Kingtriton Samuela,SO,OL,
Jaylen Slaughter,SO,OL,
Robert Wright Jr.,SO,OL,
Gavin Stewart,SR,K,
Chase Folser,JR,K,
TJ Hartley,SO,K,
Eli Anders,SO,DL,
Latrell Bullard,SR,DL,
Da'Shawn Davis,SR,DL,
Elhadj Fall,JR,DL,
Jacob Ferguson,SR,DL,
Lonnie Leverette,SR,DL,
Trevon Locke,SR,DL,
Troy Pikes,SO,DL,
Davion Rhodes,SR,DL,
Justin Rhodes,SR,DL,
Kebba Secka,SO,DL,
MJ Stroud,JR,DL,
Kristian Varner,SR,DL,
Isaac Walker,SR,DL,
Kyron Anderson,SO,DL,
Johnathan Douglas,SR,DL,
Korey Jordan,SO,DL,
Alijah Lacey,SO,DL,
Korbett MacGregor,JR,DL,
Branden Palmer,SO,DL,
Nasir Smith,SO,DL,
CJ Allen,SO,LB,
Zack Blackwell,JR,LB,
Reid Dedman,SR,LB,
Davon Gilmore,SR,LB,
Jacob Hammonds,JR,LB,
Davon Hicks,SR,LB,
Demarcious Robinson,SR,LB,
Holden Trice,SO,LB,
Marques Watson-Trent,SR,LB,
JaMari Whitehead,SO,LB,
Brandon Alford,SO,LB,
Jaylen Bentley,SO,DB,
Jaquari Brown,SO,DB,
Devin Collier,SO,DB,
Chris Crouch,SR,DB,
Tyrell Davis,SR,DB,
Chance Gamble,SR,DB,
Phillip Gladney,SO,DB,
Prince Green,SR,DB,
Tracy Hill Jr.,JR,DB,
Jeremiah Holmes,SR,DB,
Ayden Jackson,JR,DB,
Caimon Mathis,SO,DB,
Justin Meyers,SR,DB,
Deontre Morris,SR,DB,
Dorrian Smith,SR,DB,
TJ Smith,SR,DB,
Jeffrey Smyth,SR,DB,
Marc Stampley II,SR,DB,
Cameron Williams,SR,DB,
Jadaan Cooper,SO,DB,
Amar Jenkins,JR,DB,
Elijah McDowell,SO,DB,
Antavious Murphy,SO,DB,
Ethan Pouncey,SR,DB,
Isaiah Screen,SR,DB,
Temirez Williams Jr.,SO,DB,
Matt Daniel,SR,P,
Alex Smith,JR,P,
Walker Bradberry,SR,P,
Bryce Bernard,SR,LS,
Jackson Wheeler,SR,LS,
Wyatt Darlington,SO,LS,
Gaines Wood,JR,LS,
