Player,Class,Pos,Summary
Christian Veilleux,SR,QB,"166 Cmp, 291 Att, 2047 Yds, 13 TD"
Zach Gibson,SR,QB,"102 Cmp, 151 Att, 1004 Yds, 7 TD"
Kyle Lowe,JR,QB,"3 Cmp, 7 Att, 18 Yds, 1 TD"
Brayland Ragland,SO,QB,
Rodge Waldrop,SO,QB,
Freddie Brock,SR,RB,"151 Att, 819 Yds, 5.4 Avg"
Michel Dukes,SR,RB,"63 Att, 365 Yds, 5.8 Avg"
Sy'veon Wilkerson,SR,RB,"23 Att, 97 Yds, 4.2 Avg"
Jordan Ford,SR,RB,"15 Att, 45 Yds, 3.0 Avg"
CJ Beasley,SR,RB,"13 Att, 71 Yds, 5.5 Avg"
DJ Murray Jr.,SO,RB,"4 Rec, 13 Yds, 3.3 Avg"
Phoenix Moss,SO,RB,"2 Att, -4 Yds, -2.0 Avg"
Aaron Davis,SO,RB,
DJ Riles,JR,WR,"20 Rec, 172 Yds, 8.6 Avg"
Tailique Williams,SR,WR,"16 Rec, 165 Yds, 10.3 Avg"
Ted Hurst,SR,WR,"56 Rec, 961 Yds, 17.2 Avg"
Petey Tucker,SR,WR,"30 Rec, 324 Yds, 10.8 Avg"
Ja'Cyais Credle,SR,WR,"9 Rec, 113 Yds, 12.6 Avg"
Rykem Laney,SR,WR,"7 Rec, 106 Yds, 15.1 Avg"
Darius Bush,SR,WR,"1 Rec, -6 Yds, -6.0 Avg"
Austin McGee,SO,WR,"1 Rec, 17 Yds, 17.0 Avg"
Keron Milton,SO,WR,"1 Rec, 15 Yds, 15.0 Avg"
Cadarrius Thompson,SR,WR,"1 Rec, 5 Yds, 5.0 Avg"
Lamarcus Brand,SR,WR,
Peter Kikwata,SR,WR,
Avery McFadden,SO,WR,
Myles Abernathy,SO,WR,
Tarance Breedlove,SR,WR,
Ethan Garrett,SR,WR,
Amari Powell,SO,WR,
Micah White,SR,WR,
Dorian Fleming,SO,TE,"49 Rec, 558 Yds, 11.4 Avg"
Avion McBride,SR,TE,"1 Rec, 20 Yds, 20.0 Avg"
Ahmon Green,SR,TE,
Lane Wadle,SO,TE,
Breylen Gilbert,SO,TE,
Chris Manual,JR,TE,
Joshua Black,SR,OL,
Ben Chukwuma,SR,OL,
Mason Cook,SR,OL,
Kysean Fenderson-Gentile,SR,OL,
Donovan Funsch,SO,OL,
Alec Johnson,JR,OL,
Will Larkins,SO,OL,
Kyrik Mason,SR,OL,
Maleek McNeil,SR,OL,
James Puckett,SO,OL,
Lamar Robinson,SR,OL,
Trevor Timmons,JR,OL,
Marquez Bargman,SR,OL,
Ethan Charles,SO,OL,
Malik Jackson,SO,OL,
Dominic Johnson,SO,OL,
Favor Komolafe,SR,OL,
D'Andre LaVassaur,SO,OL,
Romello Watson,SR,OL,
Kade Loggins,SR,K,
Braeden McAlister,JR,K,
Liam Rickman,JR,K,
Isaac Kone,JR,K,
Anthony Blume,SR,DL,
Victoine Brown,JR,DL,
Henry Bryant,SR,DL,
Fuches Lewis II,SR,DL,
Christian Lorenzo,JR,DL,
Dorian Royal,SR,DL,
Bishop Thomas,JR,DL,
Jude Tinor,SO,DL,
Adrian Hill,SO,DL,
Jalen Jordan,SR,DL,
Josiah Robinson,SR,LB,
Justin Abraham,SR,LB,
Tavian Brown,SR,LB,
Daniel Heimuli,SR,LB,
Jacobi Jones,SO,LB,
Kiersten Lee,SR,LB,
K.D. McDaniel,SR,LB,
Xavier Robinson,SR,LB,
Kevin Swint,SR,LB,
Brent Washington,SO,LB,
Cam Williams,SR,LB,
Damaine Wilson,SO,LB,
LaQuavius Bailey,SO,LB,
Gavin Bloom,SR,LB,
Jayven Hall,JR,LB,
Joseph Jean,SO,LB,
Antonio Wesley,SO,LB,
Jyron Gilmore,SR,DB,
Deuce Walker,SO,DB,
Devin Prince,JR,DB,
James Allen,SR,P,
Chris Davis Jr.,SR,DE,
Chams Diagne,JR,CB,
Michael Fitzmeyer,SR,LS,
Izaiah Guy,JR,CB,
Isaiah Holland,JR,S,
D-Icey Hopkins,JR,S,
Jeremiah Johnson,SR,S,
Cody Jones,SR,S,
Jaylon Jones,SO,S,
Sam Lindsey,SO,LS,
Cam Marshall,JR,S,
Ian Mathews,JR,DE,
Derrick Maxey III,JR,S,
Sam McCall,JR,CB,
Marlon McClendon,SO,CB,
Sir Mells,JR,DT,
Ja'Maric Morris,SR,S,
Gavin Pringle,SR,CB,
Kenyatta Watson II,SR,S,
Ronald Cooper,SR,CB,
Deity Deablo,SO,DE,
Dorian Gibson,JR,CB,
Dyllon Houghton,JR,S,
Remez Lockhart,JR,CB,
Cameron Prather,SO,CB,
Spencer Radnoti,SO,LS,
Tylan Smith,SO,CB,
Gary Turner,JR,CB,
