Player,Class,Pos,Summary
Haynes King,SR,QB,"196 Cmp, 269 Att, 2114 Yds, 14 TD"
Aaron Philo,SO,QB,"38 Cmp, 74 Att, 565 Yds, 1 TD"
Zach Pyron,JR,QB,"35 Cmp, 65 Att, 409 Yds, 2 TD"
Brody Rhodes,SR,QB,
Ben Guthrie,SO,QB,
Graham Knowles,SO,QB,
Jamal Haynes,SR,RB,"169 Att, 944 Yds, 5.6 Avg"
Chad Alexander,JR,RB,"58 Att, 280 Yds, 4.8 Avg"
Anthony Carrie,SO,RB,"25 Att, 120 Yds, 4.8 Avg"
Trelain Maddox,SO,RB,"17 Att, 67 Yds, 3.9 Avg"
Trevion Cooley,SR,RB,"6 Att, 26 Yds, 4.3 Avg"
Daylon Gordon,SR,RB,"2 Att, 5 Yds, 2.5 Avg"
Evan Dickens,JR,RB,
Eric Singleton Jr.,JR,WR,"56 Rec, 754 Yds, 13.5 Avg"
Malik Rutherford,SR,WR,"62 Rec, 702 Yds, 11.3 Avg"
Bailey Stockton,JR,WR,"17 Rec, 206 Yds, 12.1 Avg"
Chase Lane,SR,WR,"23 Rec, 271 Yds, 11.8 Avg"
Abdul Janneh,SR,WR,"7 Rec, 109 Yds, 15.6 Avg"
Isiah Canion,SO,WR,"6 Rec, 83 Yds, 13.8 Avg"
Christian Leary,SR,WR,"3 Rec, 27 Yds, 9.0 Avg"
Leo Blackburn,SR,WR,"1 Rec, 24 Yds, 24.0 Avg"
Chris Elko,JR,WR,"1 Rec, 41 Yds, 41.0 Avg"
Zion Taylor,JR,WR,"1 Rec, 1 Yds, 1.0 Avg"
Nick Bliss,SO,WR,
Trent Davis,SR,WR,
Trey Home,SO,WR,
Judson Petty,SO,WR,
Avery Boyd,SR,TE,"25 Rec, 316 Yds, 12.6 Avg"
Jackson Hawes,SR,TE,"16 Rec, 195 Yds, 12.2 Avg"
Ryland Goede,SR,TE,"6 Rec, 70 Yds, 11.7 Avg"
Josh Beetham,SR,TE,"3 Rec, 29 Yds, 9.7 Avg"
Luke Harpring,SO,TE,"3 Rec, 43 Yds, 14.3 Avg"
Jackson Long,JR,TE,
David Prince,SO,TE,
Blake Ragsdale,SO,TE,
Joshua Ruder,JR,TE,
Brett Seither,SR,TE,
Tana Alo-Tupuola,SO,OL,
Brandon Best,JR,OL,
Jordan Brown,SR,OL,
Weston Franklin,SR,OL,
Joe Fusile,SR,OL,
Benjamin Galloway,JR,OL,
Ethan Mackenny,JR,OL,
Corey Robinson II,SR,OL,
Keylan Rutledge,SR,OL,
Jordan Williams,SR,OL,
Jacob Benjamin,SO,OL,
Bobby Campbell,SO,OL,
Jordan Floyd,SO,OL,
Kai Greer,SO,OL,
Nick Pearson,JR,OL,
Ryan Purves,JR,OL,
Jameson Riggs,SO,OL,
Will Scissum,SR,OL,
Patrick Screws Jr.,JR,OL,
Aidan Birr,JR,K,
Andrew Neims,SO,K,
Zeek Biggers,SR,DL,
Jordan Boyd,SO,DL,
Amontrae Bradford,SO,DL,
Thomas Gore,SR,DL,
Kevin Harris,SR,DL,
Shymeik Jones,JR,DL,
Jason Moore,SR,DL,
Josh Robinson,SR,DL,
Makius Scott,SR,DL,
Sylvain Yondjouen,SR,DL,
Cade Adams,JR,DL,
Uche Iloh,SO,DL,
Horace Lockett,JR,DL,
Landon Marshall,SO,DL,
Jaaymen Rochell,JR,DL,
Ty Thompson,JR,DL,
Tah'j Butler,SO,LB,
Jacob Cruz,JR,LB,
Austin Dean,SR,LB,
Kyle Efford,JR,LB,
Jackson Hamilton,SR,LB,
E.J. Lightsey,JR,LB,
Lawson Pritchett,SO,LB,
Trenilyas Tatum,SR,LB,
Nacari Ashley,FR,LB,
Drew Cohen,SO,LB,
Jack Collins,JR,LB,
Caleb Dozier,SO,LB,
Bayler Duncan,SO,LB,
Jonorian Foots,JR,LB,
Myles Forristall,JR,LB,
Luke Laughter,SO,LB,
Chuma Okoye,JR,LB,
Miles Brooks,SR,DB,
Warren Burrell,SR,DB,
Nehemiah Chandler,SO,DB,
Omar Daniels,SR,DB,
Jayden Davis,SO,DB,
Syeed Gibbs,JR,DB,
Ahmari Harvey,SR,DB,
Ben Hollerbach,JR,DB,
Will Kiker,JR,DB,
Clayton Powell-Lee,SR,DB,
Christian Pritchett,SO,DB,
Taye Seymore,JR,DB,
Rodney Shelley,SR,DB,
Troy Stevenson IV,SO,DB,
Zachary Tobe,JR,DB,
Kace Adams,JR,DB,
A.J. Cheeks,SO,DB,
Nico Dowdell,JR,DB,
Cedric Franklin II,SO,DB,
D.J. Moore,JR,DB,
Joseph Moseley,SO,DB,
David Shanahan,SR,P,
Joshua Taylor,JR,P,
James Whatley,SO,P,
Henry Freer,SR,LS,
Romello Height,SR,DE,
Harrison Moore,SO,OG,
Jordan Van Den Berg,JR,DT,
Joseph Stoever,JR,LS,
Ronnie Thomas,SR,LS,
