Player,Class,Pos,Summary
Brayden Schager,SR,QB,"233 Cmp, 403 Att, 2591 Yds, 19 TD"
Micah Alejado,SO,QB,"49 Cmp, 70 Att, 585 Yds, 6 TD"
John-Keawe Sagapolutele,SO,QB,"4 Cmp, 7 Att, 42 Yds, 0 TD"
Jake Farrell,SR,QB,
Caleb Freeman,SR,QB,
Landon Sims,SR,RB,"71 Att, 351 Yds, 4.9 Avg"
Tylan Hines,JR,RB,"39 Att, 162 Yds, 4.2 Avg"
Cam Barfield,JR,RB,"33 Att, 158 Yds, 4.8 Avg"
Christian Vaughn,SR,RB,"16 Att, 101 Yds, 6.3 Avg"
David Cordero,SR,RB,"10 Att, 57 Yds, 5.7 Avg"
Kamalu DeBlake,SR,RB,"4 Att, 18 Yds, 4.5 Avg"
Tryton Keli'ikipi,SO,RB,
Sitani Mikaele,SO,RB,
Nicholas Cenacle,SR,WR,"63 Rec, 721 Yds, 11.4 Avg"
Pofele Ashlock,JR,WR,"61 Rec, 629 Yds, 10.3 Avg"
Jonah Panoke,SR,WR,"33 Rec, 387 Yds, 11.7 Avg"
Alex Perry,JR,WR,"22 Rec, 195 Yds, 8.9 Avg"
Spencer Curtis,SR,WR,"19 Rec, 244 Yds, 12.8 Avg"
Dekel Crowdus,SR,WR,"16 Rec, 402 Yds, 25.1 Avg"
Tamatoa Mokiao-Atimalala,SR,WR,"12 Rec, 91 Yds, 7.6 Avg"
Karsyn Pupunu,SR,WR,"6 Rec, 80 Yds, 13.3 Avg"
Koali Nishigaya,SR,WR,"4 Rec, 33 Yds, 8.3 Avg"
Tama Uiliata,SO,WR,"3 Rec, 24 Yds, 8.0 Avg"
Blaze Kamoku,JR,WR,"2 Rec, 11 Yds, 5.5 Avg"
Carlito Capanang Jr.,SR,WR,
Nick Delgadillo,SO,WR,
Jarvis Heimuli,SO,WR,
Maclane Watkins,SO,WR,
Josiah Fetui,SO,WR,
Armando Lewis Jr.,SO,WR,
Kayde Mahuka,SR,WR,
Steven McBride,SR,WR,
Chad Owens Jr.,JR,WR,
Jeremiah White,SO,WR,
Oakie Salave'a,JR,TE,"1 Rec, 8 Yds, 8.0 Avg"
Devon Tauaefa,JR,TE,
Matthew Bailiff,SO,TE,
Dean Briski,JR,OL,
Ka'ena Decrambra,SR,OL,
Luke Felix-Fualalo,SR,OL,
Judah Kaio,SR,OL,
Micah Mariteragi,SR,OL,
James Milovale,SR,OL,
Sergio Muasau,SR,OL,
Kuao Peihopa,SR,OL,
Christian Perry,SR,OL,
Zhen-Keith Sotelo,SR,OL,
Ethan Spencer,JR,OL,
Maurice Ta'ala,SR,OL,
Ismail Ganley,SO,OL,
Boogie Henderson,SO,OL,
Kaleb Jackson-Carter,SO,OL,
Lautaimi Manuma,SO,OL,
Isaac Maugaleoo,SO,OL,
Tu'i Muti,SO,OL,
Jay Tauala-Harris,SO,OL,
Ben Falck,SR,K,
Kansei Matsuzawa,SR,K,
Kai Kluth,SO,K,
Ha'aheo Dela Cruz,SO,DL,
Ezra Evaimalo,SR,DL,
Malachi Finau,JR,DL,
Wynden Ho'ohuli,SR,DL,
Jackie Johnson III,SR,DL,
Tariq Jones,SR,DL,
Lesterlaisene Lagafuaina,SO,DL,
Tevita Loketi,SR,DL,
Aiden McComber,SO,DL,
Vaifanua Peko,SO,DL,
Zoram Petelo,SO,DL,
Alvin Puefua,SO,DL,
Elijah Robinson,SR,DL,
Anthony Sagapolutele,SR,DL,
Josh Sagapolutele,SO,DL,
Jamar Sekona,SR,DL,
Daniel Williams,SR,DL,
Travion Williams,SR,DL,
Nazaiah Caravallo,SO,DL,
Jordon Crawford,JR,DL,
Patrick Hisatake,SR,DL,
Micah Kaonohi-Kaihenui,JR,DL,
Tristan Waiamau-Galindo,SO,DL,
Noah Wily,SO,DL,
Jeremiah Wright,SO,DL,
Nalu Emerson,SR,LB,
Noah Kema,SR,LB,
Jamih Otis,JR,LB,
Jalen Smith,SR,LB,
Tasi Tadio,SO,LB,
Logan Taylor,SR,LB,
Derek Boyd II,JR,LB,
Alika Cavaco-Amoy,SO,LB,
Junior Fiaui,SO,LB,
Kolo Kaululaau,SO,LB,
Noa Keohuloa,SO,LB,
Caleb Brown,SR,DB,
Jojo Forest,SR,DB,
Deliyon Freeman,SO,DB,
Devyn King,SR,DB,
Peter Manuma,SR,DB,
Kilnahe Mendiola-Jensen,SR,DB,
Kona Moore,JR,DB,
Elijah Palmer,JR,DB,
Meki Pei,SR,DB,
Justin Sinclair,SR,DB,
Isreal Solomon,SO,DB,
Matagi Thompson,JR,DB,
Jaheim Wilson-Jones,SR,DB,
Cam'Ron Bell,SR,DB,
Virdel Edwards II,SR,DB,
Kimo Holo Holt-Mossman,SR,DB,
Makana Meyer,JR,DB,
Kellen Robins-Beers,SR,DB,
Ezekiel Rodrigues,SO,DB,
Kea Rodrigues,SR,DB,
Brandon Shah,JR,DB,
Lucas Borrow,SR,P,
Hunter Higham,SO,LS,
Solomon Landrum,SR,LS,
Cameron Stone,SR,CB,
Dion Washington,SR,DE,
Riis Weber,JR,S,
Nick Pang,SO,LS,
Fabian Ross,JR,CB,
