Player,Class,Pos,Summary
Donovan Smith,SR,QB,"87 Cmp, 133 Att, 867 Yds, 4 TD"
Zeon Chriss,JR,QB,"83 Cmp, 130 Att, 824 Yds, 4 TD"
Ui Ale,JR,QB,"10 Cmp, 13 Att, 112 Yds, 1 TD"
Holman Edwards,SR,QB,"0 Cmp, 1 Att, 0 Yds, 0 TD"
Jake Sock,JR,QB,
Caleb McMickle,SO,QB,
Indiana Wiljay,SO,QB,
Re'Shaun Sanford II,SO,RB,"94 Att, 444 Yds, 4.7 Avg"
Stacy Sneed,SR,RB,"60 Att, 308 Yds, 5.1 Avg"
J'Marion Burnette,SO,RB,"43 Att, 182 Yds, 4.2 Avg"
Parker Jenkins,JR,RB,"17 Att, 34 Yds, 2.0 Avg"
DJ Butler,SO,RB,"16 Att, 102 Yds, 6.4 Avg"
Sherman Smith,SR,RB,"1 Att, 0 Yds, 0.0 Avg"
Tony Mathis,SR,RB,
Steve Polk,SO,RB,
Joseph Manjack IV,SR,WR,"22 Rec, 351 Yds, 16.0 Avg"
Mekhi Mews,SR,WR,"29 Rec, 253 Yds, 8.7 Avg"
Stephon Johnson Jr.,SR,WR,"32 Rec, 402 Yds, 12.6 Avg"
Devan Williams,JR,WR,"11 Rec, 127 Yds, 11.5 Avg"
Marquis Shoulders,SR,WR,"5 Rec, 43 Yds, 8.6 Avg"
JayShon Ridgle,SO,WR,"2 Rec, 10 Yds, 5.0 Avg"
Jonah Wilson,SO,WR,"9 Rec, 58 Yds, 6.4 Avg"
Koby Young,SO,WR,"2 Rec, 13 Yds, 6.5 Avg"
Anthony Gangi,SR,WR,
Samuel Padgitt,SO,WR,
Ja'Ryan Wallace,SO,WR,
Austin Bice,SO,WR,
Dylan Caddle,JR,WR,
Aaron Davis,SO,WR,
Dylan Gayton,SO,WR,
Hunter Teichman,SO,WR,
Kolby White,SR,WR,
Maliq Carr,SR,TE,"19 Rec, 186 Yds, 9.8 Avg"
Jayden York,SR,TE,"5 Rec, 31 Yds, 6.2 Avg"
Traville Frederick Jr.,SO,TE,"2 Rec, 23 Yds, 11.5 Avg"
Ivan Autenreith,JR,TE,
Jett Runion,SO,TE,
Matt Byrnes,SR,TE,
Brock Foster,SO,TE,
Kaleb Thomas,SO,TE,
Cayden Bowie,SO,OL,
Peyton Dunn,SR,OL,
Hingano Hautau,SR,OL,
Shamar Hobdy-Lee,SR,OL,
Demetrius Hunter,JR,OL,
Tank Jenkins,SR,OL,
Derek Joiner,SO,OL,
Cedric Melton,SR,OL,
David Ndukwe,SR,OL,
Sam Secrest,JR,OL,
Dakota White,SR,OL,
Jake Wiley,SR,OL,
Ezekiel Akin-Abiodun,SO,OL,
Ray'Quan Bell,SO,OL,
Larry Crawford,JR,OL,
Ronnell McLain,SO,OL,
Joseph Kim,SO,K,
Jack Martin,SR,K,
Jonathan Dimas,SO,K,
Trey Furey,SO,K,
Carlos Allen,SR,DL,
Justin Benton,SO,DL,
Keith Cooper Jr.,SR,DL,
Torren Coppage-E,SR,DL,
Anthony Holmes Jr.,JR,DL,
Garfield Lawrence,SR,DL,
Quindario Lee,SR,DL,
Brandon Mack,SR,DL,
Everitt Rogers,SR,DL,
Xavier Stillman,SR,DL,
Zykeius Strong,SR,DL,
Zion Taylor,SO,DL,
Zavian Tibbs,JR,DL,
Nadame Tucker,SR,DL,
Cavan Tuley,JR,DL,
Josh Diaz,JR,DL,
Thomathan Good II,SR,DL,
Hunter Jones,SO,DL,
Phillips Ojo,SO,DL,
Darius Washington,SO,DL,
Michael Batton,SR,LB,
Christian Braithwaite,SO,LB,
Kendre' Gant,SR,LB,
Jalen Garner,SR,LB,
Latreveon McCutchin,JR,LB,
Jamal Morris,SR,LB,
Blake Okoye,SR,LB,
Corey Platt Jr.,JR,LB,
Jett Thompson,SO,LB,
Johnsley Barbas,SO,DB,
Kriston Davis,SR,DB,
Jalen Emery,SR,DB,
Juwon Gaston,SR,DB,
Noah Guzman,SR,DB,
A.J. Haulcy,SR,DB,
Bryan Massey,SR,DB,
Latrell McCutchin,SR,DB,
Hershey McLaurin,SR,DB,
J.D. Rhym,SR,DB,
Jamaal Shaw,SO,DB,
Kentrell Webb,JR,DB,
Teagan Wilk,SR,DB,
Maurice Williams II,SO,DB,
Jeremiah Wilson,SR,DB,
Ikenna Agoh,SO,DB,
Beau Clewett,SO,DB,
Rickey Green,SO,DB,
Justice Ugo,SR,DB,
Liam Dougherty,SO,P,
Alex Abbott,SO,P,
Jack Raney,JR,P,
Ajani Carter,SR,CB,
Jacob Garza,SR,LS,
Pierson Parent,SO,LS,
Justin Wood,SO,LS,
