Player,Class,Pos,Summary
Luke Altmyer,SR,QB,"211 Cmp, 347 Att, 2717 Yds, 22 TD"
Donovan Leary,JR,QB,"2 Cmp, 5 Att, 29 Yds, 0 TD"
Kirkland Michaux,SR,QB,
Jake Huber,SR,QB,
Trey Petty,SO,QB,
Cal Swanson,SO,QB,
Josh McCray,SR,RB,"117 Att, 609 Yds, 5.2 Avg"
Aidan Laughery,JR,RB,"97 Att, 589 Yds, 6.1 Avg"
Kaden Feagin,JR,RB,"67 Att, 306 Yds, 4.6 Avg"
Ca'Lil Valentine,SO,RB,"53 Att, 212 Yds, 4.0 Avg"
Jordan Anderson,JR,RB,"6 Att, 12 Yds, 2.0 Avg"
Aaron Ball,SO,RB,
Petey Olaleye,SO,RB,
Corey Rashad,SO,RB,
Pat Bryant,SR,WR,"54 Rec, 984 Yds, 18.2 Avg"
Hank Beatty,SR,WR,"20 Rec, 294 Yds, 14.7 Avg"
Zakhari Franklin,SR,WR,"55 Rec, 652 Yds, 11.9 Avg"
Collin Dixon,SO,WR,"18 Rec, 264 Yds, 14.7 Avg"
Malik Elzy,JR,WR,"4 Rec, 77 Yds, 19.3 Avg"
Kenari Wilcher,JR,WR,"4 Rec, 30 Yds, 7.5 Avg"
Alex Capka-Jones,SR,WR,"2 Rec, 21 Yds, 10.5 Avg"
Ashton Hollins,JR,WR,"2 Rec, 40 Yds, 20.0 Avg"
Weston Adams,JR,WR,
Tyson Rooks,JR,WR,
Michael Bartolotta,SR,WR,
Morrison Giggetts,SO,WR,
Tysean Griffin,SO,WR,
Karson Kaiser,SO,WR,
Tyler McClure,SR,WR,
Carlos Orr-Gilllespie,SO,WR,
Mario Sanders II,JR,WR,
Tanner Arkin,SR,TE,"16 Rec, 111 Yds, 6.9 Avg"
Carson Goda,SR,TE,"4 Rec, 49 Yds, 12.3 Avg"
Henry Boyer,JR,TE,
Jake Furtney,SO,TE,
Clayton Leonard,JR,TE,
Tanner Hollinger,SO,TE,
Jake Petrow,SO,TE,
Cole Rusk,SR,TE,
Nick True,SO,TE,
Brandon Henderson,JR,OL,
Zy Crisler,SR,OL,
JC Davis,SR,OL,
Josh Gesky,SR,OL,
Brandon Hansen,SO,OL,
Josh Kreutz,SR,OL,
TJ McMilliam,SO,OL,
Magnus Moller,JR,OL,
Melvin Priestly,SR,OL,
Dezmond Schuster,SR,OL,
Hunter Whitenack,SR,OL,
Kevin Wigenton,SR,OL,
Zach Aamland,SO,OL,
Zach Barrett,SO,OL,
Joep Engbers,SO,OL,
Kellen Francis,JR,OL,
Devin Hale,SR,OL,
Steven Scott III,SO,OL,
Zafir Steward,SO,OL,
Sam Tsagalis,JR,OL,
Ethan Moczulski,JR,K,
David Olano,JR,K,
Fabrizio Pinton,SR,K,
Alex Bray,JR,DL,
Dennis Briggs Jr.,SR,DL,
Te-rah Edwards,SR,DL,
Pat Farrell,SO,DL,
Ezekiel Holmes,SR,DL,
Gentle Hunt,SR,DL,
Angelo McCullom,SO,DL,
Enyce Sledge,JR,DL,
Eddie Tuerk,SO,DL,
Jeremiah Warren,SO,DL,
Henry Engel,SO,DL,
Guillermo Gallardo,SR,DL,
Joe Barna,SO,LB,
Daniel Brown,SR,LB,
Alec Bryant,SR,LB,
Seth Coleman,SR,LB,
Jojo Hayden,SO,LB,
Malachi Hood,JR,LB,
Gabe Jacas,SR,LB,
James Kreutz,JR,LB,
Ryan Meed,SR,LB,
Kenenna Odeluga,SR,LB,
Dylan Rosiek,SR,LB,
Griffin TJ,JR,LB,
Luke Zardzin,SR,LB,
Easton Baker,SO,LB,
Demetrius John,SO,LB,
Mason Muragin,SO,LB,
Harrysson Ngassa,SO,LB,
Ronan Poynton,SO,LB,
Carter Smith,SO,LB,
Matthew Bailey,JR,DB,
Terrance Brooks,SR,DB,
C.J. Bufkin,SR,DB,
Chase Canada,JR,DB,
Jaheim Clarke,JR,DB,
Ben Clawson,JR,DB,
Torrie Cox Jr.,SR,DB,
Grayson Griffin,SR,DB,
Tanner Heckel,SO,DB,
Saboor Karriem,JR,DB,
Kaleb Patterson,JR,DB,
Mac Resetich,JR,DB,
Miles Scott,SR,DB,
Xavier Scott,SR,DB,
Tyler Strain,SR,DB,
Demetrius Hill,SR,DB,
Sage Luther,SR,DB,
Amar Reynolds,SO,DB,
Blayne Sisson,SO,DB,
Vernon Woodward III,SO,DB,
Declan Duley,SO,P,
Hugh Robertson,SR,P,
Lane Hansen,SR,LS,
Aidan Hall,SR,LS,
Patrick Mahoney III,SO,LS,
