Player,Class,Pos,Summary
Kurtis Rourke,SR,QB,"222 Cmp, 320 Att, 3042 Yds, 29 TD"
Tayven Jackson,JR,QB,"23 Cmp, 37 Att, 349 Yds, 4 TD"
Alberto Mendoza,SO,QB,"1 Cmp, 1 Att, 6 Yds, 0 TD"
Tyler Cherry,SO,QB,
Roman Purcell,SR,QB,
Justice Ellison,SR,RB,"159 Att, 848 Yds, 5.3 Avg"
Ty Son Lawton,SR,RB,"141 Att, 668 Yds, 4.7 Avg"
Kaelon Black,SR,RB,"46 Att, 251 Yds, 5.5 Avg"
Elijah Green,SR,RB,"29 Att, 201 Yds, 6.9 Avg"
Khobie Martin,SO,RB,"14 Att, 73 Yds, 5.2 Avg"
Daniel Weems,SR,RB,"4 Att, 19 Yds, 4.8 Avg"
Solomon Vanhorse,SR,RB,"1 Rec, 14 Yds, 14.0 Avg"
Kyler Kropp,SO,RB,
Myles Price,SR,WR,"38 Rec, 466 Yds, 12.3 Avg"
Ke'Shawn Williams,SR,WR,"39 Rec, 448 Yds, 11.5 Avg"
Omar Cooper Jr.,JR,WR,"28 Rec, 594 Yds, 21.2 Avg"
Charlie Becker,SO,WR,
Elijah Sarratt,SR,WR,"53 Rec, 957 Yds, 18.1 Avg"
Miles Cross,SR,WR,"27 Rec, 324 Yds, 12.0 Avg"
Andison Coby,SR,WR,"3 Rec, 70 Yds, 23.3 Avg"
Donaven McCulley,SR,WR,"2 Rec, 21 Yds, 10.5 Avg"
E.J. Williams,SR,WR,"2 Rec, 49 Yds, 24.5 Avg"
Brady Simmons,JR,WR,"1 Rec, 6 Yds, 6.0 Avg"
Eli Jochem,SR,WR,
Camden Jordan,SR,WR,
Derin McCulley,SR,WR,
Jackson Wasserstrom,JR,WR,
Reece Bellin,JR,WR,
Zach Horton,SR,TE,"21 Rec, 189 Yds, 9.0 Avg"
James Bomba,SR,TE,"1 Rec, 2 Yds, 2.0 Avg"
Sam West,JR,TE,"1 Rec, 37 Yds, 37.0 Avg"
Brody Foley,JR,TE,
Trey Walker,SR,TE,
Brody Kosin,SO,TE,
Adedamola Ajani,SO,OL,
Austin Barrett,SO,OL,
Drew Evans,JR,OL,
Cooper Jones,SR,OL,
Mike Katic,SR,OL,
Austin Leibfried,SO,OL,
Bray Lynch,JR,OL,
Carter Snith,JR,OL,
Tyler Stephens,SR,OL,
Trey Wedig,SR,OL,
Max Williams,JR,OL,
Vinny Fiacable,SR,OL,
Nick Kidwell,SR,OL,
Evan Lawrence,SO,OL,
Mitch Verstegen,SO,OL,
Derek McCormick,SR,K,
Alejandro Quintero,SR,K,
Nicolas Radicic,JR,K,
Quinn Warren,SO,K,
Josh Placzek,SO,K,
James Carpenter,SR,DL,
Marcus Burris Jr.,SR,DL,
Ta'Derius Collins,JR,DL,
Jack Greer,JR,DL,
Robby Harrison,JR,DL,
Mikail Kamara,SR,DL,
Mario Landino,SO,DL,
J'mari Monnette,JR,DL,
Daniel Ndukwe,SO,DL,
Venson Sneed,JR,DL,
Tyrique Tucker,JR,DL,
Andrew Turvy,JR,DL,
CJ West,SR,DL,
Aden Cannon,JR,DL,
Andrew Depaepe,JR,DL,
William Depaepe,SO,DL,
Caleb King,SO,DL,
Race Stewart,SR,DL,
Lanell Carr,SR,LB,
Quentin Clark,SO,LB,
Aiden Fisher,SR,LB,
Rolijah Hardy,SO,LB,
Isaiah Jones,JR,LB,
Nahji Logan,SR,LB,
Jacob Mangum-Farrar,SR,LB,
Kaiden Turner,JR,LB,
Jeff Utzinger,JR,LB,
Jailin Walker,SR,LB,
Clayton Allen,SO,LB,
Carter Imes,SO,LB,
Kaden McConnell,SO,LB,
Joshua Rudolph,JR,LB,
Finn Walters,JR,LB,
Shawn Asbury II,SR,DB,
Bryson Bonds,SR,DB,
Clay Conner,JR,DB,
Cedarius Doss,SR,DB,
Amare Ferrell,JR,DB,
Dontrae Henderson,SO,DB,
Jamier Johnson,SR,DB,
JoJo Johnson,SR,DB,
Tyrik McDaniel,SR,DB,
Josh Sanguinetti,SR,DB,
Jamari Sharpe,JR,DB,
Jah Jah Boyd,SO,DB,
Jaz Boykin,SO,DB,
Anthony Chung,JR,DB,
Luke Haupert,SO,DB,
Heath Kizer,SO,DB,
Lincoln Murff,SO,DB,
Josh Philostin,SO,DB,
Aaron Stewart,FR,DB,
James Evans,SR,P,
Terry Jones,SR,S,
Mark Langston,SR,LS,
D'Angelo Ponds,JR,CB,
Nicolas Toomer,SR,CB,
DJ Warnell Jr.,SR,S,
Jaxon Miller,JR,LS,
