Player,Class,Pos,Summary
Cade McNamara,SR,QB,"104 Cmp, 172 Att, 1017 Yds, 6 TD"
Brendan Sullivan,SR,QB,"38 Cmp, 53 Att, 475 Yds, 3 TD"
Jackson Stratton,JR,QB,"21 Cmp, 35 Att, 219 Yds, 1 TD"
Marco Lainez,SO,QB,
James Resar,SO,QB,
Kaleb Johnson,SR,RB,"240 Att, 1537 Yds, 6.4 Avg"
Kamari Moulton,SO,RB,"84 Att, 473 Yds, 5.6 Avg"
Jaziun Patterson,JR,RB,"63 Att, 309 Yds, 4.9 Avg"
Terrell Washington Jr.,SO,RB,"12 Att, 34 Yds, 2.8 Avg"
Leshon Williams,SR,RB,"11 Att, 21 Yds, 1.9 Avg"
Max White,SR,RB,"6 Att, 35 Yds, 5.8 Avg"
Brevin Doll,SO,RB,
Grant Glausser,SO,RB,
Xavier Williams,SO,RB,
Jacob Gill,SR,WR,"35 Rec, 411 Yds, 11.7 Avg"
Kaden Wetjen,SR,WR,"3 Rec, 46 Yds, 15.3 Avg"
Seth Anderson,SR,WR,"5 Rec, 106 Yds, 21.2 Avg"
Reece Vander Zee,SO,WR,"14 Rec, 176 Yds, 12.6 Avg"
Jarriett Buie,SO,WR,"9 Rec, 94 Yds, 10.4 Avg"
Dayton Howard,SO,WR,"4 Rec, 62 Yds, 15.5 Avg"
Kaleb Brown,SR,WR,"1 Rec, 18 Yds, 18.0 Avg"
Alex Eichmann,JR,WR,
Judah Mallette,SO,WR,
KJ Parker,SO,WR,
Graham Friedrichsen,JR,WR,
Alex Mota,SO,WR,
Reese Osgood,JR,WR,
Ayden Price,SO,WR,
Alec Wick,SR,WR,
Addison Ostrenga,SR,TE,"15 Rec, 114 Yds, 7.6 Avg"
Luke Lachey,SR,TE,"28 Rec, 231 Yds, 8.3 Avg"
Zach Ortwerth,JR,TE,"11 Rec, 133 Yds, 12.1 Avg"
Johnny Pascuzzi,SR,TE,"1 Rec, 40 Yds, 40.0 Avg"
Michael Burt,SO,TE,
Grant Leeper,SO,TE,
Andrew Lentsch,SR,TE,
DJ Vonnahme,SO,TE,
Gavin Hoffman,SO,TE,
Cole Marsh,SO,TE,
Jalyn Thompson,SO,TE,
Jeremy Chaplin,SR,OL,
Connor Colby,SR,OL,
Nick Dejong,SR,OL,
Jack Dotzler,JR,OL,
Gennings Dunker,SR,OL,
Tyler Elsbury,SR,OL,
Leighton Jones,SO,OL,
Logan Jones,SR,OL,
Trevor Lauck,SO,OL,
Michael Myslinski,SR,OL,
Kade Pieper,SO,OL,
Mason Richman,SR,OL,
Beau Stephens,SR,OL,
Cade Borud,JR,OL,
Cody Fox,SO,OL,
Josh Janowski,SO,OL,
Mason Knipp,SO,OL,
Kale Krogh,JR,OL,
Cannon Leonard,SO,OL,
Bodey McCaslin,SO,OL,
Will Nolan,SO,OL,
Kyson Van Vugt,JR,OL,
Cael Winter,SO,OL,
Drew Stevens,SR,K,
Tripp Woody,SO,K,
Yahya Black,SR,DL,
Jeff Bowie,SR,DL,
Deontae Craig,SR,DL,
Caden Crawford,JR,DL,
Luke Gaffney,JR,DL,
Aaron Graves,SR,DL,
Will Hubert,JR,DL,
Ethan Hurkett,SR,DL,
Kenneth Merrieweather,SO,DL,
Jeremiah Pittman,SR,DL,
Ethan Aghakhan,SO,DL,
Maddux Borcherding-Johnson,SO,DL,
Chase Brackney,SO,DL,
Trent Cakerice,SO,DL,
Devan Kennedy,SO,DL,
Ryan Kuennen,SO,DL,
Nolan DeLong,SO,LB,
Eric Epenesa,SR,LB,
Kyler Fisher,SR,LB,
Jaden Harrell,SR,LB,
Jay Higgins,SR,LB,
Nick Jackson,SR,LB,
Jayden Montgomery,JR,LB,
Karson Sharar,SR,LB,
Kelby Telander,SR,LB,
Zach Twedt,SR,LB,
Landyn Van Kekerix,JR,LB,
Cam Buffington,SO,LB,
Graham Eben,SO,LB,
Jack Laughlin,SO,LB,
Preston Ries,SO,LB,
Devan Van Ness,SO,LB,
Derek Weisskopf,SO,LB,
Sebastian Castro,SR,DB,
Koen Entringer,JR,DB,
TJ Hall,SR,DB,
Jermari Harris,SR,DB,
Jamison Heinz,SR,DB,
Deavin Hilson,SR,DB,
Kael Kolarik,JR,DB,
Deshaun Lee,JR,DB,
Zach Lutmer,SO,DB,
John Nestor,JR,DB,
Xavier Nwankpa,SR,DB,
Jaxon Rexroth,SR,DB,
Quinn Schulte,SR,DB,
Jaylen Watson,SO,DB,
Amare Bickham,SO,DB,
Teegan Davis,SO,DB,
Kyler Gerardy,SO,DB,
Rashad Godfrey Jr.,SO,DB,
Drew Larson,SO,DB,
Watts McBride,SO,DB,
Kahlil Tate,SO,DB,
Rhys Dakin,SO,P,
Ty Nissen,SR,P,
Hayden Large,SR,FB,
Brian Allen,JR,DE,
Luke Elkin,SR,LS,
Max Llewellyn,SR,DE,
Eli Miller,SR,FB,
Rusty VanWetzinga,SO,FB,
Joseph Anderson,SO,DE,
Drew Campbell,SO,DE,
Chima Chineke,SO,DE,
Ike Speltz,SO,LS,
