Player,Class,Pos,Summary
Rocco Becht,JR,QB,"271 Cmp, 456 Att, 3505 Yds, 25 TD"
Connor Moberly,SO,QB,"5 Cmp, 10 Att, 49 Yds, 0 TD"
J.J. Kohl,SO,QB,
Wyatt Bohm,SO,QB,
Major Cantrell,SO,QB,
Tanner Hughes,SR,QB,
Carson Hansen,JR,RB,"151 Att, 752 Yds, 5.0 Avg"
Abu Sama,JR,RB,"124 Att, 587 Yds, 4.7 Avg"
Jaylon Jackson,SR,RB,"93 Att, 388 Yds, 4.2 Avg"
Aiden Flora,SO,RB,"11 Att, 53 Yds, 4.8 Avg"
Dylan Lee,SO,RB,"11 Att, 35 Yds, 3.2 Avg"
Easton Miller,SO,RB,"2 Att, 7 Yds, 3.5 Avg"
A.J. Petersen,SO,RB,
Charlie Whelpley,SO,RB,
Jaylin Noel,SR,WR,"80 Rec, 1194 Yds, 14.9 Avg"
Jayden Higgins,SR,WR,"87 Rec, 1183 Yds, 13.6 Avg"
Carson Brown,JR,WR,"11 Rec, 141 Yds, 12.8 Avg"
Eli Green,SR,WR,"10 Rec, 115 Yds, 11.5 Avg"
Isaiah Alston,SR,WR,"2 Rec, 52 Yds, 26.0 Avg"
Brett Eskildsen,SO,WR,"2 Rec, 17 Yds, 8.5 Avg"
Beni Ngoyi,SO,WR,"2 Rec, 27 Yds, 13.5 Avg"
Kai Black,SO,WR,"1 Rec, 7 Yds, 7.0 Avg"
Dominic Overby,SO,WR,"1 Rec, 9 Yds, 9.0 Avg"
Wyatt Archer,SO,WR,
Tyler Claiborne,JR,WR,
Daniel Jackson,SR,WR,
Michael Parkes,SO,WR,
Dillon Ranck,SO,WR,
Carson Robbins,SO,WR,
Jonathan Vande Walle,SO,WR,
Stevo Klotz,SR,TE,"8 Rec, 89 Yds, 11.1 Avg"
Gabe Burkle,JR,TE,"26 Rec, 296 Yds, 11.4 Avg"
Benjamin Brahmer,JR,TE,"10 Rec, 179 Yds, 17.9 Avg"
Tyler Moore,SR,TE,"6 Rec, 60 Yds, 10.0 Avg"
Tripp Walsh,SO,TE,"1 Rec, 11 Yds, 11.0 Avg"
Cooper Alexander,SO,TE,
Jack Bjorn,JR,TE,
Andrew Keller,JR,TE,
Keaton Roskop,SO,TE,
C.J. Hayden,SO,TE,
Dylan Barrett,SR,OL,
Brendan Black,JR,OL,
Jim Bonifas,SR,OL,
Trevor Buhr,SO,OL,
Gabe Greenlee,JR,OL,
Deylin Hasert,JR,OL,
Jarrod Hufford,SR,OL,
Evan Ladwig,SR,OL,
Tyler Maro,SR,OL,
Tyler Miller,SR,OL,
James Neal,SR,OL,
Jalen Travis,SR,OL,
A.J. Burton,SO,OL,
Easton Eledge,JR,OL,
Aidan Gilmore,SO,OL,
Brent Helton,SO,OL,
Wade Helton,SO,OL,
Dontrell Holt,SO,OL,
George Nahas,SO,OL,
Carson Rhodes,SO,OL,
Garret Rutledge,SO,OL,
Blaine Sandquist,SO,OL,
Isaiah Seymour,SO,OL,
Owen Westemeyer,SO,OL,
Jace Gilbert,JR,K,
Kyle Konrardy,SO,K,
Keegan Shackford,SR,K,
Alijah Carnell,SO,DL,
Jace J. Gilbert,SO,DL,
Zaimir Hawk,SO,DL,
Domonique Orange,SR,DL,
J.R. Singleton,SR,DL,
Xavier Hamilton,SO,DL,
Obald Niyonkuru,SO,DL,
Braden Simonsen,JR,DL,
Augustine Sleh,SO,DL,
Caleb Bacon,SR,LB,
Rylan Barnes,SO,LB,
Cael Brezina,SO,LB,
Alec Cook,JR,LB,
Kooper Ebel,JR,LB,
Jacob Ellis,SR,LB,
Beau Goodwin,SO,LB,
Jacob Imming,JR,LB,
John Klosterman,JR,LB,
Zach Lovett,SR,LB,
Will McLaughlin,SR,LB,
Nick Reinicke,SO,LB,
Jack Sadowsky,JR,LB,
Danny Inglis,SO,LB,
Lance McShane,SO,LB,
Mason Miller,SO,LB,
Carson Willich,JR,LB,
Matthew Bess,JR,DB,
David Coffey,SO,DB,
Jeremiah Cooper,SR,DB,
Mason DouBrava,SR,DB,
Beau Freyler,SR,DB,
Trevon Howard,JR,DB,
Ta'Shawn James,SO,DB,
Caden Kock,JR,DB,
Eddie Lemos,JR,DB,
Caden Matson,JR,DB,
Marcus Neal,SO,DB,
Jamison Patton,JR,DB,
Darien Porter,SR,DB,
Myles Purchase,SR,DB,
Cam Smith,JR,DB,
Drew Surges,JR,DB,
Quentin Taylor,SO,DB,
Asle Thorson,SR,DB,
Carson Van Dinter,SO,DB,
Malik Verdon,SR,DB,
Jontez Williams,JR,DB,
Logan Bacon,SO,DB,
Khijohnn Cummings-Coleman,SO,DB,
Angelo Jackson,SO,DB,
Ryan Robinson Jr.,SO,DB,
Connor Welsch,SO,DB,
Tyler Perkins,SR,P,
Chet Andrews,JR,DE,
Vince Benetti,SO,DE,
Drew Clausen,SR,LS,
Ikenna Ezeogu,JR,DE,
Trent Jones,SR,DE,
Drake Knobloch,JR,LS,
Myles Mendeszoon,SR,DE,
Tyler Onyedim,SR,DE,
Joey Petersen,SR,DE,
Samuel Same,SO,DE,
Kenard Snyder,JR,DE,
Drew Doyle,SO,LS,
Jacob Lyftogt,SO,LS,
