Player,Class,Pos,Summary
Tyler Huff,SR,QB,"178 Cmp, 293 Att, 2543 Yds, 14 TD"
Logan Smothers,SR,QB,"11 Cmp, 19 Att, 123 Yds, 0 TD"
Zion Turner,SO,QB,"0 Cmp, 1 Att, 0 Yds, 0 TD"
Caden Creel,FR,QB,
Greg Jones,SO,QB,
Te'Sean Smoot,SO,QB,
AJ Watkins,FR,QB,
Tre Stewart,SR,RB,"278 Att, 1638 Yds, 5.9 Avg"
Andrew Paul,SO,RB,"39 Att, 167 Yds, 4.3 Avg"
Anwar Lewis,SR,RB,"35 Att, 127 Yds, 3.6 Avg"
Mike Franklin,JR,RB,"8 Att, 55 Yds, 6.9 Avg"
Ron Wiggins,SR,RB,"6 Att, 29 Yds, 4.8 Avg"
Jalen Likely,FR,RB,
Andre Devine,FR,RB,
Khristian Lando,FR,RB,
Justus Savage,FR,RB,
Ty Waymon,JR,RB,
Michael Pettway,JR,WR,"25 Rec, 454 Yds, 18.2 Avg"
Demarcus Lacey,JR,WR,"8 Rec, 84 Yds, 10.5 Avg"
Jarod Bowie,SR,WR,"13 Rec, 207 Yds, 15.9 Avg"
Samario Rudolph,SR,WR,"9 Rec, 74 Yds, 8.2 Avg"
Jordan McCants,SO,WR,"15 Rec, 146 Yds, 9.7 Avg"
Cam Vaughn,FR,WR,"48 Rec, 803 Yds, 16.7 Avg"
Brock Rechsteiner,JR,WR,"16 Rec, 241 Yds, 15.1 Avg"
PJ Wells,SR,WR,"12 Rec, 72 Yds, 6.0 Avg"
Tar'Varish Dawson Jr.,JR,WR,"1 Rec, 16 Yds, 16.0 Avg"
Anthony Benjamin,FR,WR,
Aghogho Eyafe,JR,WR,
Colton Pitchford,FR,WR,
Brannon Spector,SR,WR,
Jeremiah Colbert,FR,WR,
Santonio Jones,FR,WR,
Carter Lambert,SO,WR,
Bryson Rouillier,FR,WR,
Wyatt Sonderman,FR,WR,
Dallan Wright,JR,WR,
Cole Fuller,JR,TE,
Sean Brown,SR,TE,"11 Rec, 181 Yds, 16.5 Avg"
Jacob Barrick,JR,TE,"6 Rec, 70 Yds, 11.7 Avg"
Pearson Baldwin,JR,TE,"2 Rec, 31 Yds, 15.5 Avg"
Nate Zills,FR,TE,
Alex Moore,FR,TE,
Jaxon Shuttlesworth,FR,TE,
K.D. Arnold,SO,OL,
Ryland Bragg,FR,OL,
Amare Grayson,FR,OL,
Cameron Griffin,SO,OL,
Daveion Harley,SO,OL,
Reggie Jackson,SO,OL,
Cameron Jones,SR,OL,
Will O'Steen,JR,OL,
Cole Roberson,FR,OL,
Brock Robey,SR,OL,
Jamal Siler,FR,OL,
Clay Webb,SR,OL,
Joel Bowen,FR,OL,
Jaedon Hill,FR,OL,
Marvin Lee,FR,OL,
Daylan Martin,FR,OL,
Shaun Martin,FR,OL,
Lucas Mrachkovskiy,FR,OL,
KD Small,JR,OL,
Nate Smith,FR,OL,
Maddox Sunderman,FR,OL,
Garrison Rippa,FR,K,
Julio Macias,SO,K,
Dylan Brown,SR,DL,
Juwaun Campbell,FR,DL,
Talan Carter,FR,DL,
Corbet Mims,JR,DL,
Darrell Prater,SO,DL,
Ricky Samuel,SR,DL,
Gharin Stansbury,SO,DL,
Keyon Clark,SO,DL,
Jackson Veasy,FR,DL,
Jibreel Al-Amin,SO,LB,
Jaleel Birdsong,SO,LB,
Dajwon DeLoach,SO,LB,
Thaxton Gallagher,JR,LB,
Laletia Hale,SR,LB,
Morven Joseph,JR,LB,
K'won McCray,SR,LB,
Aidan Thompson,FR,LB,
Zedric Washington,FR,LB,
Tyler Bride,SR,DB,
Cade Backe,JR,P,
Jack Dawson,SR,P,
Cooper Keown,FR,P,
Chase Alexander,JR,S,
Austin Ambush,SR,S,
Marco Baker,SR,CB,
Antonio Carter II,SR,S,
Derek Carter,JR,CB,
Fred Davis II,SR,CB,
Tee Denson,JR,S,
Ethan Ferguson,SO,LS,
Tae Floyd,FR,DE,
Travis Franklin Jr.,SO,S,
Reginald Hughes,JR,DE,
Jayke Jones,FR,CB,
Malcolm Jones,SO,S,
Jumarion Larry,SO,DE,
Geimere Latimer,SO,CB,
Jabari Mack,JR,CB,
Cai Mayowa,SO,S,
Kyler McGrinn,FR,S,
Walker O'Steen,FR,S,
Shane Payton Hodges,FR,DE,
Fred Perry,JR,S,
Zechariah Poyser,FR,S,
Kenney Solomon,SR,CB,
J-Rock Swain,SR,DE,
Patrick Taylor,JR,S,
Collin Westfelt,JR,LS,
Curley Young Jr.,SR,DE,
Keith Christein,FR,S,
Nick Covington,SO,S,
Riggs Dunn,FR,S,
Luke Hogan,JR,LS,
Micah McCarroll,FR,CB,
Brice McKenzie,FR,S,
Dee Newsome,FR,S,
Hunter Otwell,FR,DE,
Emmanuel Oyebadejo,FR,DE,
Walter Reddick,FR,DE,
Marc Woods,FR,S,
