Player,Class,Pos,Summary
Alonza Barnett III,SO,QB,"213 Cmp, 355 Att, 2598 Yds, 26 TD"
Billy Atkins,JR,QB,"16 Cmp, 24 Att, 181 Yds, 1 TD"
JC Evans,FR,QB,"1 Cmp, 1 Att, 1 Yds, 1 TD"
Dylan Morris,SR,QB,"1 Cmp, 1 Att, 6 Yds, 0 TD"
Blake Kendall,SO,QB,
Brett Griffis,FR,QB,
George Pettaway,SO,RB,"162 Att, 980 Yds, 6.0 Avg"
Wayne Knight,SO,RB,"77 Att, 449 Yds, 5.8 Avg"
Jobi Malary,SR,RB,"45 Att, 269 Yds, 6.0 Avg"
Tyler Purdy,SR,RB,"36 Att, 161 Yds, 4.5 Avg"
Ayo Adeyi,SR,RB,"20 Att, 40 Yds, 2.0 Avg"
Ke'Marion Baldwin,SO,RB,"6 Att, 17 Yds, 2.8 Avg"
Taji Hudson,JR,WR,"3 Rec, 30 Yds, 10.0 Avg"
Cameron Ross,SR,WR,"37 Rec, 443 Yds, 12.0 Avg"
Yamir Knight,SO,WR,"53 Rec, 605 Yds, 11.4 Avg"
Jayden Mines,SO,WR,
Omarion Dollison,SR,WR,"37 Rec, 633 Yds, 17.1 Avg"
Dylan Williams,FR,WR,"7 Rec, 62 Yds, 8.9 Avg"
Maxwell Moss,SO,WR,"1 Rec, 11 Yds, 11.0 Avg"
Brionne Penny,SR,WR,"1 Rec, 16 Yds, 16.0 Avg"
Desmond Green,JR,WR,
Troy Lewis,JR,WR,
Erick Harris,SO,WR,
Chris Lofton,FR,WR,
Logan Kyle,JR,TE,"11 Rec, 132 Yds, 12.0 Avg"
Taylor Thompson,SR,TE,"33 Rec, 448 Yds, 13.6 Avg"
Josh Phifer,FR,TE,"2 Rec, 41 Yds, 20.5 Avg"
Kyi Wright,SR,TE,"1 Rec, 1 Yds, 1.0 Avg"
Gabriel Hollingsworth,SR,TE,
Jordan Funk,SR,TE,
Ryder Post,FR,TE,
JaKobe Campbell,FR,OL,
Brett Davis,JR,OL,
Griffin Hart,FR,OL,
Quincy Jenkins,SR,OL,
Cameron Jones,FR,OL,
Kyle Lenhart,FR,OL,
Pat McMurtrie,SR,OL,
Tanner Morris,SR,OL,
Luke Popma,JR,OL,
Cole Potts,SR,OL,
Jesse Ramil,JR,OL,
Riley Robell,FR,OL,
Joseph Simmons,SO,OL,
Josh Toner,JR,OL,
Breon Brown,FR,OL,
Evan Bushong,FR,OL,
Jacob Hohenshelt,FR,OL,
Hunter McLain,SO,OL,
Deacon Rawls,FR,OL,
Tyshawn Wyatt,SR,OL,
Max Lipinski,FR,K,
Cristiano Rosa,SO,K,
Noe Ruelas,JR,K,
Carter Banks,SO,DL,
Immanuel Bush,JR,DL,
Greyson Cadd,SO,DL,
DJ Cotton,FR,DL,
Darold DeNgohe,FR,DL,
Chris Fitzgerald,SR,DL,
Terry Lockett,JR,DL,
Khairi Manns,SR,DL,
Mychal McMullin,FR,DL,
Samson Ogunade,FR,DL,
Brian Snow,SR,DL,
Lloyd Summerall III,SR,DL,
Carter Sweazie,SO,DL,
Amar Thomas,SO,DL,
Spencer Toth,SO,DL,
Sahir West,FR,DL,
Treyvon Adams,FR,DL,
Marcellus Nash,FR,DL,
Micah Pennix,FR,DL,
Cole Purdy,FR,DL,
Ibraheem Ramadan,FR,DL,
Matthew Channell,SO,LB,
Jacob Dobbs,SR,LB,
Trashon Dye,FR,LB,
Immanuel Ezeogu,FR,LB,
Brandon Fique,JR,LB,
Jackson Hamill,FR,LB,
Trent Hendrick,JR,LB,
Taurus Jones,SR,LB,
Raymond Scott,SR,LB,
Gannon Weathersby,SO,LB,
Danny Reagan,FR,LB,
Jackson Snyder,FR,LB,
DJ Barksdale,SO,DB,
KJ Flowe,FR,DB,
Ja'Kai Young,SR,DB,
Kalin Jean,JR,DB,
Isaiah West,FR,DB,
Ryan Hanson,SR,P,
Andrew VanSlyke,FR,P,
Jahquil Batts,JR,S,
Antoine Booth,JR,CB,
Tyler Brown,FR,S,
Justin Eaglin,SO,CB,
Stephen Hollander,SO,S,
Kye Holmes,JR,S,
Logan Ketcham,JR,LS,
Chauncey Logan,JR,CB,
Jack Mowrey,FR,LS,
Trevell Mullen,SO,CB,
Eric O'Neill,JR,DE,
Chase Regan,FR,S,
Chris Shearin,SR,S,
Terrence Spence,SR,CB,
Evan Spivey,FR,S,
Jordan Taylor,SR,CB,
Jacob Thomas,JR,S,
Ray Williams,SR,S,
Milt Ferguson,FR,CB,
Phillip Harris,FR,S,
Tyjai Hopper,FR,CB,
Kevin Kabasele,FR,S,
George Lovelace,FR,S,
Joshua Prince,FR,S,
Jamaree Seldon,SO,CB,
Jamari Somerville,FR,S,
