Player,Class,Pos,Summary
Jalon Daniels,SR,QB,"171 Cmp, 300 Att, 2454 Yds, 14 TD"
Cole Ballard,SO,QB,"5 Cmp, 6 Att, 51 Yds, 1 TD"
Mikey Pauley,JR,QB,
TJ Crews IV,SO,QB,
Ben Easters,SR,QB,
Isaiah Marshall,SO,QB,
Devin Neal,SR,RB,"219 Att, 1266 Yds, 5.8 Avg"
Daniel Hishaw Jr.,SR,RB,"65 Att, 376 Yds, 5.8 Avg"
Sevion Morrison,SR,RB,"27 Att, 164 Yds, 6.1 Avg"
Harry Stewart III,SO,RB,"7 Att, 24 Yds, 3.4 Avg"
Johnny Thompson Jr.,SO,RB,"5 Att, 32 Yds, 6.4 Avg"
Carson Morgan,SO,RB,
Micah Johnson,SO,RB,
Jack Schneider,SO,RB,
Luke Grimm,SR,WR,"51 Rec, 690 Yds, 13.5 Avg"
Quentin Skinner,SR,WR,"25 Rec, 557 Yds, 22.3 Avg"
Trevor Wilson,SR,WR,"9 Rec, 139 Yds, 15.4 Avg"
Lawrence Arnold,SR,WR,"26 Rec, 360 Yds, 13.8 Avg"
Torry Locklin,SR,WR,"2 Rec, 36 Yds, 18.0 Avg"
Douglas Emilien,SR,WR,"3 Rec, 20 Yds, 6.7 Avg"
Mack Moeller,SR,WR,"1 Rec, 7 Yds, 7.0 Avg"
Bryce Cohoon,SO,WR,
Quinton Conley,JR,WR,
Donald Collier,SO,WR,
Griffin Koch,SO,WR,
Keaton Kubecka,SO,WR,
Hunter Luke,SO,WR,
Isreal Moses,SO,WR,
Grant Muffenbier,SO,WR,
Jarred Sample,SO,WR,
Jared Casey,SR,TE,"18 Rec, 203 Yds, 11.3 Avg"
Trevor Kardell,SR,TE,"12 Rec, 148 Yds, 12.3 Avg"
Tevita Noa,SR,TE,"1 Rec, 40 Yds, 40.0 Avg"
Leyton Cure,SR,TE,
Jaden Hamm,SO,TE,
Carson Bruhn,SO,TE,
DeShawn Hanika,SR,TE,
Max Muehlberger,JR,TE,
Kobe Baynes,SR,OL,
Logan Brown,SR,OL,
Shane Bumgardner,SR,OL,
Bryce Cabeldue,SR,OL,
Calvin Clements,SO,OL,
Deondre Doiron,SR,OL,
Michael Ford Jr.,SR,OL,
Bryce Foster,SR,OL,
Nolan Gorczyca,SR,OL,
James Livingston,SO,OL,
Darrell Simmons,SR,OL,
De'Kedrick Sterns,SR,OL,
David Abajian,SO,OL,
Kene Anene,SO,OL,
Myles Ewell,SO,OL,
Greydon Grimes,SO,OL,
Amir Herring,SO,OL,
Hank Kelly,SR,OL,
Carter Lavrusky,SO,OL,
Eli Richmond,SO,OL,
Harrison Utley,SO,OL,
Tabor Allen,SR,K,
Charlie Weinrich,JR,K,
Owen Piepergerdes,SR,K,
Kenean Caldwell,SR,DL,
Marcus Calvin,SO,DL,
Tommy Dunn Jr.,SR,DL,
Blake Herold,SO,DL,
Bai Jobe,SO,DL,
Caleb Taylor,SR,DL,
D.J. Withers,SR,DL,
Dylan Wudke,SR,DL,
Lance Bassett,SO,DL,
Jaydon Brittingham,SO,DL,
Grady Seyfert,SO,DL,
Taiwan Berryhill,SR,LB,
Logan Brantley,SO,LB,
JB Brown,SR,LB,
Dylan Downing,SR,LB,
Tristian Fletcher,SR,LB,
Jayson Gilliom,SR,LB,
Jon Jon Kamara,SO,LB,
Cole Mondi,SR,LB,
Alex Raich,SR,LB,
Cornell Wheeler,SR,LB,
JaCorey Stewart,SO,LB,
Ezra Vedral,SO,LB,
Damarius McGhee,SR,DB,
Austin Alexander,SO,DB,
Grayden Addison,SR,P,
Damon Greaves,JR,P,
Cobee Bryant,SR,CB,
O.J. Burroughs,SR,S,
Jameel Croft,SO,CB,
Taylor Davis,SO,S,
Javier Derritt,SR,DT,
Brian Dilworth,JR,CB,
Ra'Mello Dotson,SR,CB,
Emory Duggar,SR,LS,
Devin Dye,SR,S,
Jalen Dye,SR,S,
Mason Ellis,JR,S,
Marvin Grant,SR,S,
Luke Hosford,SR,LS,
Damani Maxson,SO,S,
Ronald McGee,SR,DE,
Dean MIller,SR,DE,
Landon Nelson,SR,S,
Cole Petrus,SR,DE,
Kaleb Purdy,JR,S,
Jereme Robinson,SR,DE,
Jalen Todd,SO,CB,
DJ Warner,SO,DE,
Dak Brinkley,SO,DE,
Dylan Brooks,SR,DE,
Jacoby Davis,SO,CB,
Kael Farkes,JR,OG,
Will Gavin,SR,CB,
Aundre Gibson,SO,CB,
Hollis Moeller,SO,LS,
Jameer Moore,SO,CB,
Tyler Soukhot,SR,CB,
Jason Strickland,SO,DT,
