Player,Class,Pos,Summary
Avery Johnson,JR,QB,"217 Cmp, 372 Att, 2712 Yds, 25 TD"
Ta'Quan Roberson,SR,QB,"3 Cmp, 7 Att, 18 Yds, 0 TD"
Jacob Knuth,JR,QB,"2 Cmp, 2 Att, 18 Yds, 0 TD"
Blake Barnett,SO,QB,
Hudson Hutcheson,SO,QB,
DJ Giddens,SR,RB,"205 Att, 1343 Yds, 6.6 Avg"
Dylan Edwards,JR,RB,"74 Att, 546 Yds, 7.4 Avg"
Joe Jackson,SO,RB,"39 Att, 227 Yds, 5.8 Avg"
Evan Cantu,JR,RB,"3 Att, 13 Yds, 4.3 Avg"
DeVon Rice,SO,RB,"1 Att, -1 Yds, -1.0 Avg"
La'James White,SR,RB,"1 Att, 12 Yds, 12.0 Avg"
JB Price,SO,RB,
Jayce Brown,JR,WR,"47 Rec, 823 Yds, 17.5 Avg"
Jadon Jackson,SR,WR,"15 Rec, 207 Yds, 13.8 Avg"
Keagan Johnson,SR,WR,"29 Rec, 359 Yds, 12.4 Avg"
Ty Bowman,SR,WR,"6 Rec, 63 Yds, 10.5 Avg"
Dante Cephas,SR,WR,"15 Rec, 184 Yds, 12.3 Avg"
Tre Spivey,SO,WR,"14 Rec, 160 Yds, 11.4 Avg"
Andre Davis,SO,WR,"1 Rec, 9 Yds, 9.0 Avg"
Isaac Koch,JR,WR,
Sterling Lockett,JR,WR,
Bryce Noernberg,SO,WR,
Jacques Spradley-Demps,SO,WR,
Trae Davis,SO,WR,
Zayden Martinez,SO,WR,
Erwin Nash,JR,WR,
Quenton Rice,SR,WR,
Jackson Voth,SO,WR,
Cooper Warren,SO,WR,
Garrett Oakley,JR,TE,"22 Rec, 236 Yds, 10.7 Avg"
Brayden Loftin,JR,TE,"11 Rec, 125 Yds, 11.4 Avg"
Will Swanson,SR,TE,"9 Rec, 66 Yds, 7.3 Avg"
Will Anciaux,SO,TE,"7 Rec, 62 Yds, 8.9 Avg"
Andrew Metzger,SO,TE,
Andrew Sonner,SR,TE,
Garrett Harstad,SO,TE,
Blake Turner,SO,TE,
Justin Wolf,SR,TE,
Drake Bequeaith,JR,OL,
Michael Capria,JR,OL,
Jackson Fullmer,SO,OL,
Gus Hawkins,SO,OL,
Sam Hecht,SR,OL,
Alex Key,JR,OL,
Easton Kilty,SR,OL,
Andrew Leingang,SR,OL,
Hadley Panzer,SR,OL,
John Pastore,JR,OL,
Taylor Poitier,SR,OL,
Carver Willis,SR,OL,
Camden Beebe,SO,OL,
Logan Cox,JR,OL,
Ryan Howard,SO,OL,
Kaedin Massey,SO,OL,
Kyle Rakers,SO,OL,
Navarro Schunke,SO,OL,
Devin Vass,SO,OL,
Joe Vickers,SO,OL,
Brock Woolf,SO,OL,
Simon McClannan,SO,K,
Chris Tennant,SR,K,
Teagan Cobb,SO,K,
Leyton Simmering,JR,K,
Terry Kirksey Jr.,SR,LB,
Kaden McMahan,JR,LB,
Gavin Meyers,JR,LB,
Austin Moore,SR,LB,
Alec Morenco,SR,LB,
Asa Newsom,SO,LB,
Beau Palmer,SR,LB,
Desmond Purnell,SR,LB,
Gabe Roland,SO,LB,
Austin Romaine,JR,LB,
Kam Sallis,SO,LB,
Jake Stonebraker,SO,LB,
Tyson Struber,JR,LB,
Rex Van Wyhe,JR,LB,
Zach Wittenberg,SR,LB,
Will Granger,SO,LB,
Boone Morris,SO,LB,
Malcolm Alcorn-Crowder,JR,DT,
Jordan Allen,SO,DE,
Callen Barta,SO,S,
Travis Bates,JR,DE,
Mikey Bergeron,SO,S,
Justice Clemons,SR,CB,
Daniel Cobbs,JR,S,
Ryan Davis,SO,DE,
Jet Dineen,JR,S,
Jordan Dunbar,SR,CB,
Jack Fabris,SO,S,
Wesley Fair,SO,S,
Keenan Garber,SR,CB,
Joe Hall III,JR,CB,
Damian Ilalio,SR,DT,
Andrew Johnson,SO,LS,
Darell Jones,SR,CB,
Trey Krause,SR,S,
Colby McCalister,JR,S,
Donovan McIntosh,SO,CB,
Brendan Mott,SR,DE,
Tyler Nelome,SR,CB,
Chiddi Obiazor,SO,DE,
Mason Olguin,SR,LS,
Tobi Osunsanmi,JR,DE,
Jacob Parrish,SR,CB,
VJ Payne,SR,S,
Zashon Rich,SO,CB,
Jordan Riley-Scott,SR,S,
Uso Seumalo,SR,DT,
Marques Sigle,SR,S,
Nickendre Stiger,SR,S,
Cody Stufflebean,SR,DE,
Kanijal Thomas,JR,CB,
Asher Tomaszewski,SO,DT,
George Traglia,SR,DE,
Titus Tuiasosopo,SR,DT,
Holden Bass,SO,DT,
Keane Bessert,SO,LS,
Jayden Cook,SO,CB,
Truman Griffith,SO,DE,
Kian Payne,SO,DE,
Donovan Rieman,JR,DE,
Andrew Schmelzle,SR,DE,
Dante Thomas,SR,S,
Ben Wheeler,SO,S,
