Player,Class,Pos,Summary
Davis Bryson,SO,QB,"143 Cmp, 261 Att, 1495 Yds, 6 TD"
Khalib Johnson,SO,QB,"6 Cmp, 22 Att, 57 Yds, 0 TD"
Braden Bohannon,SO,QB,"5 Cmp, 10 Att, 51 Yds, 0 TD"
Lucas Scheerhorn,FR,QB,"1 Cmp, 3 Att, 1 Yds, 0 TD"
Preston Clemmer,FR,QB,
Earl Woods III,FR,QB,
Michael Benefield,SR,RB,"138 Att, 542 Yds, 3.9 Avg"
Qua Ashley,JR,RB,"122 Att, 409 Yds, 3.4 Avg"
Alexander Diggs,SO,RB,"9 Att, 29 Yds, 3.2 Avg"
Tykeem Wallace,JR,RB,"24 Rec, 198 Yds, 8.3 Avg"
Gabriel Benyard,JR,RB,"19 Rec, 162 Yds, 8.5 Avg"
DJ Scott,FR,RB,"2 Att, 9 Yds, 4.5 Avg"
Rob Brown,SO,RB,
Yesiah Clemons,SR,RB,
Kenai Grier,FR,RB,
Navelle Dean,FR,WR,"5 Rec, 67 Yds, 13.4 Avg"
Destun Thomas,SO,WR,"1 Rec, 19 Yds, 19.0 Avg"
Blake Bohannon,JR,WR,"24 Rec, 289 Yds, 12.0 Avg"
Christian Moss,JR,WR,"14 Rec, 203 Yds, 14.5 Avg"
Jaden Robinson,FR,WR,"11 Rec, 154 Yds, 14.0 Avg"
Connor Finer,JR,WR,"3 Rec, 29 Yds, 9.7 Avg"
Javon Rogers,FR,WR,"1 Rec, 4 Yds, 4.0 Avg"
David Cole,FR,WR,
Rowan Darnell,SO,WR,
Josh Williamson,SO,WR,
Bryce Dopson,FR,WR,
Dennis Sims,FR,WR,
Preston Daniels,SR,TE,"2 Rec, 18 Yds, 9.0 Avg"
Carson Kent,SO,TE,"18 Rec, 217 Yds, 12.1 Avg"
Jackson Manning,JR,TE,"1 Rec, 6 Yds, 6.0 Avg"
Eli Leiataua,JR,TE,
Ty Brewer,FR,TE,
Corey Gardhigh,FR,TE,
Gatlin Hancock,FR,TE,
Ian Pederson,FR,TE,
Isaiah WIlliams,FR,TE,
Jose Balver-Mendoza,FR,OL,
Mason Bowers,JR,OL,
Benton Dunn,FR,OL,
Seaburn Hines,SO,OL,
Jacob Kettels,JR,OL,
Kaleb May,FR,OL,
Ethan Newman,FR,OL,
J.T. Pennington,JR,OL,
Havik Pettigrew,SO,OL,
Zaccheaus Williams,JR,OL,
Nathan Wright,SO,OL,
Jarvis Adams,FR,OL,
Trey Butts,SO,OL,
Isaac Cannizzaro,FR,OL,
Kalari Gordon,FR,OL,
Brian Habeck,SO,OL,
William Johnson,SO,OL,
Benjamin Kienz,FR,OL,
Dodge Sauser,JR,OL,
Kevin Smith,FR,OL,
Erik Calvillo,FR,K,
Austin Welch,JR,K,
Britton Williams,JR,K,
Jaxon Colvin,FR,DL,
Tylon Dunlap,JR,DL,
Jaiden Grimes,FR,DL,
Jaylan Jarrett,FR,DL,
Jordan Miles,JR,DL,
AJ Miller,FR,DL,
Jahon Myers,JR,DL,
Jacob Norcross,FR,DL,
Ugonna Nwoha,SO,DL,
Jamar Rucks,JR,DL,
Tyler Scott,JR,DL,
RJ Taylor,SO,DL,
Pooda Walker,JR,DL,
Adam Watkins,JR,DL,
Nick Charles,SO,DL,
Ramontei Dardy,FR,DL,
CJ Donaldson,FR,DL,
Marlo East Jr.,FR,DL,
Dylan Hannon,SO,DL,
Tyler Hoffman,FR,DL,
Jalen Barnum,SR,LB,
Garland Benyard,JR,LB,
Deldrick Franklin,FR,LB,
Trey Hargrove,FR,LB,
Baron Hopson,JR,LB,
Donelius Johnson,SO,LB,
Jaiden Kimble,FR,LB,
Amir Scarver,FR,LB,
Juandarion Silas,SO,LB,
Donovan Westmoreland,SO,LB,
Tywon Christopher,FR,LB,
Danarius Johnson,SO,LB,
Qway McCoy,FR,LB,
Alto Moore,FR,LB,
Joshua Pgouda,FR,LB,
Sulaiman Bah,JR,DB,
Que Billingsley,FR,DB,
Terrence Curtis,FR,DB,
Andrew Douglas,JR,DB,
Tyler Hallum,JR,DB,
Five Hamilton,FR,DB,
Milon Jones,JR,DB,
Jonathan Mathis,FR,DB,
Isaac Paul,FR,DB,
Sidney Porter,JR,DB,
Markell Redding,FR,DB,
Nick Sawyer,SO,DB,
Jasec Smith,FR,DB,
JeRico Washington Jr.,FR,DB,
Jayven Williams,SO,DB,
James Ziglor,JR,DB,
Devin Ross,FR,DB,
Austin White,SR,DB,
Jacob Ulrich,FR,P,
Joshua Huiet,JR,P,
Ben Blanton,FR,LS,
Bryce Robinson,SO,LS,
Christopher Townsel,SR,S,
Connor Brennan,FR,LS,
Nehemiah Pgouda,FR,S,
