Player,Class,Pos,Summary
Tommy Ulatowski,SR,QB,"81 Cmp, 175 Att, 1353 Yds, 15 TD"
Devin Kargman,SR,QB,"45 Cmp, 82 Att, 432 Yds, 3 TD"
Ruel Tomlinson,SO,QB,"11 Cmp, 28 Att, 73 Yds, 0 TD"
JD Sherrod,SO,QB,"2 Cmp, 7 Att, 18 Yds, 0 TD"
Dru DeShields,JR,QB,
Jett Hilding,SO,QB,
Ky Thomas,SR,RB,"135 Att, 549 Yds, 4.1 Avg"
Curtis Douglas,JR,RB,"48 Att, 145 Yds, 3.0 Avg"
Ayden Harris,SO,RB,"29 Att, 110 Yds, 3.8 Avg"
Jordan Lowe,SR,RB,"15 Att, 43 Yds, 2.9 Avg"
Cade Wolford,SO,RB,"4 Att, 10 Yds, 2.5 Avg"
Marques Hicks,JR,RB,"3 Att, -5 Yds, -1.7 Avg"
Noah Early,SO,RB,
Gavin Garcia,SR,RB,
Micquan Gravely,SO,RB,
Chrishon McCray,SR,WR,"40 Rec, 705 Yds, 17.6 Avg"
Luke Floriea,SR,WR,"44 Rec, 699 Yds, 15.9 Avg"
Jahzae Kimbrough,JR,WR,"5 Rec, 24 Yds, 4.8 Avg"
Jay Jay Etheridge,SO,WR,"14 Rec, 137 Yds, 9.8 Avg"
DaShawn Martin,SO,WR,"8 Rec, 108 Yds, 13.5 Avg"
Wayne Harris,SO,WR,"3 Rec, 19 Yds, 6.3 Avg"
Stanley King,SR,WR,"3 Rec, 34 Yds, 11.3 Avg"
Ardell Banks,JR,WR,"2 Rec, 20 Yds, 10.0 Avg"
Ali Fisher,SR,WR,"1 Rec, 13 Yds, 13.0 Avg"
J.B. Awolowo,SR,WR,
Sebastian Brown,SR,WR,
Dash Dorsey,JR,WR,
Jared Kelley,JR,WR,
Joseph Federer,SO,WR,
Preston Hopperton,SO,WR,
Lesae Lacks,SO,WR,
Conner Muldowney,SO,TE,"4 Rec, 44 Yds, 11.0 Avg"
Charlie Skehan,SR,TE,"1 Rec, 18 Yds, 18.0 Avg"
Mohammed Hazime,SR,TE,
Aaron Hopkins,SR,TE,
Peyton Faulkner,JR,TE,
Will Hook,SR,TE,
Hunter Hopperton,JR,TE,
Tristen Bittner,SR,OL,
Chris Farrell,JR,OL,
Tony Georges,SR,OL,
Cameron Golden,SR,OL,
Mason Maddox,JR,OL,
Garrett Masterson,SR,OL,
Dustyn Morell,SR,OL,
Jimto Obidegwu,SR,OL,
Andrew Page,JR,OL,
Elijah Williams,SO,OL,
Cecil Wilson,JR,OL,
Jaxon Dunn,SO,OL,
Braylon Smith,JR,OL,
Kevin Toth Jr.,SR,OL,
Andrew Glass,SR,K,
Will Hryszko,SR,K,
Charlie Durkin,SR,K,
Joel Miasek,JR,K,
Tommy Newcomb,SO,K,
Nathan Tager,SO,K,
Kaden Beatty,JR,DL,
Oliver Billotte,SR,DL,
Antonio Bottiggi,SO,DL,
Aiden Burgess,SO,DL,
AJ Campbell,SR,DL,
Mattheus Carroll,SR,DL,
Josue Cordoba,SO,DL,
Stephen Daley,SR,DL,
Garrett Dial,SO,DL,
Bryce Faulk,JR,DL,
Lavell Gibson,SR,DL,
Zaid Hamdan,SR,DL,
Keenan Landry,SR,DL,
Jaihien Roy,SO,DL,
Bryce Sisak,JR,DL,
Zadan Abuhamdeh,SR,LB,
Nylan Brown,SO,LB,
Matt Harmon,SR,LB,
Khalib Johns,SR,LB,
Rocco Nicholl,SR,LB,
Jayden Studio,SO,LB,
Canaan Williams,SO,LB,
Mason Woods,SR,LB,
Sayed Abuhamdeh,JR,LB,
Nick Giacolone,SR,LB,
Lem Reynolds,SO,LB,
Josh Baka,SR,DB,
Joel Boamah,JR,DB,
Daeveon Buie,SR,DB,
Nick Cuva,JR,DB,
Jaylen Dotson,SR,DB,
Armahn Hale,SR,DB,
Terrell Miller,SR,DB,
Jaire Rawlison,SO,DB,
Tevin Tucker,JR,DB,
CJ Young,JR,DB,
Tyler Bivens,SR,DB,
Josh Smith,SR,P,
Robert Atha,SO,LS,
Brodyn Bishop,SO,S,
Alex Branch,SR,CB,
Dallas Branch,SR,CB,
Martell Buchanan,SO,S,
Xavier Cokley,SR,CB,
Goodell Gus,SR,LS,
Troy Martin,SO,S,
Naim Muhammad,SR,CB,
Kameron Olds,JR,DE,
Clinton Robinson,SO,S,
