Player,Class,Pos,Summary
Brock Vandagriff,SR,QB,"125 Cmp, 218 Att, 1593 Yds, 10 TD"
Cutter Boley,SO,QB,"26 Cmp, 53 Att, 338 Yds, 2 TD"
Gavin Wimsatt,SR,QB,"16 Cmp, 39 Att, 287 Yds, 3 TD"
Beau Allen,SR,QB,
Demie Sumo,SR,RB,"129 Att, 586 Yds, 4.5 Avg"
Jamarion Wilcox,SO,RB,"92 Att, 590 Yds, 6.4 Avg"
Jason Patterson,SO,RB,"20 Att, 111 Yds, 5.6 Avg"
Deamonte Trayanum,SR,RB,"19 Att, 101 Yds, 5.3 Avg"
Tovani Mizell,SO,RB,"1 Att, 0 Yds, 0.0 Avg"
Henry Bennett,JR,RB,
Jake Krekeler,SO,RB,
Barion Brown,SR,WR,"29 Rec, 361 Yds, 12.4 Avg"
Anthony Brown,JR,WR,"5 Rec, 77 Yds, 15.4 Avg"
Jay Maclin,SR,WR,"13 Rec, 313 Yds, 24.1 Avg"
Fred Farrier II,SR,WR,"13 Rec, 126 Yds, 9.7 Avg"
Hardley Gilmore IV,SO,WR,"6 Rec, 153 Yds, 25.5 Avg"
Dane Key,SR,WR,"47 Rec, 715 Yds, 15.2 Avg"
David Washington Jr.,SO,WR,"1 Rec, 9 Yds, 9.0 Avg"
Spencer Leadbetter,JR,WR,
Josh Terrell,SR,WR,
Brandon White,JR,WR,
Santos Alvarez,JR,WR,
Darius Cannon,JR,WR,
Rico Crowder,SO,WR,
Max DeGraff,JR,WR,
Trey Dennis,SR,WR,
Ethan Gregory,SO,WR,
Chy Rivers,JR,WR,
Jordan Dingle,SR,TE,"9 Rec, 71 Yds, 7.9 Avg"
Josh Kattus,SR,TE,"6 Rec, 77 Yds, 12.8 Avg"
Khamari Anderson,JR,TE,"5 Rec, 29 Yds, 5.8 Avg"
Willie Rodriguez,SO,TE,"5 Rec, 94 Yds, 18.8 Avg"
Justin Kattus,SO,TE,
Tanner Lemaster,SO,TE,
Jack Monday,SR,TE,
Jager Burton,SR,OL,
Ben Christman,SR,OL,
Eli Cox,SR,OL,
Marques Cox,SR,OL,
Anfernee Crease,JR,OL,
Jalen Farmer,JR,OL,
Courtland Ford,SR,OL,
Hayes Johnson,SO,OL,
Koby Keenum,SO,OL,
Daniel Mincey,SO,OL,
Gerald Mincey,SR,OL,
Marc Nave Jr.,SO,OL,
Lucas Padgett,SR,OL,
Austin Ramsey,JR,OL,
Dylan Ray,SR,OL,
Aba Selm,SO,OL,
Malachi Wood,JR,OL,
Jackson Bunn,JR,OL,
Charlie Lush,SO,OL,
Tino Merlo,JR,OL,
Kyle Mixon,SO,OL,
Jacob Kauwe,SO,K,
Aiden Laros,SR,K,
Alex Raynor,SR,K,
Tavion Gadson,JR,DL,
Kendrick Gilbert,JR,DL,
Kenyatta Hardge II,SO,DL,
Josaih Hayes,SR,DL,
Octavious Oxendine,SR,DL,
Brian Robinson,SO,DL,
Tre'Vonn Rybka,SR,DL,
Kahlil Saunders,SR,DL,
Keeshawn Silver,SR,DL,
Jerod Smith II,SO,DL,
Deone Walker,SR,DL,
Tommy Ziesmer,SO,DL,
Lincoln Billiter,JR,DL,
Darrion Henry-Young,SR,DL,
Dennious Jackson,SR,DL,
Alex Afari Jr.,SR,LB,
Jayvent Brown,JR,LB,
Jamon Dumas-Johnson,SR,LB,
Tyreese Fearbry,JR,LB,
Grant Godfrey,SO,LB,
D'Eryk Jackson,SR,LB,
Noah Matthews,JR,LB,
Quintavion Norman,SO,LB,
Daveren Rayner,SR,LB,
Caleb Redd,SO,LB,
Antwan Smith,SO,LB,
Jacob Smith,SO,LB,
Steven Soles Jr.,SO,LB,
J.J. Weaver,SR,LB,
Jase Bruner,SR,LB,
Hayden Dawahare,JR,LB,
Landon Marcum,JR,LB,
Devin Smith,SO,LB,
Rushaune Vilane,SO,LB,
Carson Wright,JR,LB,
Nassir Addison,JR,DB,
Ty Bryant,JR,DB,
Zion Childress,SR,DB,
Cam Dooley,SO,DB,
Jantzen Dunn,SR,DB,
Maxwell Hairston,SR,DB,
JQ Hardaway,SR,DB,
Jordan Lovett,SR,DB,
Jarard Mosely,SR,DB,
Terhyon Nichols,SO,DB,
Jackson Schulz,SR,DB,
Quay'sheed Scott,SO,DB,
Jaden Smith,SO,DB,
Kristian Story,SR,DB,
Avery Stuart,SO,DB,
DJ Waller,JR,DB,
Troy Booker,SO,DB,
Sage Dawson,SO,DB,
Quavo Marshall,SO,DB,
Andrew Weber,SO,DB,
Wilson Berry,SR,P,
Walker Himebauch,JR,LS,
Alex McLaughlin,SR,LS,
Trent Baker,SO,LS,
