Player,Class,Pos,Summary
Kaidon Salter,SR,QB,"147 Cmp, 261 Att, 1886 Yds, 15 TD"
Ryan Burger,JR,QB,"8 Cmp, 19 Att, 88 Yds, 0 TD"
Nate Hampton,SR,QB,"2 Cmp, 9 Att, 40 Yds, 1 TD"
Jayden Bradford,SO,QB,
Miles McEachin,FR,QB,
Quinton Cooley,SR,RB,"205 Att, 1254 Yds, 6.1 Avg"
Billy Lucas,SR,RB,"123 Att, 720 Yds, 5.9 Avg"
Vaughn Blue,SO,RB,"35 Att, 207 Yds, 5.9 Avg"
Caden Williams,SO,RB,"14 Att, 47 Yds, 3.4 Avg"
James Jointer,JR,RB,"12 Att, 61 Yds, 5.1 Avg"
Kyle Hanks,JR,RB,"1 Att, 5 Yds, 5.0 Avg"
Jaylin Belford,JR,RB,
Victor Venn,JR,RB,
Julian Gray,SR,WR,"7 Rec, 97 Yds, 13.9 Avg"
Darius Copeland,SO,WR,"5 Rec, 38 Yds, 7.6 Avg"
Tyson Mobley,SR,WR,"29 Rec, 276 Yds, 9.5 Avg"
Treon Sibley,SR,WR,"28 Rec, 510 Yds, 18.2 Avg"
Elijah Canion,SR,WR,"25 Rec, 354 Yds, 14.2 Avg"
Reese Smith,SR,WR,"18 Rec, 277 Yds, 15.4 Avg"
Donte Lee Jr.,JR,WR,"10 Rec, 148 Yds, 14.8 Avg"
Kylen Austin,SR,WR,
Coleman Baker,JR,WR,
Cesar Carrasco,SO,WR,
Markel Fortenberry,JR,WR,
Jon Montiero,SO,WR,
Caleb Botchway,FR,WR,
Victor Jones Jr.,JR,WR,
Jamauri Knox,SO,WR,
Clayton Shepler,SO,WR,
Eric Smith,SO,WR,
Carson Vines,SO,WR,
Bentley Hanshaw,SR,TE,"10 Rec, 92 Yds, 9.2 Avg"
Jacob Jenkins,SR,TE,"10 Rec, 99 Yds, 9.9 Avg"
Austin Henderson,SR,TE,"2 Rec, 20 Yds, 10.0 Avg"
Bo Burklow,SO,TE,
Connie Hewitt II,SO,TE,
Caleb Ryan,JR,TE,
Eli Sisson,SO,TE,
Austin Anderson,SO,OL,
Aaron Fenimore,SO,OL,
John Paul Flores,SR,OL,
DJ Geth,SO,OL,
Xavior Gray,SR,OL,
Cal Grubbs,SO,OL,
Jordan Hall,SR,OL,
Harrison Hayes,SR,OL,
Andrew Johnson,SR,OL,
Jacob Lecates,JR,OL,
Hunter Porterfield,SR,OL,
Jack Tucker,SR,OL,
Jordan White,SR,OL,
Phillip Doss,SR,OL,
Seth Ellsmore,SR,OL,
Blake Heckmann,SO,OL,
Rex Lahr,SO,OL,
Esom Nnajiofor,SO,OL,
Izaiah Taylor,SO,OL,
Jacob Taylor,SO,OL,
Brayden Beck,SR,K,
Colin Karhu,SR,K,
Nick Brown,SO,K,
Sam Crossan,SO,K,
Caleb Willis,SO,K,
Rod Daniels,SR,DL,
Eli Hall,JR,DL,
Mike Jarvis,SR,DL,
Weston Woodard,SO,DL,
Kristyane Gregory,SO,DL,
Marius Landsfeld,SO,DL,
Jahmar Brown,SR,LB,
Caeden Callahan,JR,LB,
Joseph Carter,SR,LB,
Ethan Crisp,SO,LB,
Dillano Glaud,SO,LB,
Teylor Jackson,SR,LB,
Jerome Jolly Jr.,SR,LB,
Seneca Moore,SO,LB,
Barrett Newman,JR,LB,
Aidan Vaughan,JR,LB,
Kaidon Whidby,SO,LB,
Max Morgan,SR,P,
Elijah Auguste,SR,S,
CJ Bazile Jr.,SR,DE,
Marquis Bell,SR,S,
Christian Bodnar,SO,CB,
Chris Boti,SR,DT,
TJ Bush,JR,DE,
Grey Carroll,SR,DE,
Bryce Dixon,SR,DT,
Donovan Dozier,SO,DE,
Jabin Ford,JR,S,
Brylan Green,SR,S,
Eldric Griffin,SR,S,
Jay Hardy,SR,DT,
Damond Harmon,SR,S,
Devin Henderson,SO,S,
Dominick Hill,SR,S,
Elijah Hopkins,JR,CB,
Bryson Jennings,JR,DE,
Larry Jones III,JR,DE,
A'Khori Jones,SR,S,
Tre Lawing,JR,S,
Ryan Manis,SO,LS,
Jamal Miles,SO,CB,
"Ronald Moore, Jr.",SO,S,
Dylan Mullins,JR,S,
Eliyte Nairne,SO,DT,
Alex Oliver,SR,CB,
Nathan Pirolli,JR,DT,
Quinton Reese,SR,S,
Dexter Ricks Jr.,JR,CB,
Jayden Sweeney,JR,CB,
Ryan Wilkins,SR,LS,
Amarian Williams,SR,CB,
Brenton Williams,SO,DE,
Charles Yates Jr.,SR,CB,
Tromontez Booker,SR,S,
Joshua Wiggins,JR,CB,
