Player,Class,Pos,Summary
Ben Wooldridge,SR,QB,"192 Cmp, 291 Att, 2453 Yds, 17 TD"
Chandler Fields,SR,QB,"63 Cmp, 87 Att, 897 Yds, 5 TD"
Daniel Beale,SO,QB,"13 Cmp, 30 Att, 126 Yds, 0 TD"
D'Wanyé Winfield,SO,QB,"1 Cmp, 2 Att, 6 Yds, 0 TD"
Sam Altmann,SO,QB,
Adryan Lara,JR,QB,
Elijah Davis,SO,RB,"163 Att, 796 Yds, 4.9 Avg"
Zylan Perry,JR,RB,"112 Att, 695 Yds, 6.2 Avg"
Dre'lyn Washington,SR,RB,"73 Att, 478 Yds, 6.5 Avg"
Tylon Citizen,SO,RB,"10 Att, 73 Yds, 7.3 Avg"
Kendrell Williams,SR,RB,"5 Att, 13 Yds, 2.6 Avg"
Chaz Ward,SR,RB,"2 Rec, 11 Yds, 5.5 Avg"
Steven Blanco,SO,RB,
Hutch Swilley,SO,RB,
Keilan Sherman,SO,RB,
Lance Legendre,SR,WR,"49 Rec, 826 Yds, 16.9 Avg"
Harvey Broussard,JR,WR,"31 Rec, 486 Yds, 15.7 Avg"
Jacob Bernard,SR,WR,"28 Rec, 375 Yds, 13.4 Avg"
Robert Williams,SR,WR,"26 Rec, 290 Yds, 11.2 Avg"
Tavion Smith,SR,WR,"12 Rec, 168 Yds, 14.0 Avg"
Dalen Cambre,SR,WR,"5 Rec, 46 Yds, 9.2 Avg"
Jaydon Johnson,JR,WR,"5 Rec, 73 Yds, 14.6 Avg"
Dale Martin,SR,WR,"4 Rec, 33 Yds, 8.3 Avg"
Treyv'on Culbert,SR,WR,"2 Rec, 14 Yds, 7.0 Avg"
Landon Baptiste,SO,WR,"1 Rec, 8 Yds, 8.0 Avg"
Rahji Dennis,SO,WR,"1 Rec, 9 Yds, 9.0 Avg"
Landon Strother,SO,WR,
KeDarius Wade,SO,WR,
Cullen Charles,SO,WR,
Christian Pillette,SO,WR,
Charles Robertson,JR,WR,
Terrance Carter,JR,TE,"48 Rec, 689 Yds, 14.4 Avg"
Caden Jensen,SO,TE,"19 Rec, 138 Yds, 7.3 Avg"
Ty Stamey,SO,TE,"7 Rec, 61 Yds, 8.7 Avg"
Rhett Guidry,SR,TE,"1 Rec, 16 Yds, 16.0 Avg"
Caleb Bonine,SR,TE,
Jathan Caldwell,JR,TE,
Teddy Gawlik,SO,TE,
Grant Miller,JR,TE,
Zay Alexander,SO,OL,
John Bragg,SO,OL,
Matthew Broussard,SO,OL,
Xzavier Brown,SO,OL,
Landon Burton,SR,OL,
Cooper Fordham,JR,OL,
AJ Gillie,SR,OL,
Jax Harrington,SR,OL,
George Jackson,SR,OL,
Mackey Maillho,SR,OL,
King McGowen,SR,OL,
Kaden Moreau,JR,OL,
Djay Williams Jr.,SO,OL,
Bryant Williams,JR,OL,
Quinton Williams,SR,OL,
Ryder Bentley,SO,OL,
Ethan Clark,JR,OL,
Ryan Ebrahim,SR,OL,
J'Marion Gooch,JR,OL,
Jackson Hammond,SO,OL,
Andrew Martinez,SO,OL,
Jerrick Nedie,SO,OL,
Peyton Polk,SO,OL,
Kenneth Almendares,SR,K,
Tony Sterner,SR,K,
Logan Klotz,SR,K,
Maxie Baudoin IV,SR,DL,
Antoine Baylis,SR,DL,
Chase Edwards,SO,DL,
Kadarius Miller,SR,DL,
Kyron Mims,SR,DL,
Fitzgerald West Jr.,JR,DL,
Ashley Williams,SO,DL,
Lance Williams,JR,DL,
Ashton Wright,SO,DL,
Priest Ashe,SO,DL,
Jereamiah Holts,SO,DL,
Timahj Jones,SO,DL,
James Klingberg,SO,DL,
Jase Robertson,SO,DL,
Na'Tori Brown,SO,LB,
Hayden Darbonne,SO,LB,
Jaden Dugger,SR,LB,
Kailep Edwards,SR,LB,
Trey Fite,JR,LB,
Carmycah Glass,JR,LB,
Micah Johnson,SO,LB,
Lester Jones,SO,LB,
Caleb Kibodi,SR,LB,
Conor McPherson,SO,LB,
K.C Ossai,SR,LB,
Jake St. Andre,JR,LB,
Ethan Veal,SO,LB,
Cameron Whitfield,SR,LB,
Terrence Williams,SR,LB,
Ben Bienvenu,SO,LB,
Jaden Breaux,SO,LB,
David Roberts,SO,LB,
Emiliano Soldevilla,SO,LB,
Lake Bates,SO,DB,
EJ McDonald,SO,DB,
Cedric Moore,SO,DB,
Braxton Guilbeau,SR,P,
Nathan Torney,SR,P,
Brayden Guilbeau,SO,P,
Justin Agu,SR,CB,
Caleb Anderson,SR,CB,
Key'Savalyn Barnes,SR,S,
Jalen Clark,SR,S,
Denim Day,JR,CB,
Avery Demery,SO,CB,
Lorenzo Dubose,JR,CB,
Maurion Eleam,JR,S,
Courtline Flowers,SR,S,
Kody Jackson,SO,S,
Collin Jacob,JR,CB,
Jordan Lawson,SR,DE,
Tyrone Lewis Jr.,SR,S,
Keyon Martin,SR,CB,
Amir McDaniel,SR,CB,
Carter Milliron,SR,LS,
Jeremiah Moses,SO,CB,
Mason Narcisse,SR,DT,
Shadwel Nkuba II,SR,CB,
KJ Riley III,SO,DE,
Hunter Sims,SR,LS,
Tyree Skipper,SR,S,
Kerry Wilson,JR,S,
Micaiah Bivines,SR,S,
Calep Jacob,JR,CB,
Bryant Merriwether,SO,S,
Travin Moore,SO,S,
Ja'Corian Norris,SO,CB,
Aaron Wright,SR,S,
