Player,Class,Pos,Summary
Aiden Armenta,SO,QB,"104 Cmp, 190 Att, 1292 Yds, 9 TD"
General Booty,SR,QB,"29 Cmp, 54 Att, 306 Yds, 2 TD"
Hunter Herring,SR,QB,"1 Cmp, 2 Att, 19 Yds, 0 TD"
Brooks Anzalone,JR,QB,
Landon Graves,JR,QB,
Reese Mooney,SO,QB,
Isaiah Velez,SR,QB,
Ahmad Hardy,SO,RB,"237 Att, 1351 Yds, 5.7 Avg"
James Jones,SR,RB,"78 Att, 336 Yds, 4.3 Avg"
Taven Curry,SR,RB,"32 Att, 153 Yds, 4.8 Avg"
Bennett Galloway,JR,RB,"9 Att, 31 Yds, 3.4 Avg"
Ozarrio Smith,SR,RB,"7 Att, 16 Yds, 2.3 Avg"
Charles Norman,SR,RB,"3 Att, 4 Yds, 1.3 Avg"
Chris Smith,SR,RB,"1 Att, 4 Yds, 4.0 Avg"
Hunter Smith,SR,RB,
Davon Wells,SR,WR,"29 Rec, 262 Yds, 9.0 Avg"
Jacob Godfrey,JR,WR,"24 Rec, 265 Yds, 11.0 Avg"
Artis Cole,SR,WR,"13 Rec, 168 Yds, 12.9 Avg"
Javon Cambell,SR,WR,"8 Rec, 176 Yds, 22.0 Avg"
Tyler Griffin,SR,WR,"8 Rec, 193 Yds, 24.1 Avg"
Amir McGruder,JR,WR,"2 Rec, 15 Yds, 7.5 Avg"
Jonathan Bibbs,SO,WR,"1 Rec, 65 Yds, 65.0 Avg"
Xavion Butler,SR,WR,
Justin Kimber,SR,WR,
Marc Britt II,SR,WR,
Caleb Groce,SO,WR,
John Wallace Holladay,SO,WR,
Jaeden LeDent,JR,WR,
Jaedyn McKinstry,SR,WR,
Eli Morrison,JR,WR,
Bret Vincent,SO,WR,
Tristan Wiley,JR,WR,
Julian Nixon,SR,TE,"9 Rec, 91 Yds, 10.1 Avg"
Nate Sullivan,SR,TE,"14 Rec, 133 Yds, 9.5 Avg"
Wesley Campbell VI,JR,TE,"5 Rec, 39 Yds, 7.8 Avg"
Rylan Green,SR,TE,"5 Rec, 43 Yds, 8.6 Avg"
Steven Gorski,JR,TE,
Si Stovall,JR,TE,
Mark Alvizo,SO,TE,
Cooper Eldridge,JR,TE,
Quad Harrison,SR,TE,
Hutson Hearron,SO,TE,
Chandler Wilson,SO,TE,
David Applewhite,SO,OL,
Sam Carson,SR,OL,
Elijah Fisher,SR,OL,
Que McBroom,SR,OL,
Carter Miller,JR,OL,
Devon Smith,SR,OL,
Reese Steele,SR,OL,
Sam Telesa,SR,OL,
Jordan Ashley,SR,OL,
Daz Galloway,SR,OL,
Nate Green,SO,OL,
Quentis Griffin Jr,JR,OL,
Trayce Millet,SO,OL,
Taylor Quinn,SO,OL,
Jaden Rowe,SO,OL,
Jordan Rowe,SO,OL,
Chris Williams,SR,OL,
Max Larson,SR,K,
Luke Stagg,SR,K,
Earl Barquet,SR,DL,
Talan Browne,SO,DL,
Alvino Carbajal III,SR,DL,
Dylan Howell,SR,DL,
James Smith,JR,DL,
Jaylan Ware,SR,DL,
Kevontay Wells,SR,DL,
Gunner Hale,SO,DL,
Immanuel Hawkins,JR,DL,
Austin Ackel,SO,LB,
Jaeden Calender,SO,LB,
Brett Drillette,SR,LB,
Carl Glass,SR,LB,
Markeegan Gray,SR,LB,
Kelbee Holmes,SR,LB,
Tyrese Hopkins,SR,LB,
Daniel Knudsen,SR,LB,
Seidrion Langston,JR,LB,
Travor Randle,SR,LB,
Tristan Shorter,SR,LB,
La'Garrius Sims,JR,LB,
JD Stewart,SR,LB,
Nick Torres,SR,LB,
Jalen Vinson,SR,LB,
Austin Cartwright,JR,LB,
Jacob Foster,JR,LB,
Carl Fauntroy Jr.,SR,DB,
Kristopher Robinson,SR,DB,
Stephen Saywahn,SR,DB,
"Wydett Williams, Jr.",SR,DB,
Korian Wilson,JR,DB,
Ameyr Adams,SO,DB,
Cayden Cunningham,SO,DB,
Miles Hill,JR,DB,
Markell Kyer,SO,DB,
Jayden Tarver,SR,DB,
Charles Thomas,SR,DB,
Jordyn Williams,SO,DB,
Makenzie Ryan,SO,P,
Davin Anderson,SR,DE,
Jyren Ester,SR,CB,
David Godsey Jr.,SR,CB,
Jaden Hamlin,SR,DT,
Lynard Harris,JR,CB,
Drew Hutchinson,JR,OG,
Andre Mack,SR,S,
Jay Mickle,SR,OG,
Ra'shad Onezime,SR,S,
Billy Pullen,SR,DE,
Car'lin Vigers,SR,CB,
Amarion Ware,JR,DT,
Andrew Wells,SR,LS,
Nolan Wilson,SR,LS,
Adameon Botley,JR,OT,
Dontavius Burrows,SR,S,
John Curtis Goodman,JR,OT,
Thomas Little,JR,OG,
