Player,Class,Pos,Summary
Evan Bullock,SO,QB,"197 Cmp, 300 Att, 2104 Yds, 14 TD"
Jack Turner,SR,QB,"40 Cmp, 76 Att, 471 Yds, 2 TD"
Blake Baker,SO,QB,"18 Cmp, 34 Att, 314 Yds, 1 TD"
Zachary Jackson,SO,QB,
Mason Welch,JR,QB,
Marquis Crosby,SR,RB,"57 Att, 224 Yds, 3.9 Avg"
Omiri Wiggins,JR,RB,"111 Att, 527 Yds, 4.7 Avg"
Amani Givins,SR,RB,"75 Att, 319 Yds, 4.3 Avg"
Fred Robertson,SO,RB,"33 Att, 126 Yds, 3.8 Avg"
Donerio Davenport,SR,RB,"31 Att, 107 Yds, 3.5 Avg"
Princeton Cahee,SO,RB,
Mattison Hall,FR,RB,
Riley Small,SO,RB,
Jimmy Holiday,SR,WR,"39 Rec, 476 Yds, 12.2 Avg"
Marlion Jackson,JR,WR,"14 Rec, 222 Yds, 15.9 Avg"
Solomon Lewis,SR,WR,"16 Rec, 220 Yds, 13.8 Avg"
Dakota Williams,JR,WR,"3 Rec, 25 Yds, 8.3 Avg"
Abdul-Fatai Ibrahim,SR,WR,"14 Rec, 121 Yds, 8.6 Avg"
Tru Edwards,SR,WR,"84 Rec, 986 Yds, 11.7 Avg"
Jay Wilkerson,JR,WR,"13 Rec, 262 Yds, 20.2 Avg"
Dedrick Latulas,JR,WR,"1 Rec, 4 Yds, 4.0 Avg"
Brayden Curry,SO,WR,
Tamarcus Gray Jr.,SO,WR,
Nate Jones,SR,WR,
Chase Locke,SR,WR,
Jalen McGaughy,SR,WR,
Shadeed Ahmed,SR,WR,
Rayshad Gray,SO,WR,
Aubrey Hermes,SO,WR,
Bud Holloway,SR,WR,
Devonta Lee,SR,WR,
Adem Madise,SO,WR,
Brendan Scardino,SO,WR,
Jay Simon,SO,WR,
Landry Wyatt,FR,WR,
Hunter Tipton,JR,TE,"5 Rec, 23 Yds, 4.6 Avg"
Eli Finley,JR,TE,"25 Rec, 314 Yds, 12.6 Avg"
John Locke,JR,TE,"1 Rec, 2 Yds, 2.0 Avg"
Kendrick Rucker,JR,TE,"1 Rec, 11 Yds, 11.0 Avg"
Kenneth Bannister,SR,OL,
Roy Brackins,SO,OL,
Brett Canis,SR,OL,
Hayden Christman,SO,OL,
Ashanti Cole,SR,OL,
Jerren Gilbert,SR,OL,
Bert Hale,SR,OL,
Ja'Marion Kennedy,SO,OL,
Daniel Keys,SR,OL,
Zarian McGill,SR,OL,
Landon Nelson,SR,OL,
Jake Acklin,SO,OL,
Keystone Allison,SO,OL,
Cyler Corn,SO,OL,
Austin Ellis,SO,OL,
Kameron Robinson,SO,OL,
Tristan Santoro,SO,OL,
Jadon Smith,SO,OL,
Troy Smith,SO,OL,
Buck Buchanan,SR,K,
Drew Henderson,JR,K,
Logan Smith,FR,K,
David Blay,SR,DL,
Jacob Bradford,SO,DL,
J'Dan Burnett,SR,DL,
Kells Bush,JR,DL,
Mykol Clark,SR,DL,
Christian Davis,SO,DL,
Jessie Evans,SR,DL,
Zion Nason,SR,DL,
Obinna Okeke,SO,DL,
Judd Rouyea,SO,DL,
Adam Lamar,SR,DL,
Malcolm Pugh,SO,DL,
Charlie Robinson,SO,DL,
Trevell Vivians,SR,DL,
Jakobe Brock,SR,LB,
Colton Deckard,SO,LB,
Kolbe Fields,SR,LB,
CJ Harris,SR,LB,
Alonzo Jackson Jr.,SO,LB,
Sifa Leota,SR,LB,
Mekhi Mason,JR,LB,
Jadon Mayfield,SO,LB,
Cole Watson,SO,LB,
Zach Zimos,SR,LB,
Demardrick Blunt,SO,LB,
James Predtechenskis,SO,LB,
Bennett Slaughter,SO,LB,
Navarion Benson,SR,DB,
BJ Blake,SR,DB,
Pig Cage,SR,DB,
Joshua Cobbs,SR,DB,
Jacob Fields,JR,DB,
Jakari Foster,SR,DB,
Demarcus Griffin-Taylor,SR,DB,
Cam Hill,SO,DB,
Isaiah McElvane,SR,DB,
Jordyn Morgan,SR,DB,
Michael Richard,JR,DB,
Roderick Roberson Jr.,SR,DB,
Jhamal Shelby Jr.,JR,DB,
Blake Thompson,JR,DB,
Qua'veon Turner,SR,DB,
Luke Wisham,SO,DB,
Cedric Woods,SR,DB,
Jacoryian Crowe,SO,DB,
Donajz Dunn,JR,DB,
Kenyatta McNeese,SO,DB,
Jordon Myles,SR,DB,
Jamar Rhodes,FR,DB,
Patrick Rea,JR,P,
John Hoyet Chance,SO,P,
Ean Burch,SR,LS,
Ezekiel Durham-Campbell,SR,DE,
Jayden Gray,SR,DE,
Jamarcus Jones,SR,DE,
Gabe Pugh,SR,LS,
Andrew Richard,SO,OG,
Jake Riggs,SO,LS,
