Player,Class,Pos,Summary
Tyler Shough,SR,QB,"244 Cmp, 389 Att, 3195 Yds, 23 TD"
Harrison Bailey,SR,QB,"24 Cmp, 33 Att, 227 Yds, 3 TD"
Pierce Clarkson,JR,QB,"3 Cmp, 4 Att, 11 Yds, 0 TD"
Travis Egan,JR,QB,
Duece Adams,SO,QB,
Brady Allen,JR,QB,
Drew Allen,SO,QB,
Sam Vaulton,SR,QB,
Sam Young,JR,QB,
Bailey Harrison,JR,QB,
Ryan Zimmerman,SO,QB,
Isaac Brown,SO,RB,"165 Att, 1173 Yds, 7.1 Avg"
Duke Watson,SO,RB,"67 Att, 597 Yds, 8.9 Avg"
Donald Chaney Jr.,SR,RB,"50 Att, 178 Yds, 3.6 Avg"
Keyjuan Brown,SO,RB,"47 Att, 243 Yds, 5.2 Avg"
Maurice Turner,SR,RB,"27 Att, 136 Yds, 5.0 Avg"
Shammai Gates,SO,RB,
Caullin Lacy,SR,WR,"18 Rec, 196 Yds, 10.9 Avg"
Chris Bell,SR,WR,"43 Rec, 737 Yds, 17.1 Avg"
Ja'Corey Brooks,SR,WR,"61 Rec, 1013 Yds, 16.6 Avg"
Ahmari Huggins-Bruce,SR,WR,"18 Rec, 239 Yds, 13.3 Avg"
Cataurus Hicks,JR,WR,"12 Rec, 149 Yds, 12.4 Avg"
Kris Hughes,JR,WR,"7 Rec, 54 Yds, 7.7 Avg"
Jadon Thompson,SR,WR,"6 Rec, 88 Yds, 14.7 Avg"
Antonio Meeks,SR,WR,"3 Rec, 42 Yds, 14.0 Avg"
Eli Adams,SO,WR,
Shaun Boykins,SO,WR,
Jimmy Calloway,SR,WR,
Jaedon King,SO,WR,
Eli Limouris,SO,WR,
Jahill McClain,JR,WR,
JoJo Stone,SO,WR,
Trey Durbin,SO,WR,
Anderson Mitchell,SO,WR,
Duane Martin,SR,TE,"2 Rec, 17 Yds, 8.5 Avg"
Mark Redman,SR,TE,"24 Rec, 256 Yds, 10.7 Avg"
Jamari Johnson,SO,TE,"13 Rec, 158 Yds, 12.2 Avg"
Nate Kurisky,JR,TE,"12 Rec, 112 Yds, 9.3 Avg"
Izayah Cummings,SR,TE,"3 Rec, 33 Yds, 11.0 Avg"
Jaleel Skinner,SR,TE,"1 Rec, 4 Yds, 4.0 Avg"
Hamilton Atkins,SO,TE,
Dylan Messman,SO,TE,
Renato Brown,SR,OL,
Austin Collins,SR,OL,
Joe Crocker,JR,OL,
Michael Gonzalez,SR,OL,
Makhete Gueye,JR,OL,
Fred Johnson,SO,OL,
Chris McAdoo,SO,OL,
Ransom McDermott,SO,OL,
Jonathan Mendoza,SR,OL,
Rasheed Miller,SR,OL,
Monroe Mills,SR,OL,
Pete Nygra,SR,OL,
Madden Sanker,JR,OL,
Trevonte Sylvester,SR,OL,
Jimmy Williams,SO,OL,
Lance Robinson,SR,OL,
Brady Hodges,SR,K,
Nick Keller,SR,K,
Cooper Ranvier,SO,K,
Brock Travelstead,SR,K,
Adam Vinatieri Jr.,SO,K,
Adam Winkenhofer,SO,K,
M.J. Campbell,SO,DL,
Micah Carter,JR,DL,
Saadiq Clements,JR,DL,
Maurice Davis,SO,DL,
Jared Dawson,SR,DL,
Ashton Gillotte,SR,DL,
Adonijah Green,JR,DL,
Jordan Guerad,SR,DL,
Richard Kinley,SR,DL,
Rene Konga,SR,DL,
Tramel Logan,SR,DL,
Xavier Porter,SO,DL,
Ramon Puryear,SR,DL,
William Spencer,SO,DL,
Dezmond Tell,SR,DL,
Selah Brown,JR,DL,
Mason Reiger,SR,DL,
T.J. Capers,SO,LB,
Trent Carter,SO,LB,
Stanquan Clark,JR,LB,
Drew Covington,SO,LB,
Jurriente Davis,SR,LB,
Daniel Foster,SR,LB,
Myles Jerningan,SR,LB,
Brady McEnaney,SO,LB,
Jaxon Panariello,SO,LB,
TJ Quinn,SR,LB,
Jake Scianna,SO,LB,
Dustin Cheirs,SO,DB,
Jathan Hatch,SO,DB,
Tayon Holloway,SR,DB,
D'Angelo Hutchinson,SR,DB,
Daeh McCullough,JR,DB,
Tamarion McDonald,SR,DB,
Jadon Minkins,JR,DB,
Rae'Mon Mosby,SO,DB,
Tahveon Nicholson,SR,DB,
Dakadrien Sanders,JR,DB,
Jaiden Spearman,SO,DB,
Corey Thornton,SR,DB,
Antonio Watts,JR,DB,
Carter Schwartz,JR,P,
Victor Cutler,SR,OC,
M.J. Griffin,SR,S,
Thor Griffith,SR,DT,
Shai Kochav,SR,LS,
Devin Neal,SR,S,
Benjamin Perry,SR,S,
Quincy Riley,SR,CB,
Aaron Williams,SO,CB,
Blake Ruffin,SR,S,
Hayden Travelstead,JR,LS,
